created_at,merged_at,closed_at,deletion_count,additions_count,body,comment_count,participants_count
2019-10-10T07:59:30Z,,2019-11-21T10:53:51Z,0,1,,0,1
2019-11-29T15:59:22Z,,2019-12-29T12:23:03Z,0,0,"dXBkYXRl
",1,1
2020-03-23T01:33:15Z,,2020-03-27T14:18:18Z,0,1,"YWRkIGdvc3Rvci9nb3RndA==
",0,1
2020-04-06T19:05:55Z,,2020-05-05T08:24:49Z,43,44,,1,1
2020-07-05T07:45:12Z,,2020-07-05T07:45:39Z,0,0,,1,1
2021-05-22T11:33:43Z,,2021-12-28T05:31:35Z,1,2,,1,1
2021-11-08T13:13:47Z,,2023-04-17T15:47:01Z,0,0,,0,2
2022-01-14T03:24:06Z,,2022-01-14T03:24:36Z,0,0,"bWVyZ2U=
",0,1
2022-02-19T07:38:57Z,,2022-02-19T07:39:12Z,0,0,,0,1
2022-04-09T02:59:52Z,,2023-01-04T11:38:46Z,1,1,,1,2
2023-10-11T08:07:53Z,,2023-10-12T00:49:06Z,0,1,"RXZlcndhcumtlOWFveS4lueVjA==
",0,1
