created_at,merged_at,closed_at,deletion_count,additions_count,body,comment_count,participants_count
2018-07-28T08:35:05Z,2018-07-29T10:04:25Z,2018-07-29T10:04:25Z,2,4,,0,2
2018-08-10T01:08:40Z,2018-08-10T12:29:37Z,2018-08-10T12:29:37Z,1,1,"TGlua2VkTGlzdOmaj+acuuWIoOmZpOWSjOaPkuWFpeeahOaViOeOh+W6lOivpeaYr+avlOi+g+mr
mOeahO+8jOWPquaYr+i/m+ihjOaMh+mSiOeahOaTjeS9nO+8jOebuOavlOS6jkFycmF5TGlzdOaL
t+i0neaVsOe7hOeahOaTjeS9nOaViOeOh+mrmOS4jeWwkeOAgg==
",2,2
2018-08-12T08:52:53Z,2018-08-14T02:02:22Z,2018-08-14T02:02:22Z,0,11,"5a6M5ZaE5LiLU3RyaW5nQnVmZmVy57G75Z6L5Lyg6YCSIOS4rW1ldGhvZDHvvIjvvInmlrnms5Xl
koxjaGFuZ2Ux77yI77yJ6L6T5Ye657uT5p6c5Y6f5Zug5YiG5p6Q44CC
",0,2
2018-08-24T09:15:12Z,,2018-08-24T09:21:35Z,1,1,"c3RhdGljIG1ldGhvZCBjYW4gb25seSBiZSBpbnZva2VkIGJ5IGNsYXNzIG5hbWUu
",0,1
2018-08-24T10:09:41Z,2018-08-24T11:11:07Z,2018-08-24T11:11:07Z,1,22,"5paw5aKeSGFzaE1hcOWkmue6v+eoi+eOr+Wig+aJqeWuueWvvOiHtOatu+W+queOr+mXrumimA==
",1,2
2018-08-29T06:24:39Z,2018-08-29T08:33:58Z,2018-08-29T08:33:58Z,1,1,"5L+u5pS56ZSZ5Yir5a2X
",0,2
2018-09-01T01:52:33Z,,2018-09-19T13:48:46Z,1,2,"6K+m57uG6Kej6YeK5LiN5Y+v6Z2g5oCn55qE5Y6f5Zug77yM5Y+v6IO955So5LiN5Y+v6Z2g5oCn
5pu/5Luj6ZqP5py65oCn5pu05ZCI6YCC
",0,2
2018-09-11T03:22:36Z,,2018-10-01T12:04:06Z,1,1,"5L+u5pS55Y2V6K+NIGZpc3QgPT4gZmlyc3Q=
",0,2
2018-09-17T08:13:17Z,2018-09-17T08:28:56Z,2018-09-17T08:28:56Z,1,1,"5L+u5q2j6ZSZ5Yir5a2X
",0,2
2018-09-17T09:22:20Z,2018-09-17T12:34:58Z,2018-09-17T12:34:58Z,5,5,"5pS55ZaE5LiA5Lqb5Zyw5pa555qE5piT6K+75oCn
",0,2
2018-09-20T07:33:35Z,2018-09-20T11:03:09Z,2018-09-20T11:03:09Z,0,138,"SGkgQFNuYWlsY2xpbWIsIEkgaGFwcGVuIHRvIHNlZSB0aGlzIHByb2plY3QgYW5kIGFtIHN1cmUg
aXQgd2lsbCBiZSBxdWl0ZSB1c2VmdWwgdG8gbWFueSBuZXcgaGFuZHMuIEkganVzdCBhZGRlZCBz
b21lIGNvbnRlbnQgYWJvdXQgKipyZWRsb2NrKiosIGEgZGlzdHJpYnV0ZWQgbG9ja2luZyBhbGdv
cml0aG0gYmFzZWQgb24gUmVkaXMgLCB3aGljaCBpcyBhbHNvIHBhcnQgb2YgbXkgY3VycmVudCBq
b2IuIE1lYW53aGlsZSwgSSBhbHNvIGFkanVzdCB0aGUgcGFja2FnZSBzdHJ1Y3R1cmUgaW4gIuaV
sOaNruWtmOWCqCIuIA0KDQpIb3BlIHRoaXMgd2lsbCBiZSBhIGxpdHRsZSBoZWxwIHRvIHlvdS4g
8J+Ygw==
",0,2
2018-09-25T01:53:42Z,2018-09-26T10:42:04Z,2018-09-26T10:42:05Z,0,5,"SGkgQFNuYWlsY2xpbWIsIFJlZGlzIDQuMCBoYXMgb25lIGltcHJvdmVtZW50IGFib3V0IGl0cyBw
ZXJzaXN0ZW5jZSBtZWNoYW5pc20gYnkgcHV0dGluZyBSREIgYW5kIEFPRiB0b2dldGhlci4g
",1,2
2018-10-01T11:01:38Z,,2018-10-01T12:04:07Z,2,2,"YGBgDQrkvb/nlKhlbnN1cmVDYXBhY2l0eeaWueazleWJje+8mjQ2MzcNCuS9v+eUqGVuc3VyZUNh
cGFjaXR55pa55rOV5YmN77yaMjQxDQpgYGANClRoZSBjb3JyZWN0IG9uZSBpcyA6DQpgYGANCuS9
v+eUqGVuc3VyZUNhcGFjaXR55pa55rOV5YmN77yaNDYzNw0K5L2/55SoZW5zdXJlQ2FwYWNpdHnm
lrnms5XlkI7vvJoyNDENCmBgYA==
",0,2
2018-10-08T08:17:25Z,2018-10-12T14:03:57Z,2018-10-12T14:03:57Z,1,1,,1,3
