created_at,merged_at,closed_at,deletion_count,additions_count,body,comment_count,participants_count
2013-09-25T14:12:52Z,2013-10-08T01:01:58Z,2013-10-08T01:01:58Z,0,2,"QWRkZWQgcmVmZXJlbmNlIHRvIHRoZSAiVGlwcyBhbmQgVHJpY2tzIiBzZWN0aW9uIHRvIHRoZSBt
YWluIFJFQURNRS5tZAo=
",4,2
2013-09-30T21:59:17Z,2013-09-30T22:00:01Z,2013-09-30T22:00:01Z,875,2547,"V2hlbiBhdHRlbXB0aW5nIHRvIHNlbmQgYW4gZW1haWwgVGh1bmRlcmJpcmQsIFBvc3Rib3gsIG9y
IEdtYWlsIChhbGwgYnJvd3NlcnMpLCBNYXJrZG93biBIZXJlIHdpbGwgZGV0ZWN0IHdoZXRoZXIg
dGhlcmUgaXMgcmF3LCB1bnJlbmRlcmVkIE1hcmtkb3duIGluIHRoZSBlbWFpbCBhbmQgcHJvbXB0
IHRoZSB1c2VyIHRvIGVpdGhlciBnbyBiYWNrIGFuZCByZW5kZXIgb3IgY29udGludWUgdG8gc2Vu
ZC4KCkNsb3NlcyBpc3N1ZSAjOTAuCg==
",0,1
2013-10-08T01:01:44Z,2013-10-08T01:01:58Z,2013-10-08T01:01:58Z,1007,3515,"TWVyZ2luZyBgZGV2ZWxvcG1lbnRgIGludG8gYG1hc3RlcmAgZm9yIHZlcnNpb24gMi45LjAuCg==
",0,2
2013-10-11T15:08:17Z,2013-10-11T15:08:28Z,2013-10-11T15:08:28Z,192,250,,0,1
2013-10-18T20:59:55Z,2013-10-18T21:00:03Z,2013-10-18T21:00:03Z,13,162,"TWVyZ2luZyBgZGV2ZWxvcG1lbnRgIGludG8gYG1hc3RlcmAgZm9yIHRoZSAyLjkuMiByZWxlYXNl
Lgo=
",0,1
2013-10-28T01:18:29Z,2013-10-28T01:18:38Z,2013-10-28T01:18:38Z,16,139,,0,1
2013-11-07T11:11:57Z,2013-11-07T11:12:03Z,2013-11-07T11:12:03Z,3239,5034,,0,1
2014-01-09T01:17:03Z,,2014-01-12T21:55:56Z,5,5,,3,2
2014-05-20T16:21:02Z,2014-05-21T02:02:30Z,2014-05-21T02:02:30Z,1,1,,0,2
2014-08-20T12:17:05Z,,2014-09-01T01:26:24Z,0,351,"VHJhbnNsYXRpb24gdG8gQ2hpbmVzZSBhZGRlZC4K
",3,2
2014-09-01T01:22:55Z,2014-09-01T01:23:04Z,2014-09-01T01:23:04Z,4435,12195,,0,2
2014-09-17T18:06:24Z,,2014-11-01T23:56:38Z,1,1,,1,2
2014-09-25T04:02:15Z,,2014-09-25T04:02:40Z,2,2,,1,1
2014-11-07T07:30:48Z,,2014-11-09T21:41:14Z,0,433,,1,2
2014-11-10T18:14:10Z,,2015-02-08T13:20:53Z,1,3,"YWRkZWQgYm9vbCB2YWwgdG8gYWNjZXB0IHRoZSBbR29vZ2xlIEluYm94XShodHRwOi8vd3d3Lmdv
b2dsZS5jb20vaW5ib3gvKQo=
",1,2
2014-12-04T02:10:06Z,,2014-12-08T04:50:52Z,2,41,"U2ltaWxhciB0byBgaXNzdWUgIzY5YCwgdGhlIGZhbHNlIGh5cGVybGlua3MgYXJlIGFzc2lnbmVk
IHdoZW4gcmVuZGVyaW5nICoqcmVmbGluayoqIGFuZCAqKm5vIGxpbmsqKiB3aGljaCBhcmUgYXV0
b21hdGljYWxseSBoeXBlcmxpbmtlZCBieSBicm93c2VyIGF0IGVkaXRpbmcuICBUaGlzIHByb2Js
ZW0gd29uJ3QgaGFwcGVuIGluIHBsYWluIHRleHQgbW9kZS4gCiMjIyMjIFN5bmRyb21lcwoKYGBg
CltsYWJlbF06IGh0dHA6Ly88YSBocmVmPSJodHRwOi8vZXhhbXBsZS5jb20iIHRhcmdldD0iX2Js
YW5rIj5leGFtcGxlLmNvbTwvYT4gCmBgYAoKd2lsbCBiZSByZW5kZXJlZCBpbnRvIAoKYGBgClts
YWJlbF06IDxhIGhyZWY9Imh0dHA6Ly9bZXhhbXBsZS5jb21dKGV4YW1wbGUuY29tKSIgLi4uPmh0
dHA6Ly9leGFtcGxlLmNvbTwvYT4KYGBgCgotLS0KCmBgYApbbGFiZWxdOiA8YSBocmVmPSJodHRw
Oi8vZXhhbXBsZS5jb20iIHRhcmdldD0iX2JsYW5rIj5odHRwOi8vZXhhbXBsZS5jb208L2E+IApg
YGAKCndpbGwgYmUgcmVuZGVyZWQgaW50bwoKYGBgCltsYWJlbF06IDxhIGhyZWY9IltodHRwOi8v
ZXhhbXBsZS5jb21dKGh0dHA6Ly9leGFtcGxlLmNvbSkiIC4uLj5odHRwOi8vZXhhbXBsZS5jb208
L2E+CmBgYAojIyMjIyBGaXgKCkZpeCBpcyBkb25lIGJ5IGFkZGluZyB0aGUgcGF0dGVybiBvZiBs
aW5rIHJlZmVyZW5jZSB0byB0aGUgcmVnZXggaW4gZnVuY3Rpb24gX2NvbnZlcnRIVE1MdG9NYXJr
ZG93bl8gLgo=
",3,2
2015-03-18T00:15:03Z,,2015-03-20T00:15:37Z,2,7,"VGhpcyAodGlueSkgUFIgYWRkcmVzc2VzICMyMTksIGhvd2V2ZXIgd2hldGhlciB5b3UgbWVyZ2Ug
aXMgYXQgeW91ciBkaXNjcmV0aW9uIGJlY2F1c2Ugb2YgdGhlIGJlaGF2aW91ciBJIG5vdGljZWQg
d2hlbiB0ZXN0aW5nOgotIFdoZW4gY29tcG9zaW5nIGEgbmV3IG1haWwgaW4gZ21haWwsIHRoZSBz
aWduYXR1cmUgaXMgaW5zZXJ0ZWQgd2l0aGluIGEgRE9NIGVsZW1lbnQgdGhhdCBoYXMgdGhlIGBn
bWFpbF9zaWduYXR1cmVgIGNsYXNzLiBUaGUgY291cGxlIG9mIGxpbmVzIEkndmUgYWRkZWQgd2ls
bCBkZXRlY3QgdGhlIHNpZ25hdHVyZSAmIHNraXAgdGhlIERPTSByZWN1cnNpb24uCi0gQWZ0ZXIg
c2F2aW5nIHRoZSBtYWlsIGFzIGEgZHJhZnQgYW5kIGNsb3NpbmcgeW91ciBicm93c2VyIHRhYiwg
YWxsIG9mIHRoZSBjbGFzc2VzIG9uIHRoZSBlbWFpbCdzIG1hcmt1cCBhcmUgbG9zdC4gQXMgc3Vj
aCwgKip3aGVuIHJldHVybmluZyB0byBhbiBvbGQgZHJhZnQgZnJvbSBhIHByZXZpb3VzIGJyb3dz
aW5nIHNlc3Npb24sIHRoaXMgbWV0aG9kIG9mIHNpZ25hdHVyZSBkZXRlY3Rpb24gZmFpbHMqKi4K
CkknbSB0aGVyZWZvcmUgaW4gdHdvIG1pbmRzIGFzIHRvIHdoZXRoZXIgdGhpcyB3b3VsZCBiZSBh
IGJlbmVmaWNpYWwgdGhpbmc7IG9uIHRoZSBvbmUgaGFuZCwgY3VzdG9tIGdtYWlsIHNpZ25hdHVy
ZXMgdGhhdCB3ZXJlbid0IGN1cnJlbnRseSB3b3JraW5nIHdpbGwgd29yayB3aXRob3V0IHRoZSBu
ZWVkIHRvIHByZWZpeCB3aXRoIGAtLWAsIGJ1dCBvbiB0aGUgb3RoZXIsIHVzZXJzIG1heSBleHBl
cmllbmNlIHRoaXMgc29ydCBvZiBzaWduYXR1cmUgYmVpbmcgcGFyc2VkIGFzIG1hcmtkb3duIGlu
dGVybWl0dGVudGx5LCB3aGljaCBtaWdodCBiZSBtb3JlIGNvbmZ1c2luZyB0aGFuIHRoZSBwcmV2
aW91cyBjb25zaXN0ZW50IGluY2x1c2lvbi4K
",4,2
2015-04-05T00:48:12Z,2015-04-05T00:48:17Z,2015-04-05T00:48:17Z,1,7,,0,1
2015-04-06T18:32:44Z,2015-04-06T18:32:51Z,2015-04-06T18:32:51Z,84,188,"QXMgcmVxdWlyZWQgYnkgTW96aWxsYSByZXZpZXcuCg==
",0,1
2015-05-14T19:43:06Z,2015-05-16T21:46:38Z,2015-05-16T21:46:38Z,1,1,,1,2
2015-05-28T00:04:24Z,2015-05-31T14:15:46Z,2015-05-31T14:15:46Z,2,2,"Q29tbWVudHMgd2hlcmUgcGxhY2VkIGluIHJldmVyc2UgaW4gMTYzOTNlNy4K
",1,2
2015-06-07T01:39:07Z,2015-07-15T01:02:52Z,2015-07-15T01:02:52Z,4,4,,1,2
