created_at,merged_at,closed_at,deletion_count,additions_count,body,comment_count,participants_count
2012-11-01T23:32:03Z,,2012-11-01T23:33:33Z,16,0,"UnVieS1zdHlsZSBpbnRlcnBvbGF0aW9uIGRvZXMgbm90IHdvcmsgaW4gSmF2YVNjcmlwdAo=
",1,1
2012-11-01T23:35:31Z,2012-11-01T23:38:06Z,2012-11-01T23:38:06Z,16,0,"cnVieSBzdHlsZSBpbnRlcnBvbGF0aW9uIGRvZXMgbm90IHdvcmsgaW4gamF2YXNjcmlwdC4K
",1,2
2012-11-01T23:45:50Z,,2014-02-25T22:26:32Z,7,3,"SSB0aGluayBzaW5nbGUtbGluZSBibG9ja3MgYXJlIGdyZWF0LCBhbmQgSSB1c2UgdGhlbSBhbGwg
dGhlIHRpbWUuIFRoZXkncmUgdmVyeSByZWFkYWJsZSAtLSBtb3JlIHNvIHRoYW4gYnJhY2VkLXNp
bmdsZS1zdGF0ZW1lbnQgYmxvY2tzLCBpbiBteSBvcGluaW9uIC0tIGFuZCBJIGRvbid0IHRoaW5r
IHRoZXkncmUgImRhbmdlcm91cyIgaW4gdGhlIENyb2NrZm9yZCBzZW5zZSwgYmVjYXVzZSBpZiBp
dCdzIG9uIGEgc2luZ2xlIGxpbmUgaXQncyBvYnZpb3VzIHdoYXQncyBwYXJ0IG9mIHRoZSBibG9j
ayBhbmQgd2hhdCBpc24ndC4KCkZvciBleGFtcGxlLCBJIHRoaW5rIGl0J3MgcHJldHR5IGNsZWFy
IGluIHRoZSBmb2xsb3dpbmcgdGhhdCBgY29uc29sZS5sb2dgIHdpbGwgYWx3YXlzIGJlIGNhbGxl
ZDoKCmBgYCBqYXZhc2NyaXB0CnZhciB2b2x1bWUgPSAxMDsKaWYobG91ZGVyKSB2b2x1bWUgPSAx
MTsKY29uc29sZS5sb2codm9sdW1lKTsKYGBgCgpPbiB0aGUgb3RoZXIgaGFuZCwgSSBfZG9fIHRo
aW5rIHRoYXQgbXVsdGktbGluZSBibG9ja3Mgd2l0aG91dCBicmFjZXMgYXJlIGRhbmdlcm91cy4g
Rm9yIGV4YW1wbGUsIHRoaXMgaXMgdmVyeSBjb25mdXNpbmc6CgpgYGAgamF2YXNjcmlwdAp2YXIg
dm9sdW1lID0gMTA7CmlmKGxvdWRlcikKICB2b2x1bWUgPSAxMjsKICBjb25zb2xlLmxvZyh2b2x1
bWUpOwpgYGAKClNvIEkgbGVmdCBtdWx0aS1saW5lIGJsb2NrcyBhcyBuZWVkaW5nIGN1cmx5IGJy
YWNlcy4K
",29,7
2012-11-02T00:03:02Z,,2012-11-02T00:41:51Z,3,3,"T3ZlcndyaXRpbmcgdGhlIHByb3RvdHlwZSBtYWtlcyBpbmhlcml0YW5jZSBpbXBvc3NpYmxlOiB5
b3UnbGwgb3ZlcndyaXRlIHRoZSBiYXNlIGNsYXNzIHdpdGggeW91ciBtZXRob2RzLiBJIHN3aXRj
aGVkIHRoZSByZWNvbW1lbmRlZCB3YXlzIG9mIHdyaXRpbmcgbWV0aG9kcyBzbyB0aGF0IHdlIGRv
bid0IG1ha2UgaXQgaW1wb3NzaWJsZSB0byB1c2UgaW5oZXJpdGFuY2UuCg==
",5,3
2012-11-02T00:52:46Z,,2012-11-02T17:07:26Z,8,5,"VGhpcyBvbmUgaGFzIGJpdHRlbiB1cyBpbiB0aGUgcGFzdC4gYGRlZmF1bHRgIGlzIGEgcmVzZXJ2
ZWQgd29yZCBpbiBKYXZhU2NyaXB0IGFuZCBjYXVzZXMgZXhjZXB0aW9ucyB3aGVuIHVzZWQuIFdl
IHNob3VsZG4ndCBoYXZlIGFuIGV4Y2VwdGlvbiB0byB0aGlzIHJ1bGU6IGp1c3QgZG9uJ3QgZG8g
aXQhCg==
",7,4
2012-11-02T01:11:46Z,2012-11-02T04:13:35Z,2012-11-02T04:13:35Z,2,3,"SSBwcm9wb3NlIHdyaXRpbmcgbW9kdWxlcyBsaWtlIHRoaXM6CgpgYGAgamF2YXNjcmlwdAohZnVu
Y3Rpb24oKSB7Cn0oKTsKYGBgCgpUaGlzIHNhdmVzIHVzIGZyb20gYSBwcm9ibGVtIHRoYXQgaGFz
IGJpdHRlbiB1cyBpbiB0aGUgcGFzdCwgd2hlcmUgdGhlIGZvbGxvd2luZyBtb2R1bGVzIHdvcmsg
aW4gZGV2OgoKYGBgIGphdmFzY3JpcHQKLy8gTW9kdWxlIEEKKGZ1bmN0aW9uKCkgewp9KCkpCmBg
YAoKYGBgIGphdmFzY3JpcHQKLy8gTW9kdWxlIEIKKGZ1bmN0aW9uKCkgewp9KCkpOwpgYGAKCkJ1
dCBibG93IHVwIGluIHByb2R1Y3Rpb24gd2hlbiB0aGUgdHdvIGZpbGVzIGdldCBjb25jYXRlbmF0
ZWQgKG5vdGUgdGhlIG1pc3Npbmcgc2VtaWNvbG9uIGluIE1vZHVsZSBBKS4gU3RhcnRpbmcgbW9k
dWxlcyB3aXRoIGJhbmcgKGxvbCkgaXMgdGhlIHNob3J0ZXN0IHBvc3NpYmxlIHdheSB0byBwcmV2
ZW50IHRoaXM7IEFTSSB3aWxsIGtpY2sgaW4gYmVjYXVzZSBvZiB0aGUgYmFuZyBhbmQgcHJldmVu
dCB0aGUgbW9kdWxlIGZyb20gYmVpbmcgaW5jb3JyZWN0bHkgaW50ZXJwcmV0ZWQgYXMgYXJndW1l
bnRzIHRvIGEgZnVuY3Rpb24gY2FsbC4K
",3,4
2012-11-05T17:27:39Z,2012-11-05T17:39:54Z,2012-11-05T17:39:55Z,0,57,"Rm9yIFN1YmxpbWVUZXh0IHVzZXJzIG91dCB0aGVyZSwgW1N1YmxpbWVMaW50ZXJdKGh0dHBzOi8v
Z2l0aHViLmNvbS9TdWJsaW1lTGludGVyL1N1YmxpbWVMaW50ZXIpIGFkZHMgW0pTSGludF0oaHR0
cDovL3d3dy5qc2hpbnQuY29tLykgc3VwcG9ydCB0byBjaGVjayB5b3VyIEphdmFTY3JpcHQgZmls
ZXMgYWZ0ZXIgc2F2aW5nLgoKT25jZSB5b3UgaW5zdGFsbCBTdWJsaW1lTGludGVyLCBpbiBTdWJs
aW1lVGV4dCBnbyB0byBfU3VibGltZSBUZXh0IDJfID4gX1ByZWZlcmVuY2VzXyA+IF9QYWNrYWdl
IFNldHRpbmdzXyA+IF9TdWJsaW1lTGludGVyXyA+IF9TZXR0aW5ncyAtIFVzZXJfIGFuZCBjb3B5
IHRoZSBjb250ZW50cyBvZiBTdWJsaW1lTGludGVyLnN1YmxpbWUtc2V0dGluZ3MgaW50byB0aGF0
IGZpbGUuCg==
",2,2
2012-11-05T20:21:13Z,2012-11-05T21:38:13Z,2012-11-05T21:38:13Z,11,15,"VGhpcyBlbmZvcmNlcyBgY2FtZWxDYXNlYCBvciBgVVBQRVJfQ0FTRV9VTkRFUlNDT1JFYCBmb3Ig
YWxsIHZhcmlhYmxlcyBsaWtlIG1lbnRpb25lZCBpbiB0aGUgUkVBRE1FLiBDb25zdHJ1Y3RvciBm
dW5jdGlvbnMgc3RpbGwgcmVxdWlyZSBgVXBwZXJDYXNlYCB3aXRoIHRoZSBgbmV3Y2FwYCBzZXR0
aW5nLgo=
",1,3
2012-11-05T20:38:16Z,2012-11-05T20:42:22Z,2012-11-05T20:42:22Z,0,3,"VGhpcyBtYWtlcyBKU0hpbnQgYSBsb3QgbGVzcyBub2lzeSB3aGVuIGRldmVsb3BpbmcgZm9yIE5v
ZGUuCg==
",1,2
2012-11-05T23:36:46Z,,2012-11-05T23:57:40Z,1,1,,6,5
