created_at,merged_at,closed_at,deletion_count,additions_count,body,comment_count,participants_count
2014-07-06T14:33:54Z,2014-07-06T14:48:18Z,2014-07-06T14:48:18Z,0,1,,0,2
2014-07-06T14:35:10Z,2014-07-06T14:48:32Z,2014-07-06T14:48:32Z,1,5,,0,2
2014-07-06T14:41:58Z,2014-07-06T14:50:25Z,2014-07-06T14:50:25Z,1,1,,0,2
2014-07-06T14:46:54Z,2014-07-06T14:51:31Z,2014-07-06T14:51:31Z,1,5,,0,2
2014-07-06T15:16:24Z,2014-07-06T15:17:47Z,2014-07-06T15:17:47Z,1,2,,0,2
2014-07-06T15:22:35Z,2014-07-06T15:25:06Z,2014-07-06T15:25:06Z,1,1,,0,2
2014-07-06T15:27:03Z,2014-07-06T15:28:58Z,2014-07-06T15:28:58Z,0,1,,0,2
2014-07-06T15:32:07Z,2014-07-06T15:35:48Z,2014-07-06T15:35:48Z,0,5,,0,2
2014-07-06T15:50:55Z,2014-07-06T15:51:20Z,2014-07-06T15:51:20Z,0,2,"YWRkaW5nIGh0dHByb3V0ZXIK
",0,2
2014-07-06T16:21:46Z,2014-07-06T16:24:14Z,2014-07-06T16:24:14Z,0,11,,0,2
2014-07-06T16:25:07Z,,2014-07-06T16:27:42Z,11,2,,1,1
2014-07-06T16:28:46Z,2014-07-06T16:32:42Z,2014-07-06T16:32:42Z,1,2,,0,2
2014-07-06T17:12:55Z,2014-07-06T17:31:07Z,2014-07-06T17:31:07Z,0,2,"Qm90aCBleGNlbGxlbnQgbGlicmFyaWVzCg==
",0,2
2014-07-06T17:34:38Z,2014-07-06T17:37:34Z,2014-07-06T17:37:34Z,0,6,"QWRkZWQgYSBsaXN0aW5nIGZvciBwYWNrYWdlcyByZWdhcmRpbmcgdGhlIGNyZWF0aW9uIGFuZCBz
ZW5kaW5nIG9mIGVtYWlsLgo=
",0,2
2014-07-06T17:39:43Z,2014-07-06T17:50:11Z,2014-07-06T17:50:11Z,0,1,,0,2
2014-07-06T17:56:18Z,2014-07-06T18:18:04Z,2014-07-06T18:18:04Z,1,1,"VGhlIG9sZCBNeVNRTCBkcml2ZXIgdGFyZ2V0cyBHbyByZWxlYXNlLnI1Ny4xIGFuZCB3YXMgbGFz
dCB1cGRhdGVkIDMgeWVhcnMgYWdvLiBUaGUgaHR0cHM6Ly9naXRodWIuY29tL2dvLXNxbC1kcml2
ZXIvbXlzcWwgaXMgYWN0aXZlbHkgbWFpbnRhaW5lZC4K
",0,2
2014-07-06T18:22:45Z,2014-07-06T18:24:33Z,2014-07-06T18:24:33Z,0,1,"R29Db252ZXkgaXMgcHJvYmFibHkgb25lIG9mIHRoZSBtdXN0IGNvbXBsZXRlIHRlc3RpbmcgZnJh
bWV3b3JrIGZvciBHbywKdGhhdCdzIHdoeSBJIHB1dCBpdCBpbiAybmQgcGxhY2UuCg==
",0,2
2014-07-06T18:25:05Z,2014-07-06T18:29:02Z,2014-07-06T18:29:02Z,1,1,"RGlzY2xhaW1lcjogSSBydW4gaXQuCg==
",2,3
2014-07-06T18:26:27Z,2014-07-06T18:29:18Z,2014-07-06T18:29:18Z,0,1,,1,3
2014-07-06T18:53:25Z,2014-07-06T18:54:01Z,2014-07-06T18:54:01Z,1,4,"QWRkIHNvbWUgYm9va3MgCg==
",0,2
2014-07-06T19:01:57Z,2014-07-06T19:02:38Z,2014-07-06T19:02:38Z,0,1,"UmVtb3ZlZCBpbiBlcnJvciBpbiAjMTgK
",0,2
2014-07-06T19:06:33Z,2014-07-06T19:07:25Z,2014-07-06T19:07:25Z,0,8,"U29tZSB2aWRlbyBsaW5rcy4K
",0,2
2014-07-06T19:21:50Z,2014-07-06T19:33:11Z,2014-07-06T19:33:11Z,1,1,,0,2
2014-07-06T19:28:07Z,2014-07-06T19:35:14Z,2014-07-06T19:35:14Z,1,1,"QWRkIERldk9wcyBUb29scyAtIEdvZ3MK
",0,2
2014-07-06T19:31:44Z,2014-07-06T19:32:30Z,2014-07-06T19:32:30Z,0,6,"SSBzdGFydGVkIG9mZiB0aGUgdXRpbGl0aWVzIHNlY3Rpb24gd2l0aCB0aGUgUG9zdG1hbiB0b29s
IEkgd3JvdGUuCg==
",0,2
2014-07-06T19:50:43Z,2014-07-06T19:54:12Z,2014-07-06T19:54:12Z,0,1,,0,2
2014-07-06T20:08:08Z,2014-07-06T20:09:09Z,2014-07-06T20:09:09Z,0,1,,0,2
2014-07-06T20:13:38Z,2014-07-06T20:15:59Z,2014-07-06T20:15:59Z,1,1,,0,2
2014-07-06T20:17:33Z,2014-07-06T20:18:47Z,2014-07-06T20:18:47Z,0,1,,0,2
2014-07-06T20:37:36Z,2014-07-06T20:42:24Z,2014-07-06T20:42:24Z,0,6,,0,2
2014-07-06T20:53:09Z,2014-07-06T20:59:27Z,2014-07-06T20:59:27Z,1,2,,0,2
2014-07-06T21:12:15Z,2014-07-06T21:23:26Z,2014-07-06T21:23:26Z,0,1,,0,2
2014-07-06T21:20:49Z,2014-07-06T21:23:02Z,2014-07-06T21:23:02Z,2,0,"aXQncyBnb2xhbmctYm9vawo=
",0,2
