created_at,merged_at,closed_at,deletion_count,additions_count,body,comment_count,participants_count
2015-06-01T20:34:11Z,2015-06-02T01:59:28Z,2015-06-02T01:59:28Z,2,6,"QmFzaWNhbGx5IGFuIGV4dGVuc2libGUsIHNlbGYtaG9zdGVkIFVSTCBzaG9ydGVuZXIgd2l0aCBz
ZXZlcmFsIHBsdWdpbnMKdG8gZW5oYW5jZSBiYXNlIGZ1bmN0aW9uYWxpdHkuCg==
",0,2
2015-06-01T21:12:48Z,2015-06-01T23:33:12Z,2015-06-01T23:33:12Z,0,2,,0,2
2015-06-03T05:39:02Z,2015-06-03T06:47:41Z,2015-06-03T06:47:41Z,39,50,"QWRkZWQgdGhlIGNhdGVnb3JpZXM6IEF1dG9tYXRpb24sIEdyb3Vwd2FyZQoKQWRkZWQgdGhlIHNl
cnZpY2VzOiBMeWNoZWUsIFN5bmN0aGluZywgSHVnaW5uLCBLb2xhYiwgSG9yZGUK
",1,2
2015-06-03T09:16:22Z,2015-06-03T20:09:53Z,2015-06-03T20:09:53Z,30,69,"LSBEaWRuJ3QgaGF2ZSB0aW1lIHRvIGNoZWNrIHRoZSBsaWNlbnNlcyAodGhleSBhcmUgYWxsIEZy
ZWUgU29mdHdhcmUpCi0gQ2hhbmdlZCBsaW5rIGZvcm1hdHRpbmcgdG8gYFtBcHBsaWNhdGlvbiBu
YW1lXShodHRwOi8vbGluay90by9vZmZpY2lhbC93ZWJzaXRlKSAtIERlc2NyaXB0aW9uIC0gKFtS
ZWxhdGVkIGxpbmtdKGh0dHA6Ly9saW5rL3RvL2RlbW9dKWAKLSBDaGFuZ2VkIGxpY2Vuc2UgbWFy
a2Rvd24gZm9ybWF0dGluZyB0byBgTGljZW5zZSBuYW1lYAo=
",0,2
2015-06-04T12:50:37Z,2015-06-04T19:54:46Z,2015-06-04T19:54:46Z,4,435,"U2VlIGNvbW1pdCBtZXNzYWdlcy4K
",1,3
2015-06-05T12:48:15Z,2015-06-05T12:48:19Z,2015-06-05T12:48:19Z,1,1,,0,1
2015-06-07T11:26:23Z,2015-06-07T15:10:30Z,2015-06-07T15:10:30Z,46,48,,0,2
2015-06-07T23:10:06Z,2015-06-08T06:34:31Z,2015-06-08T06:34:31Z,0,1,,2,2
2015-06-09T17:35:46Z,2015-06-09T17:53:11Z,2015-06-09T17:53:11Z,9,18,"QWRkZWQgdGhlIGBQcml2YXRlIENsb3Vkc2AgY2F0ZWdvcnkuCkFkZGVkIGBPcGVuIFdlYiBBbmFs
eXRpY3NgLCBgUm9ja2V0LkNoYXRgLCBgb3duQ2xvdWRgLCBgc2VhZmlsZWAsIGBzZWxmb3NzYCBh
bmQgYERpc2NvdXJzZWAuClN0YW5kYXJkaXplZCB0aGUgbGljZW5zZSBuYW1lcyAoZS5nLiBgR05V
LUdQTC0yLjBgKS4KTW92ZWQgdGhlIGNsb3NlZCBzb3VyY2UgaWNvbiB0byB0aGUgcmlnaHQgZm9y
IFBsZXggdG8gZm9sbG93IHRoZSBzY2hlbWUgKGFwcCBuYW1lLCBkZXNjcmlwdGlvbiwgbGljZW5z
ZSkK
",0,2
2015-06-15T11:23:16Z,2015-06-15T14:22:30Z,2015-06-15T14:22:30Z,7,66,,0,2
2015-06-16T12:49:50Z,2015-06-20T11:08:35Z,2015-06-20T11:08:35Z,23,78,,0,2
2015-06-23T07:58:56Z,,2015-06-23T07:59:20Z,0,0,"VXBkYXRlCg==
",1,1
2015-06-23T10:18:04Z,,2015-07-27T17:50:37Z,98,115,"LSBBZGRlZCBuZXcgYXBwcwotIEZpeGVkIHR5cG9zIGFuZCBvcHRpbWlzZWQgZGVzY3JpcHRpb25z
Ci0gTW92ZWQgLyByZW5hbWVkIGNhdGVnb3JpZXMgZm9yIGEgYmV0dGVyIG9yZ2FuaXNhdGlvbgot
IEFkZGVkIGxpc3Qgb2YgbGljZW5zZXMKLSBTdGFydGVkIG9uICMxMyAtIEFkZCBsaWNlbnNlcyB0
byBhbGwgbGlzdGVkIGFwcGxpY2F0aW9ucwo=
",1,3
2015-06-23T23:47:25Z,2015-06-24T15:10:12Z,2015-06-24T15:10:12Z,0,8,,1,2
2015-06-28T15:04:54Z,2015-07-10T11:33:47Z,2015-07-10T11:33:47Z,3,32,,1,2
