created_at,merged_at,closed_at,deletion_count,additions_count,body,comment_count,participants_count
2019-04-26T07:13:29Z,,2019-04-26T08:55:35Z,17,21,,1,2
2019-05-05T03:44:04Z,,2019-05-05T03:44:52Z,69,89,,2,2
2019-05-06T03:43:16Z,2019-05-06T03:47:42Z,2019-05-06T03:47:42Z,3,263,"IzYg
",0,2
2019-05-10T11:41:48Z,2019-06-05T09:00:22Z,2019-06-05T09:00:23Z,7,347,"IyMgdXBkYXRlIGJhc2ljLWRhdGEtc3RydWN0dXJlLm1kDQp1cGRhdGUgdGhlIGRpZmZlcmVuY2Vz
IGJldHdlZW4gYEhUVFAvMS4wYCBhbmQgYEhUVFAvMS4xYCAmIHRoZSBkaWZmZXJlbmNlcyBiZXR3
ZWVuIGBIVFRQLzEuMWAgYW5kIGBIVFRQLzJgLiANCg0KIyMgY3JlYXRlIGJhc2ljLWRhdGEtc3Ry
dWN0dXJlLWVuLm1kDQp0cmFuc2xhdGUgbW9zdCBwYXJ0cyBvZiBgYmFzaWMtZGF0YS1zdHJ1Y3R1
cmUubWRgIGludG8gRW5nbGlzaC4NCndpdGggbGVhdmluZyB0d28gcGFydHMgcmVsYXRlZCB0byBg
UmVhY3RgIHVudHJhbnNsYXRlZCBiZWNhdXNlIG5vIGlkZWEgYWJvdXQgb3BlcmF0aW9ucyBvZiBg
cmVhY3RgLg==
",1,2
2019-05-28T03:12:11Z,2019-06-05T14:36:43Z,2019-06-05T14:36:43Z,1,27,"YWRkIHB5dGhvbiBjb2RlIHRvIFZhbGlkUGFyZW50aGVzZXM=
",4,2
2019-05-28T08:23:25Z,2019-05-29T08:49:22Z,2019-05-29T08:49:22Z,1,27,"5L+u5pS55LqG77yaDQoNCuaJgOWxnumhueebru+8miB2YWxpZCBwYXJlbnRoZXNpcyANCg0KMSBw
eXRob24g5ZKMIGphdmFzY3JpcHTnmoTku6PnoIHor7TmmI4NCjIg5aKe5Yqg5LqGcHl0aG9uIGNv
ZGUg5bem5L6n55qE56m65qC8DQozIOivtOaYjuS6huacrOasoeiBlOezu+eahOaUr+aMgeivreio
gA==
",3,2
2019-05-29T10:14:54Z,,2019-06-14T05:45:26Z,0,73,,11,2
2019-05-29T20:06:09Z,2019-05-30T06:24:59Z,2019-05-30T06:24:59Z,0,3,"5re75Yqg5LqG6aKY55uu5Zyw5Z2A6ZO+5o6l57uZUHJvYmxlbTPvvIzmlrnkvr/nlKjmiLfmib7l
iLDljp/popg=
",2,2
2019-06-03T16:04:41Z,2019-06-04T13:59:30Z,2019-06-04T13:59:30Z,5,89,,0,2
2019-06-04T05:34:53Z,2019-06-05T05:40:53Z,2019-06-05T05:40:54Z,0,65,,1,2
2019-06-05T07:07:48Z,2019-06-05T14:46:26Z,2019-06-05T14:46:26Z,3,57,"MTA0Lm1heGltdW0tZGVwdGgtb2YtYmluYXJ5LXRyZWUNCjExLmNvbnRhaW5lci13aXRoLW1vc3Qt
d2F0ZXI=
",0,2
2019-06-06T12:30:45Z,2019-06-10T02:32:27Z,2019-06-10T02:32:27Z,4,79,,0,2
2019-06-08T14:46:45Z,2019-06-11T02:06:26Z,2019-06-11T02:06:26Z,0,109,,0,2
2019-06-10T03:49:22Z,2019-06-10T06:27:01Z,2019-06-10T06:27:01Z,1,215,"QWRkIDIwMTktMDYtMDMubWQNCk1vZGlmeSBSRUFETUUubWQ=
",0,2
2019-06-10T05:45:36Z,2019-06-11T09:11:57Z,2019-06-11T09:11:57Z,1,56,,0,2
2019-06-11T11:15:10Z,2019-06-11T12:02:40Z,2019-06-11T12:02:40Z,0,156,"5q+P5pel5LiA6aKYIDYxNy4gTWVyZ2UgVHdvIEJpbmFyeSBUcmVlcw==
",0,2
2019-06-12T07:11:37Z,2019-06-12T08:54:20Z,2019-06-12T08:54:20Z,0,114,,0,2
2019-06-14T15:39:23Z,,2019-06-15T14:47:13Z,0,116,"5re75YqgMjAxOS0wNi0wOCDmr4/ml6XkuIDpopjvvIxsZWV0Y29kZSAjMzQ3IHRvcC1rLWZyZXF1
ZW50LWVsZW1lbnRz
",1,2
2019-06-15T08:58:04Z,2019-06-19T01:25:11Z,2019-06-19T01:25:11Z,0,88,,2,2
