created_at,merged_at,closed_at,deletion_count,additions_count,body,comment_count,participants_count
2019-10-18T13:56:57Z,2019-10-18T13:59:49Z,2019-10-18T13:59:49Z,1,1,,1,2
2019-10-19T10:57:58Z,,2019-10-19T11:00:53Z,0,12,,0,1
2019-10-19T11:02:12Z,2019-10-19T11:07:34Z,2019-10-19T11:07:34Z,0,12,,1,2
2019-10-19T13:41:26Z,2019-10-19T18:24:26Z,2019-10-19T18:24:26Z,3,15,,1,2
2019-10-20T19:02:36Z,2019-10-21T13:36:56Z,2019-10-21T13:36:56Z,0,12,"QWRkaW5nIG5ldyBhbnN3ZXJz
",1,2
2019-10-21T03:51:54Z,2019-10-21T08:16:07Z,2019-10-21T08:16:07Z,1,185,"QWRkZWQgc29tZSBTUUwgcXVlc3Rpb25zIHRvIHRoZSByZXBvLg0KDQpBZGRpdGlvbmFsbHksIGZv
cm1hdHRlZCB0aGUgdG9wIHBhcnQgb2YgdGhlIHJlYW1lZCB0byBpbmNsdWRlIGEgU1FMIEljb24g
YW5kIHRoZSBsaW5rcyBmb3IgZWFzeSBuYXZpZ2F0aW9uLg==
",2,2
2019-10-21T20:28:25Z,2019-10-21T20:33:00Z,2019-10-21T20:33:00Z,2,34,,3,2
2019-10-22T08:33:13Z,2019-10-22T08:38:04Z,2019-10-22T08:38:04Z,2,120,"MS4gQ2hhcmFjdGVyaXN0aWMgb2YgcHl0aG9uIGxhbmd1YWdlLg0KMi4gSW5oZXJpdGFuY2UNCjMu
IFJldmVyc2Ugc3RyaW5nDQo0LiBNYXJpbyBzb3J0aW5nDQogICAgICAgICAgICAgNS4gRm9ybWF0
aW5nLg==
",1,2
2019-10-22T11:28:06Z,2019-10-22T12:59:56Z,2019-10-22T12:59:56Z,2,67,,0,2
2019-10-22T12:10:39Z,,2019-10-23T17:07:49Z,1,355,"QmVnaW5uZXJzIGFuZCBJbnRlcm1lZGlhdGUgbGV2ZWwgU1FMIHF1ZXN0aW9ucw==
",3,3
2019-10-22T12:16:29Z,,2019-10-23T16:52:54Z,1,271,"NDUgUHl0aG9uIFF1ZXN0aW9uIGFuZCBhbnN3ZXJz
",1,3
2019-10-22T12:23:31Z,,2019-10-23T16:21:08Z,1,147,"MTggUXVlc3Rpb25zIC4gUTEzIHRvIFExOCBpcyBhZHZhbmNlZCBsZXZlbC4=
",0,2
2019-10-22T15:41:34Z,2019-10-22T15:49:24Z,2019-10-22T15:49:24Z,1,7,"U21hbGwgZ3JhbW1hciBmaXggd2hpbGUgY2hlY2tpbmcgb3ZlciBteSBTUUwgYW5zd2VyLiAobGlu
ZSAyNjUyKQ0KDQpNb25nb0RCIGhhZCBhIHNlbWktcmVkdW5kYW50IHF1ZXN0aW9uIGZyb20gbXkg
U1FMIHBvcnRpb24gLSBqdXN0IGNvcHkgcGFzdGVkIGZyb20gbXkgcHJldmlvdXMgYW5zd2VyLiAo
bGluZXMgMjMxNy0yMzIxKQ0KDQpBbHNvIGFkZGVkIGFuc3dlciB0byB3aGVuIHRvIHVzZSBOb1NR
TC9Nb25nbyBvdmVyIFNRTCAoc2NhbGluZykgKGxpbmUgMjMyOSk=
",0,3
2019-10-22T16:18:14Z,2019-10-22T21:09:19Z,2019-10-22T21:09:19Z,1,21,,0,4
2019-10-22T21:21:49Z,,2019-10-23T07:26:47Z,0,1,,4,3
2019-10-23T16:29:06Z,,2019-10-23T16:34:11Z,9,176,"QWRkZWQgQmVnaW5uZXIgdG8gSW50ZXJtZWRpYXRlIGxldmVsIHF1ZXN0aW9ucyBpbiBOZXR3b3Jr
Lg==
",0,1
2019-10-23T16:38:02Z,,2019-10-23T18:54:18Z,0,185,"QWRkZWQgU29tZSBOZXR3b3JrIHF1ZXN0aW9ucw==
",1,2
2019-10-23T16:57:14Z,,2019-10-23T18:59:42Z,0,320,"QWRkZWQgUHl0aG9uIFF1ZXN0aW9uIGFuZCBhbnN3ZXJzIHRvIFJFQURNRS5tZA==
",1,2
2019-10-23T17:17:06Z,,2019-10-23T18:43:40Z,0,399,"QWRkZWQgU1FMIFF1ZXN0aW9uIGFuZCBhbnN3ZXJzIGluIFJFQURNRS5tZA==
",1,2
2019-10-23T17:37:15Z,2019-10-23T18:06:35Z,2019-10-23T18:06:35Z,0,11,,1,2
2019-10-23T23:00:34Z,2019-10-23T23:09:28Z,2019-10-23T23:09:28Z,0,2,"V2hhdCBpcyB0aGUgZGlmZmVyZW5jZSBiZXR3ZWVuIFRDUCBhbmQgVURQIGFuc3dlcg==
",1,2
2019-10-24T12:19:26Z,2019-10-24T12:22:46Z,2019-10-24T12:22:46Z,0,2985,"aGVsbG8sIGFkZCBjaGluZXNlIGRvY3VtZW50LCBob3BlIGl0IG1heSBoZWxwIHNvbWVvbmU=
",1,2
2019-10-24T15:20:25Z,2019-10-24T16:27:11Z,2019-10-24T16:27:11Z,0,3,"c3RhdGVsZXNzIHZzLiBzdGF0ZWZ1bCBPdmVydmlldw==
",1,2
2019-10-27T16:16:05Z,,2019-11-02T19:02:53Z,0,8,,2,3
2019-10-28T06:31:07Z,2019-10-28T14:41:26Z,2019-10-28T14:41:26Z,48,48,,6,2
2019-10-28T20:30:59Z,2019-10-29T06:52:02Z,2019-10-29T06:52:03Z,2,2,"SGkgYWdhaW4sDQoNCkp1c3QgdG8gYWRkIHNvbWUgdG9vbHMgZm9yIG1vbml0b3JpbmcgYW5kIGFs
ZXJ0aW5nLg==
",1,2
2019-11-01T11:20:51Z,2019-11-01T13:09:28Z,2019-11-01T13:09:28Z,1,1,,0,2
2019-11-02T11:21:30Z,2019-11-02T19:04:06Z,2019-11-02T19:04:06Z,1,1,,0,2
2019-11-15T15:06:29Z,2019-11-16T18:05:35Z,2019-11-16T18:05:35Z,1,31,"QWRkZWQgMyBtb3JlIHF1ZXN0aW9ucyB0aGF0IGNvdWxkIGJlIGFza2VkIGR1cmluZyBhbiBpbnRl
cnZpZXc=
",1,2
2019-11-24T16:47:39Z,2019-11-25T22:39:30Z,2019-11-25T22:39:30Z,0,6,"SW5zZXJ0ZWQgQW5zd2VycyB0byB0aGUgQWR2YW5jZWQgU2VjdGlvbiBRdWVzdGlvbnM=
",1,2
2019-11-26T02:12:27Z,,2019-11-30T15:34:06Z,6,38,"SSBoYXZlIEFuc3dlcmVkIGZvciBhIGNvdXBsZSBvZiBEZXZPcHMgUXVlc3Rpb25zIA==
",1,2
