created_at,merged_at,closed_at,deletion_count,additions_count,body,comment_count,participants_count
2013-03-18T16:23:04Z,2013-03-18T20:08:02Z,2013-03-18T20:08:02Z,0,11,"QWRkZWQgY29tcG9uZW50Lmpzb24gZm9yIGJvd2VyIHBhY2thZ2Ugc3VwcG9ydAoKWW91IGhhdmUg
dG8gcmVnaXN0ZXIgZm9yIGJvd2VyIHBhY2thZ2UgYXMKCmJvd2VyIHJlZ2lzdGVyIG5hbWUgdXJs
Cg==
",2,5
2013-03-19T09:59:23Z,,2014-09-29T08:51:06Z,2,33,"SGksIEkgYWRkZWQgdHdvIHBhcmFtZXRlcnMgdG8gTGluZUNoYXJ0IHRvIGN1dCBlYWNoIGRhdGFT
ZXQgd2l0aCBhIHJlY3RhbmdsZSwgbGlrZSBvbiB0aGUgcGljdHVyZS4KCkZpcnN0IG9uZSBpcyBh
IGJvb2xlYW4sIHNlY29uZCBvbmUgaXMgYW4gb2JqZWN0ICh3LGgseSx4KS4KCiFbQ2FwdHVyZSBk
IGUgY3JhbiAyMDEzLTAzLTE5IGEgMTAgNTUgNDddKGh0dHBzOi8vZi5jbG91ZC5naXRodWIuY29t
L2Fzc2V0cy8yNDE3OTA4LzI3NTA0OS8zZDVhNmM1Mi05MDdiLTExZTItOWQyMC1iZmI1YmY0YzZi
NGQucG5nKQo=
",1,3
2013-03-19T18:38:11Z,,2014-08-03T20:38:23Z,23,23,"SGV5LCBJIGRvIG15IG93biBtaW5pZmljYXRpb24gYW5kIGNoYXJ0LmpzIGJyb2tlIG9uIG1pbmlm
aWNhdGlvbi4gU29sdmluZyB0aGUgSlNMaW50IGVycm9ycyBmaXhlZCBpdCByaWdodCB1cC4gCgoh
W1NjcmVlbiBTaG90IDIwMTMtMDMtMTkgYXQgTWFyIDE5IDExIDM3IDI3IEFNXShodHRwczovL2Yu
Y2xvdWQuZ2l0aHViLmNvbS9hc3NldHMvNDQyMjkvMjc3MzY4LzFlNzFlYzIyLTkwYzQtMTFlMi04
MDZkLTg4MWIxYjNjODgxMS5wbmcpCg==
",1,2
2013-03-20T04:10:35Z,2013-03-25T19:03:42Z,2013-03-25T19:03:42Z,0,16,,2,3
2013-03-20T08:18:03Z,2014-06-30T09:04:05Z,2014-06-30T09:04:05Z,0,0,"SGkhCkkgaW1wbGVtZW50ZWQgc29tZSBiYXNpYyBsYWJlbGxpbmcgdG8gdGhlIHBpZSBjaGFydCwg
YXMgSSBtaXNzZWQgc29tZSBsYWJlbHMgb24gaXQuClRoZSB0ZXh0IGlzIHJvdGF0ZWQgd2l0aCB0
aGUgYW5nbGUgb2YgdGhlIHBpZSBzZWdtZW50IGFuZCBhbGlnbnMgdG8gdGhlIG91dGVyIGVkZ2Ug
d2l0aCBhIGxpdHRsZSBwYWRkaW5nIG9mIDEwcHguIEl0IGlzIHJlbmRlcmVkIHJlYWRhYmxlLCBz
byBubyB1cHNpZGUgZG93biB0ZXh0IQoKWW91IGNhbiBzdHlsZSB0aGUgbGFiZWxzIGxpa2UgdGhl
IGZvbGxvd2luZyBpbnNpZGUgdGhlIHBpZURhdGE6CgpgYGAKICAgIHZhciBwaWVEYXRhID0gWwog
ICAgICAgICAgICB7CiAgICAgICAgICAgICAgICB2YWx1ZSA6IDMwLAogICAgICAgICAgICAgICAg
Y29sb3IgOiAiI0YzODYzMCIsCiAgICAgICAgICAgICAgICBsYWJlbCA6ICdTbGVlcCcsCiAgICAg
ICAgICAgICAgICBsYWJlbENvbG9yIDogJ3doaXRlJywKICAgICAgICAgICAgICAgIGxhYmVsRm9u
dFNpemUgOiAnMTYnCiAgICAgICAgICAgIH0sCiAgICAgICAgICAgIC4uLgogICAgICAgIF07CmBg
YAoKWW91IGNhbiBjaG9vc2UganVzdCBhbnkgdmFsaWQgY3NzIGNvbG9yLCBsaWtlIEhFWC1Db2Rl
cywgUkdCcyBvciBuYW1lZCBjb2xvcnMuCgpJbXBvcnRhbnQgdG8gbWVudGlvbjogSSBpbXBsZW1l
bnRlZCB0aGlzIGFzIGFuIG9wdGlvbmFsIGZlYXR1cmUsIHNvIGlmIHlvdSBkb24ndCBuZWVkIGxh
YmVscywganVzdCBsZWF2ZSB0aGVtIG9mZi4gWW91IGNhbiBhbHNvIGxhYmVsIGEgc2VnbWVudCwg
d2hpbGUgbm90IGxhYmVsbGluZyBhbm90aGVyIGFuZCB2aWNlIHZlcnNhLgoKIVtTY3JlZW5zaG90
IGZyb20gMjAxMy0wMy0yMCAwOToxMzowMV0oaHR0cHM6Ly9mLmNsb3VkLmdpdGh1Yi5jb20vYXNz
ZXRzLzEzMzY1OTAvMjc5Njk5LzIxN2VhMTkwLTkxMzYtMTFlMi04MGIyLTI0MTdjOWEyNGU3MC5w
bmcpCg==
",67,55
2013-03-20T14:42:47Z,,2014-07-27T22:32:33Z,2,304,"VXNlcyBleGFjdCBzY3JpcHQgZm9ybWF0dGluZyBhcyBiYXIgY2hhcnQsIGJ1dCBkaXNwbGF5cyBv
bmUgb24gdG9wIG9mIHRoZSBvdGhlciByYXRoZXIgdGhhbiBzaWRlIGJ5IHNpZGUuIE5lZ2F0aXZl
IGRhdGEgdmFsdWVzIG5vdCB5ZXQgaW1wbGVtZW50ZWQuCg==
",17,15
2013-03-20T15:11:59Z,,2013-03-25T19:38:54Z,0,1,"dGhpcyBwYXRjaCBmaXhlcyB0aGUgc2hpZnRpbmcgb2YgdGhlIGRhdGFzZXRzIGJ5IG9uZSB0byB0
aGUgbGVmdCBmb3IgZWFjaCBzZXQK
",4,4
2013-03-21T14:58:20Z,,2013-03-21T20:34:56Z,0,19,"SGksIApJdCBpcyBjb21tb24gcHJhY3RpY2UgdG8gaW5jbHVkZSBhIExJQ0VOU0UgZmlsZSBjb250
YWluaW5nIHRoZSBsaWNlbnNlIHRleHQgYW5kIHRoZSBjb3B5cmlnaHQgaW5mb3JtYXRpb24gKGNv
cHlyaWdodCBvd25lciBhbmQgZGF0ZSkuCkkgY3JlYXRlZCBvbmUgd2l0aCB0aGUgbGljZW5jZSB5
b3UgbWVudGlvbiAoTUlUKSwgeW91ciBuYW1lIGFuZCB0aGUgY3VycmVudCB5ZWFyLgpDaGVlcnMs
IApDYW1pbGxlIAo=
",2,2
2013-03-22T15:06:08Z,,2014-12-29T20:07:16Z,4,11,"dGhpcyBwYXRjaCBhbGxvd3MgdG8gaGFuZGxlIGRhdGEgc2V0cyBlaXRoZXIgbm90IHN0YXJ0aW5n
IGF0IHRoZSBmaXJzdCBsYWJlbCBvciBub3QgZW5kaW5nIGF0IHRoZSBsYXN0IGxhYmVsIChpbiB0
aGlzIGNhc2UgYSBudWxsIG9yIHVuZGVmaW5lZCBoYXMgdG8gYmUgYWRkZWQgdG8gdGhlIGRhdGEg
YXJyYXkpCg==
",3,3
2013-03-23T15:25:50Z,,2014-07-01T18:48:12Z,148,650,"SSBpbXBsZW1lbnRlZCBzb21lIGJhc2ljIHRvb2x0aXBzLCB3aGljaCBzaG93IChpZiBkZWZpbmVk
KSB0aGUgbGFiZWwgYW5kIHZhbHVlIG9ubW91c2VvdmVyLgpFdmVyeSB0b29sdGlwIGNhbiBiZSBy
ZWdpc3RlcmVkIGJ5IGEgY29uZmlndXJhYmxlIGFyZWE6CjEuIGEgc2ltcGxlIHJlY3RhbmdsZTog
KHgseSx3aWR0aCxoZWlnaHQpCjIuIGEgY2lyY2xlOiAoeCx5LHJhZGl1cykKMy4gYW55IHNoYXBl
OiAoYXJyYXkgb2Yge3gseX0gIG9iamVjdHMpCgpUb29sdGlwIERlZmF1bHRzIGNhbiBiZSBvdmVy
d3JpdHRlbiBieSBhZGRpbmcgYSAybmQgcGFyYW1ldGVyIHRvIHRoZSAibmV3IENoYXJ0KCkiIGZ1
bmN0aW9uLCBpLmUuCgpgYGAKdmFyIG15Q2hhcnQgPSBuZXcgQ2hhcnQoY29udGV4dCwgeyBiYWNr
Z3JvdW5kOiAnYmxhY2snLCBmb250Q29sb3I6ICd3aGl0ZScgfSk7CmBgYAoKVGhlIGZvbGxvd2lu
ZyBUb29sdGlwIG9wdGlvbnMgYXJlIGF2YWlsYWJsZToKCmBgYAp0b29sdGlwRGVmYXVsdHMgPSB7
CiAgICBiYWNrZ3JvdW5kOiAncmdiYSgwLDAsMCwwLjYpJywKICAgIGZvbnRGYW1pbHkgOiAiJ0Fy
aWFsJyIsCiAgICBmb250U3R5bGUgOiAibm9ybWFsIiwKICAgIGZvbnRDb2xvcjogJ3doaXRlJywK
ICAgIGZvbnRTaXplOiAnMTJweCcsCiAgICBwYWRkaW5nOiB7CiAgICAgICAgdG9wOiAxMCwKICAg
ICAgICByaWdodDogMTAsCiAgICAgICAgYm90dG9tOiAxMCwKICAgICAgICBsZWZ0OiAxMAogICAg
fSwKICAgIG9mZnNldDogewogICAgICAgIGxlZnQ6IDAsCiAgICAgICAgdG9wOiAwCiAgICB9LAog
ICAgYm9yZGVyOiB7CiAgICAgICAgd2lkdGg6IDAsCiAgICAgICAgY29sb3I6ICcjMDAwJwogICAg
fQp9CmBgYAoKVGhlIHRvb2x0aXAgbW92ZXMgcmVsYXRpdmUgdG8gdGhlIGN1cnJlbnQgbW91c2Ug
Y3Vyc29yIHBvc2l0aW9uIGFuZCBzaG93cyBvbmx5LCBpZiBob3ZlcmluZyBhIHZhbGlkIGNoYXJ0
IHBvaW50IG9yIGFyZWEuClRvb2x0aXBzIGNhbiBiZSBkaXNhYmxlZCB2aWEgc3BlY2lmaWMgY2hh
cnQgb3B0aW9uICJzaG93VG9vbHRpcHMiIGkuZy4KCmBgYApteUNoYXJ0LlBpZShwaWVDaGFydERh
dGEsIHsgc2hvd1Rvb2x0aXBzOiBmYWxzZSB9KTsKYGBgCgpUaGV5IGNhbiBiZSBzdHlsZWQgaW5k
aXZpZHVhbGx5IGFuZCBkbyByaWdodCBub3cgYSBiYXNpYyBqb2I6ClNob3dpbmcgdGhlIGhvdmVy
ZWQgbGFiZWwgYW5kIHZhbHVlLgoKIVtTY3JlZW5zaG90IGZyb20gMjAxMy0wMy0yMyAxNjoyNTow
MF0oaHR0cHM6Ly9mLmNsb3VkLmdpdGh1Yi5jb20vYXNzZXRzLzEzMzY1OTAvMjk0MDQ2L2U2ZDMw
MTRhLTkzY2QtMTFlMi05OTAxLTJkY2YyOTA4ODliNS5wbmcpCg==
",109,54
