created_at,merged_at,closed_at,deletion_count,additions_count,body,comment_count,participants_count
2017-09-03T02:20:48Z,2017-09-03T20:21:13Z,2017-09-03T20:21:13Z,33,33,,0,2
2017-09-04T10:24:01Z,2017-09-04T18:49:47Z,2017-09-04T18:49:47Z,131,87,,3,2
2017-09-04T12:51:47Z,2017-09-05T03:58:14Z,2017-09-05T03:58:14Z,9,9,,2,2
2017-09-05T01:41:59Z,2017-09-05T03:58:46Z,2017-09-05T03:58:46Z,3,16,,0,2
2017-09-05T05:54:41Z,2017-09-05T16:41:15Z,2017-09-05T16:41:15Z,3,3,,0,2
2017-09-06T02:43:03Z,2017-09-06T02:44:03Z,2017-09-06T02:44:03Z,8,16,,0,2
2017-09-06T08:45:42Z,2017-09-06T17:33:22Z,2017-09-06T17:33:22Z,1,1,,1,3
2017-09-06T18:00:54Z,2017-09-06T22:44:31Z,2017-09-06T22:44:31Z,1,1,"Rml4IGZvcg0KaHR0cDovL2Rpc2N1c3MuZ2x1b24uYWkvdC90b3BpYy8zMzE=
",0,2
2017-09-07T05:50:55Z,2017-09-07T16:58:10Z,2017-09-07T16:58:10Z,1,14,,0,2
2017-09-07T07:04:25Z,,2017-09-07T17:02:33Z,1,3,,2,2
2017-09-07T17:57:27Z,2017-09-07T19:53:23Z,2017-09-07T19:53:23Z,1,1,"VzEgLT4gVzI=
",1,2
2017-09-08T03:45:30Z,2017-09-08T03:49:30Z,2017-09-08T03:49:30Z,1,1,,0,2
2017-09-08T04:11:29Z,2017-09-08T22:46:41Z,2017-09-08T22:46:41Z,21,21,,0,2
2017-09-08T04:50:19Z,2017-09-08T22:46:57Z,2017-09-08T22:46:57Z,1,1,,0,2
2017-09-08T08:04:10Z,2017-09-11T03:53:42Z,2017-09-11T03:53:42Z,2,2,,3,3
2017-09-09T00:50:50Z,2017-09-09T18:22:35Z,2017-09-09T18:22:35Z,9,161,,0,2
2017-09-09T01:07:30Z,2017-09-09T01:39:23Z,2017-09-09T01:39:23Z,1,0,,0,2
2017-09-09T03:57:50Z,2017-09-09T18:22:59Z,2017-09-09T18:22:59Z,5,5,"QSBmZXcgb2J2aW91cyB0eXBvcyB0aGF0IGFyZSBlYXN5IHRvIGZpeC4=
",0,2
2017-09-09T17:26:28Z,2017-09-09T18:23:20Z,2017-09-09T18:23:20Z,1,1,,0,2
2017-09-10T02:41:35Z,2017-09-10T02:54:38Z,2017-09-10T02:54:38Z,2,23,,1,2
2017-09-10T04:05:49Z,2017-09-10T04:39:40Z,2017-09-10T04:39:40Z,4,4,,0,2
2017-09-10T05:01:25Z,2017-09-10T15:55:19Z,2017-09-10T15:55:19Z,0,1,,0,2
2017-09-10T06:19:14Z,2017-09-10T06:19:32Z,2017-09-10T06:19:32Z,18,9,,0,1
2017-09-10T17:54:30Z,2017-09-11T03:52:38Z,2017-09-11T03:52:38Z,14,16,,0,2
2017-09-11T02:29:45Z,2017-09-11T03:53:05Z,2017-09-11T03:53:05Z,2,2,"aHR0cHM6Ly9kaXNjdXNzLmdsdW9uLmFpL3QvdG9waWMvNzM4
",1,2
2017-09-11T04:26:24Z,2017-09-11T04:41:15Z,2017-09-11T04:41:15Z,2,2,,2,3
2017-09-11T05:03:21Z,,2017-09-12T01:30:46Z,1,1,,0,1
2017-09-11T05:45:41Z,2017-09-11T15:32:23Z,2017-09-11T15:32:23Z,14,10,"Zml4IA==
",0,2
2017-09-12T12:30:00Z,2017-09-13T03:54:34Z,2017-09-13T03:54:34Z,0,375,,1,2
2017-09-13T04:27:09Z,2017-09-13T22:24:34Z,2017-09-13T22:24:34Z,123,355,"QmV0dGVyIHRoYW4gcHJldmlvdXMgcGFyYW1zIDop
",2,2
2017-09-14T01:15:39Z,2017-09-14T02:52:50Z,2017-09-14T02:52:50Z,7,7,,0,2
2017-09-14T04:17:14Z,2017-09-14T04:20:26Z,2017-09-14T04:20:26Z,22,26,,0,2
2017-09-14T05:06:23Z,2017-09-14T15:15:41Z,2017-09-14T15:15:41Z,0,0,,0,2
2017-09-14T16:42:00Z,2017-09-14T19:25:17Z,2017-09-14T19:25:17Z,0,14,,0,2
2017-09-14T21:25:33Z,2017-09-15T18:42:53Z,2017-09-15T18:42:53Z,1,1,,1,3
2017-09-15T08:46:03Z,2017-09-15T22:24:43Z,2017-09-15T22:24:43Z,0,3206,,2,2
2017-09-15T21:57:51Z,2017-09-15T22:24:19Z,2017-09-15T22:24:19Z,1,1,,0,2
2017-09-16T00:10:04Z,2017-09-16T00:52:58Z,2017-09-16T00:52:58Z,19,38,,0,2
2017-09-16T01:43:17Z,2017-09-16T01:48:50Z,2017-09-16T01:48:50Z,0,2,,0,2
2017-09-16T08:58:07Z,2017-09-17T03:48:18Z,2017-09-17T03:48:18Z,9,8,,0,2
2017-09-16T18:15:26Z,2017-09-17T03:47:52Z,2017-09-17T03:47:52Z,1,0,"aGFoYQ==
",0,2
2017-09-19T19:26:56Z,2017-09-20T00:02:38Z,2017-09-20T00:02:38Z,1,1,,0,2
2017-09-20T05:36:28Z,2017-09-20T19:20:15Z,2017-09-20T19:20:15Z,0,210,,0,2
2017-09-21T00:08:54Z,2017-09-21T01:29:01Z,2017-09-21T01:29:01Z,24,22,"Y29uY2x1c2lvbiBuZWVkcyB0byBiZSBhZGRlZCBAbWxpIA==
",0,2
2017-09-21T02:37:02Z,2017-09-21T16:41:20Z,2017-09-21T16:41:20Z,1,1,,0,2
2017-09-21T07:02:19Z,2017-09-21T16:41:43Z,2017-09-21T16:41:43Z,17,155,,1,2
2017-09-22T01:03:38Z,2017-09-22T03:23:32Z,2017-09-22T03:23:32Z,2,2,"cHV0IHRoZSBiaWFzIGluc2lkZSB0aGUgYnJhY2tldA==
",1,3
2017-09-22T02:08:18Z,2017-09-22T03:23:56Z,2017-09-22T03:23:56Z,1,253,,0,2
2017-09-22T02:16:22Z,2017-09-22T03:22:44Z,2017-09-22T03:22:44Z,1,9,,0,2
2017-09-22T04:48:25Z,2017-09-22T05:48:14Z,2017-09-22T05:48:14Z,2,2,,0,2
2017-09-03T02:20:48Z,2017-09-03T20:21:13Z,2017-09-03T20:21:13Z,33,33,,0,2
2017-09-04T10:24:01Z,2017-09-04T18:49:47Z,2017-09-04T18:49:47Z,131,87,,3,2
