created_at,merged_at,closed_at,deletion_count,additions_count,body,comment_count,participants_count
2014-08-20T08:44:12Z,2014-08-20T17:55:57Z,2014-08-20T17:55:57Z,0,1,,1,2
2014-08-20T08:52:21Z,2014-08-20T17:58:16Z,2014-08-20T17:58:17Z,0,1,,1,2
2014-09-26T08:36:16Z,2014-09-26T13:33:56Z,2014-09-26T13:33:56Z,0,1,"VGhpcyBpcyB0aGUgbGl2ZSBkZW1vIGh0dHA6Ly94ZW9kb3UuZ2l0aHViLmlvL3JlYWN0LWNyb3V0
b24vCg==
",1,2
2014-10-08T18:59:25Z,2014-10-09T02:59:41Z,2014-10-09T02:59:41Z,0,1,,1,2
2014-10-16T10:46:17Z,2014-10-16T14:55:03Z,2014-10-16T14:55:03Z,0,4,"RnVsbCBkaXNjb2x1cmU6IEknbSB0aGUgYXV0aG9yIG9mIFJlYWN0IG9uIFJhaWxzIQo=
",1,2
2014-10-16T12:03:40Z,2014-10-16T15:10:58Z,2014-10-16T15:10:58Z,0,2,,2,2
2014-10-16T15:36:33Z,2014-10-16T15:49:46Z,2014-10-16T15:49:46Z,0,1,,1,2
2014-10-16T16:11:27Z,2014-10-16T16:33:53Z,2014-10-16T16:33:53Z,0,2,,1,2
2014-10-16T18:36:07Z,2014-10-16T22:16:43Z,2014-10-16T22:16:43Z,1,2,"SGkhCgpJIGhhdmUgdXBkYXRlZCBhIGJyb2tlbiBsaW5rIGZvciBvbmUgb2YgbXkgcmVwb3MgYW5k
IGFkZGVkIGFub3RoZXIgbGliIG9mIG1pbmUgdGhhdCB3YXMgbWlzc2VkIDopCg==
",1,2
2014-10-17T09:27:03Z,2014-10-17T13:16:54Z,2014-10-17T13:16:54Z,0,5,,1,2
2014-10-18T04:00:32Z,2014-10-18T15:00:39Z,2014-10-18T15:00:39Z,0,1,,0,2
2014-10-19T17:37:23Z,2014-10-19T19:16:35Z,2014-10-19T19:16:35Z,0,1,,0,2
2014-10-20T13:25:13Z,2014-10-20T13:32:43Z,2014-10-20T13:32:43Z,0,1,,1,2
2014-10-22T03:15:38Z,2014-10-22T03:25:34Z,2014-10-22T03:25:34Z,0,2,,1,2
2014-10-23T09:11:01Z,2014-10-24T10:03:45Z,2014-10-24T10:03:45Z,0,2,,0,2
2014-10-24T20:57:40Z,2014-10-24T23:52:56Z,2014-10-24T23:52:56Z,0,1,"SSBoYXZlIGFkZGVkIHRoZSBVUkwgdG8gYnJvd3NlIG9ubGluZSB0aGUgYm9vayB0aGF0IEkgYW0g
d3JpdGluZywK
",0,2
2014-10-27T13:40:24Z,2014-10-28T12:57:03Z,2014-10-28T12:57:03Z,0,1,,3,4
2014-10-27T14:07:38Z,2014-10-27T16:05:32Z,2014-10-27T16:05:32Z,1,1,"RWl0aGVyIHRoZSBsaW5rcyBjaGFuZ2VkIG9uIFRvZG9NVkMgd2l0aG91dCBhIDMwMSBvciB0aGF0
IGxpbmsgd2FzCm5ldmVyIHZhbGlkIHRvIGJlZ2luIHdpdGguCg==
",1,2
2014-10-27T16:40:27Z,,2014-10-27T16:48:25Z,1,1,"QSBnb29nbGUgaGFuZ291dCB3aGVyZSBleHBlcmllbmNlZCBlbmdpbmVlcnMgUmVhZFRoZVNvdXJj
ZSB0b2dldGhlciB0byBiZXR0ZXIgdW5kZXJzdGFuZCB0aGUgc29mdHdhcmUgdGhleSB1c2UuCg==
",2,2
2014-10-27T16:46:29Z,2014-10-28T13:05:52Z,2014-10-28T13:05:52Z,0,1,"VGhhbmtzIGZvciB0aGUgZXhjZWxsZW50IHJlc291cmNlIQo=
",1,2
2014-10-27T16:57:29Z,2014-10-27T17:04:00Z,2014-10-27T17:04:00Z,1,2,,2,2
2014-10-27T17:47:32Z,2014-10-28T12:49:13Z,2014-10-28T12:49:13Z,0,1,"V2ViU3Rvcm0gOSBub3cgc3VwcG9ydHMgSlNYIHN5bnRheAo=
",1,2
2014-10-27T19:37:06Z,2014-10-28T13:15:28Z,2014-10-28T13:15:28Z,0,1,,1,2
2014-10-28T09:31:44Z,2014-10-28T13:16:57Z,2014-10-28T13:16:57Z,0,3,"VGhpcyBtaWdodCBiZSBpbnRlcmVzdGluZyBmb3Igc29tZS4gQWRkcyB0aGUgZm9sbG93aW5nOgot
IFJlcG8gZm9yIGxpYnJhcnkgYW5kIGRlc2NyaXB0aW9uIGhvdyB0byBkbyB0b3AtZG93biByZW5k
ZXJpbmcgd2l0aCBpbW11dGFibGUgZGF0YQotIEFydGljbGUgZGVzY3JpYmluZyB0aGUgdW5pZGly
ZWN0aW9uYWwgZmxvdyBhbmQgaW1tdXRhYmxlIGRhdGEgYXJjaGl0ZWN0dXJlIG1vcmUgdGhlb3Jl
dGljYWxseS4K
",1,2
2014-10-28T14:20:20Z,2014-10-28T23:35:23Z,2014-10-28T23:35:23Z,0,1,"SSBjcmVhdGVkIGEgc2hvcHBpbmcgY2FydCBkZW1vIGJ1aWx0IG9uIEJvb3RzdHJhcCAzLjEuIAoK
U2VlOgotIGNvZGU6IGh0dHBzOi8vZ2l0aHViLmNvbS9jb2luYm9sdC9jYXRzaG9wCi0gZGVtbzog
aHR0cHM6Ly93d3cuY29pbmJvbHQuY29tL2NhdHNob3AvCg==
",1,2
2014-10-28T16:07:33Z,2014-10-28T23:41:05Z,2014-10-28T23:41:05Z,0,2,"SSB3YXNuJ3Qgc3VyZSBpZiBpdCBiZWxvbmdlZCB1bmRlciBDb21wb25lbnRzIG9yIEF1dG9jb21w
bGV0ZSwgc2VlbXMgdG8gZml0IGJvdGguCg==
",1,2
2014-10-29T19:47:22Z,2014-10-29T22:02:30Z,2014-10-29T22:02:30Z,1,1,,1,2
2014-11-02T09:03:11Z,2014-11-02T19:05:44Z,2014-11-02T19:05:44Z,0,1,,1,2
2014-11-03T12:01:23Z,2014-11-04T07:20:24Z,2014-11-04T07:20:24Z,0,1,,1,2
2014-11-04T19:50:05Z,2014-11-05T04:27:00Z,2014-11-05T04:27:00Z,1,1,,1,2
2014-11-05T12:58:51Z,2014-11-07T01:43:43Z,2014-11-07T01:43:43Z,0,1,,1,2
2014-11-05T22:15:02Z,2014-11-07T01:46:06Z,2014-11-07T01:46:06Z,1,1,,1,2
2014-11-06T23:02:58Z,2014-11-07T01:49:23Z,2014-11-07T01:49:23Z,0,1,,1,2
2014-11-07T14:02:12Z,2014-11-08T19:35:35Z,2014-11-08T19:35:35Z,0,1,,1,2
2014-11-07T15:14:19Z,2014-11-08T19:37:24Z,2014-11-08T19:37:24Z,0,1,"SSB3cm90ZSBhIGJsb2cgcG9zdCBhYm91dCBzb21lIFJlYWN0IGNvcmUgY29uY2VwdHMgdGhhdCBJ
IHRoaW5rIHdvdWxkIGJlIGEgZ29vZCBpbmNsdXNpb24gaW4gdGhlIEFwcHJvYWNoIEV4cGxhbmF0
aW9uIHNlY3Rpb24uCgpUaGFua3MgZm9yIHB1dHRpbmcgdGhpcyBsaXN0IHRvZ2V0aGVyLiBBbWF6
aW5nIHJlc291cmNlLgo=
",1,2
2014-11-07T15:47:41Z,2014-11-08T19:39:21Z,2014-11-08T19:39:21Z,0,1,"QWRkIENhbGwtRW0tQWxsJ3MgTWF0ZXJpYWwgVUkgcHJvamVjdAo=
",1,2
2014-11-07T23:07:23Z,2014-11-08T19:42:19Z,2014-11-08T19:42:19Z,0,1,,1,2
2014-11-10T09:26:56Z,2014-11-10T12:41:50Z,2014-11-10T12:41:50Z,1,1,,1,2
2014-11-11T16:16:35Z,2014-11-11T17:01:23Z,2014-11-11T17:01:23Z,1,1,"UmVtb3ZlZCB0aGUgYnJhY2tldCBgXWAgYXQgdGhlIGVuZCBvZiB0aGUgbGluZQo=
",1,2
