created_at,merged_at,closed_at,deletion_count,additions_count,body,comment_count,participants_count
2014-07-17T11:39:15Z,2014-07-17T11:40:25Z,2014-07-17T11:40:25Z,0,1,,1,2
2014-07-17T11:39:19Z,2014-07-17T11:40:50Z,2014-07-17T11:40:50Z,0,4,,0,2
2014-07-17T13:36:30Z,2014-07-17T13:37:25Z,2014-07-17T13:37:25Z,0,2,"VGhpcyBib29rIGdyZWF0bHkgaGVscGVkIG1lIHRvIG1ha2UgdGhlIHNoaWZ0IGZyb20gQyB0byBD
KysuCgpJIGhpZ2hseSBzdWdnZXN0IGl0IGZvciBldmVyeW9uZSwgc2luY2UgaXQncyB2ZXJ5IGVh
c3ktdG8tcmVhZCBhbmQgY292ZXJzIHByZXR0eSBtdWNoIGV2ZXJ5dGhpbmcgb25lIG1pZ2h0IG5l
ZWQgb2YgQysrLgoKSWRlYWwgcmVhZGluZyBmb3IgbGF0ZSBuaWdodHMgd2l0aCBhIHdhcm0gYmxh
bmtldCwgY29mZmVlIGFuZCBgZysrYC4K
",1,2
2014-07-22T17:24:42Z,2014-07-22T23:47:40Z,2014-07-22T23:47:40Z,2,8,"QnVsbGV0IHBoeXNpY3MgZW5naW5lIGlzIHRvbyBhd2Vzb21lIG5vdCB0byBiZSBpbmNsdWRlZCBv
biB0aGUgbGlzdCwgZXNwZWNpYWxseSBzaW5jZSBCb3gyRCBpcyB0aGVyZS4K
",1,2
2014-07-24T14:12:08Z,2014-07-24T14:37:11Z,2014-07-24T14:37:11Z,1,2,"Rml4IHR5cG8K
",0,2
2014-07-25T00:14:57Z,2014-07-25T00:26:16Z,2014-07-25T00:26:16Z,11,15,"Li4uYW5kIG1hc3NhZ2Ugc29tZSBvdGhlciBpdGVtcy4KCkl0ZW0gbWFzc2FnaW5nIGRvbmU6Ci0g
UmVuYW1lIEFzaW8gdG8gQm9vc3QuQXNpbywgYW5kIGFsc28gYWRkIGl0IHRvIEFzeW5jaHJvbm91
cyBFdmVudCBMb29wIHNpbmNlIGl0IGZpdHMgZ3JlYXQuCi0gSW1wcm92ZSBWOCBkZXNjcmlwdGlv
biB3aXRoIG1vcmUgdGV4dCBmcm9tIHRoZWlyIHdlYnNpdGUsIGFuZCBzaW5jZSBKU0MgaXNuJ3Qg
YXMgcHJvbWluZW50IGFueW1vcmUuCi0gQ2F0ZWdvcml6ZSBzb21lIGl0ZW1zIGZyb20gdGhlIEV0
Yy4gc2VjdGlvbi4KLSBBbHBoYWJldGljIHNvcnRpbmcgb2YgaXRlbXMgd2l0aGluIHNlY3Rpb25z
Lgo=
",1,2
2014-07-25T04:24:11Z,2014-07-25T10:25:27Z,2014-07-25T10:25:27Z,0,1,,0,2
2014-07-25T04:24:28Z,2014-07-25T12:11:20Z,2014-07-25T12:11:20Z,0,1,,0,2
2014-07-25T04:31:17Z,2014-07-25T10:28:21Z,2014-07-25T10:28:21Z,0,1,"U3VjY2Vzc29yIHRvIFByb3RvYnVmCg==
",0,2
2014-07-25T07:22:00Z,,2014-07-27T14:12:02Z,0,1,,2,2
2014-07-25T07:22:22Z,,2014-07-27T14:04:41Z,0,1,,2,2
2014-07-25T07:22:34Z,2014-07-25T10:37:35Z,2014-07-25T10:37:35Z,0,1,,0,3
2014-07-25T15:09:57Z,2014-07-25T15:14:38Z,2014-07-25T15:14:38Z,2,8,"QWRkIG5ldyBsaWJyYXJpZXM6Ci0gSmVheWVTT04KLSBqYnNvbgotIFR1ZsOjbwotIGx1YWN4eAot
IGxpYlJvY2tldAotIFlvdUNvbXBsZXRlTWUK
",1,2
2014-07-28T18:45:39Z,2014-07-28T18:59:25Z,2014-07-28T18:59:25Z,0,1,"QWRkZWQgQ2hpcG11bmsgdG8gUGh5c2ljcwo=
",0,2
2014-07-28T19:39:47Z,2014-07-28T20:28:36Z,2014-07-28T20:28:36Z,0,1,"SSBiZWxpZXZlIGl0J3MgdGhlIGJlc3Qgc291bmQgbGliIGZvciBnYW1lcyBvbiBDXEMrKyBldmVy
LCB3b3JrcyBldmVyeXdoZXJlLgo=
",2,2
2014-07-28T20:21:36Z,2014-07-28T20:23:16Z,2014-07-28T20:23:16Z,0,1,"QWRkIE90dGVyVUkgKEdVSSkK
",0,2
2014-08-12T07:29:57Z,2014-08-12T18:11:40Z,2014-08-12T18:11:40Z,1,29,"c29tZSBzdWdnZXN0aW9uczogCi0gYWRkIGJhc2ljIGxpY2VuY2UgaW5mb3JtYXRpb24oTUlULCBH
UEwsIEZSRUUsIC4uLikKLSBhZGQgYXBwcm9wcmlhdGUgb3ZlcnZpZXcgdG8gdGhlIGhlYWRlcnMg
KGxpa2UgbGluayB0byBiZW5jaG1hcmsgZm9yIGNvbXByZXNzaW9uIGFzIGFuIGV4YW1wbGUpCgpn
cmVhdCBpZGVhIHRvIGxpc3QgbGlicyB0aGF0IGFyZSB1c2VmdWwhIDorMTogCg==
",4,2
2014-08-13T15:02:29Z,2014-08-13T15:59:34Z,2014-08-13T15:59:34Z,10,11,,0,2
2014-08-14T09:54:41Z,2014-08-14T15:16:02Z,2014-08-14T15:16:02Z,30,30,,0,2
2014-08-14T16:04:49Z,2014-08-14T16:27:34Z,2014-08-14T16:27:34Z,15,15,,0,2
2014-08-14T16:27:19Z,,2014-08-14T17:10:51Z,0,6,,2,2
2014-08-19T20:28:23Z,2014-08-21T08:47:42Z,2014-08-21T08:47:42Z,0,1,"SXQgaXMgcHJldHR5IGZhc3QgYW5kIHRoZSBzcGVlZCBpcyBjb21wYXJhYmxlIHRvIEVpZ2VuLiAK
",1,2
2014-08-21T21:40:55Z,2014-08-22T06:56:52Z,2014-08-22T06:56:52Z,0,1,"SGVsbG8sCgpUaGlzIHB1bGwgcmVxdWVzdCBhZGRzIHRoZSBsaWJyYXJ5IFttaW5Vbml0XShodHRw
Oi8vd3d3LmplcmEuY29tL3RlY2hpbmZvL2p0bnMvanRuMDAyLmh0bWwpIHRvIHRoZSAiRGVidWci
IHNlY3Rpb24uCgpUaGlzIGlzIGFuIGV4dHJlbWVseSBzaW1wbGUgbGlicmFyeSBmb3IgdW5pdCB0
ZXN0aW5nLCBjb21wb3NlZCBvbmx5IG9mIDIgbWFjcm9zLgo=
",0,2
2014-08-24T10:54:09Z,2014-08-24T11:46:51Z,2014-08-24T11:46:51Z,0,1,,0,2
2014-08-26T11:49:00Z,,2014-09-02T13:04:32Z,0,1,,1,2
2014-08-27T08:34:50Z,2014-08-27T10:22:16Z,2014-08-27T10:22:16Z,0,1,"SSB0aGluayB0aGlzIGJlbG9uZ3MgY29ycmVjdGx5IHRvIHRoZSBzZXJpYWxpemF0aW9uIHNlY3Rp
b24/Cg==
",0,2
2014-08-28T18:11:37Z,2014-08-29T15:11:17Z,2014-08-29T15:11:17Z,66,66,,0,2
2014-09-02T14:04:59Z,2014-09-02T19:08:45Z,2014-09-02T19:08:45Z,0,1,,0,2
2014-09-02T14:05:00Z,2014-09-02T19:09:37Z,2014-09-02T19:09:37Z,0,1,,0,2
2014-09-02T14:05:02Z,2014-09-02T19:10:12Z,2014-09-02T19:10:12Z,0,1,,0,2
2014-09-02T17:09:59Z,2014-09-02T19:11:12Z,2014-09-02T19:11:12Z,35,35,,1,2
