created_at,merged_at,closed_at,deletion_count,additions_count,body,comment_count,participants_count
2019-03-01T00:13:44Z,2019-03-01T04:57:43Z,2019-03-01T04:57:43Z,3,49,"QWRkIEt1ZG9zIGlkZWEgYW5kIHVwZGF0ZSBhcHAgZGVzY3JpcHRpb24gaW4gUkVBRE1FLm1kDQoN
ClJlc29sdmVzOiBOL2ENClNlZSBhbHNvOiBOL2E=
",0,2
2019-03-02T22:54:27Z,2019-03-02T23:12:32Z,2019-03-02T23:12:32Z,0,49,"QWRkIFNsYWNrIEFyY2hpdmVyIGFwcGxpY2F0aW9uIGlkZWENCi0gTm90ZSB0aGF0IHRoaXMgaXMg
YW4gYWR2YW5jZWQgYXBwbGljYXRpb24uIEFsdGhvdWdoIHRoZSByZXF1aXJlbWVudHMgYXJlIHNt
YWxsDQp0aGVyZSBhcmUgYSBudW1iZXIgb2YgY29tcGxleCBpbXBsZW1lbnRhdGlvbiBkZXRhaWxz
Lg0KLSBUaGlzIGFwcGxpY2F0aW9uIHdpbGwgYWxzbyByZXF1aXJlIGNvbnNpZGVyYWJsZSBkZXNp
Z24uDQoNClJlc29sdmVzOiBOL2ENClNlZSBhbHNvOiBOL2E=
",0,2
2019-03-03T00:00:45Z,2019-03-03T20:36:22Z,2019-03-03T20:36:22Z,0,46,"QWRkIHN0cmluZyBhcnQgYXBwbGljYXRpb24gc3BlY2lmaWNhdGlvbg==
",1,2
2019-03-03T21:07:33Z,2019-03-04T05:09:58Z,2019-03-04T05:09:58Z,0,38,"QWRkZWQgVGltZXpvbmUgU2xhY2tib3QgaWRlYQ==
",0,2
2019-03-03T21:56:57Z,2019-03-04T18:55:42Z,2019-03-04T18:55:42Z,0,74,"QWRkIFdpbmRjaGlsbCBhcHBsaWNhdGlvbiBzcGVjaWZpY2F0aW9uDQoNClJlc29sdmVzOiBOL2EN
ClNlZSBhbHNvOiBOL2E=
",0,2
2019-03-03T22:59:21Z,2019-03-04T18:58:11Z,2019-03-04T18:58:11Z,2,33,"QWRkIFJpcHBsZSBMaWdodHMgYXBwbGljYXRpb24gc3BlY2lmaWNhdGlvbg0KDQpSZXNvbHZlczog
Ti9hDQpTZWUgYWxzbzogTi9h
",0,2
2019-03-04T23:17:53Z,2019-03-05T05:21:26Z,2019-03-05T05:21:26Z,0,1,"QWRkIFdpbmRjaGlsbCBsaW5rIHRvIGFwcGxpY2F0aW9uIHRhYmxlIGluIFJFQURNRS5tZA0KDQpS
ZXNvbHZlczogTi9hDQpTZWUgYWxzbzogTi9h
",0,2
2019-03-06T02:02:56Z,2019-03-07T19:14:10Z,2019-03-07T19:14:10Z,0,39,"QWRkIEJpbjJEZWMgYXBwbGljYXRpb24gc3BlY2lmaWNhdGlvbg0KDQpSZXNvbHZlczogTi9hDQpT
ZWUgYWxzbzogTi9h
",0,2
2019-03-06T15:14:22Z,2019-03-07T19:13:37Z,2019-03-07T19:13:37Z,0,38,"QWRkIFRydWVPckZhbHNlIGFwcCBzcGVjaWZpY2F0aW9uDQoNClJlc29sdmVzOiBOL2ENClNlZSBh
bHNvOiBOL2E=
",0,2
2019-03-07T13:29:50Z,2019-03-07T19:12:50Z,2019-03-07T19:12:50Z,0,37,"QWRkIEZsaXAgSW1hZ2UgQXBwIHNwZWNpZmljYXRpb24NCg0KUmVzb2x2ZXM6IE4vYQ0KU2VlIGFs
c286IE4vYQ==
",0,2
2019-03-09T16:31:06Z,2019-03-10T19:59:57Z,2019-03-10T19:59:57Z,0,41,"QWRkIENvbG9yIEN5Y2xlIGFwcGxpY2F0aW9uIHNwZWNpZmljYXRpb24NCg0KUmVzb2x2ZXM6IE4v
YQ0KU2VlIGFsc286IE4vYQ==
",1,2
