created_at,merged_at,closed_at,deletion_count,additions_count,body,comment_count,participants_count
2010-11-08T20:46:41Z,,2010-11-08T23:06:51Z,0,1,,4,3
2010-11-08T20:48:04Z,,2010-11-08T20:50:34Z,0,2,"YXMgc3ViamVjdCBzYWlkLgo=
",1,2
2010-11-08T20:48:32Z,,2010-11-08T20:50:43Z,0,2,"LmdpdGlnbm9yZSBmb3IgdGhlIGtvaGFuYSBwaHAgZnJhbWV3b3JrLgo=
",1,3
2010-11-08T20:49:53Z,,2010-11-08T20:50:22Z,0,3,"UHJvYmFibHkgYWxyZWFkeSBnb3QgYSBkb3plbiByZXF1ZXN0cyB3LyB0aGVzZSBzYW1lIG9uZXMs
IGJ1dCBpZ25vcmVzIGZvciBiYXNpYyBQeXRob24gYW5kIEp5dGhvbi4K
",1,2
2010-11-08T20:51:53Z,,2010-11-08T22:53:38Z,0,1,,2,2
2010-11-08T20:52:25Z,,2010-11-08T23:06:45Z,0,19,"QmFzaWMgaWdub3JlcyBmb3IgVmlzdWFsIFN0dWRpbyAyMDA1LzIwMDgsIGZvciBDKysgYW5kIEMj
IHByb2plY3RzLgo=
",1,2
2010-11-08T20:53:06Z,,2010-11-08T22:52:56Z,0,5,"SWdub3JlcyBQeXRob24gYnl0ZSBjb2RlIGFuZCBzZXR1cC5weSBhcnRpZmFjdHMuCg==
",1,2
2010-11-08T21:03:48Z,,2010-11-08T21:09:40Z,0,27,"anVzdCBhZGRlZCBWaXN1YWwgU3R1ZGlvIGlnbm9yZXMK
",1,3
2010-11-08T21:08:58Z,,2010-11-08T23:06:41Z,1,2,"Tm8gcG9pbnQgc3RvcmluZyBhbGwgb2YgdGhlIGluc3RhbGxlZCBnZW1zLiBKdXN0IGtlZXAgdmVu
ZG9yL2NhY2hlIGFyb3VuZCBmb3IgZGVwbG95cy4K
",3,3
2010-11-08T21:12:17Z,,2010-11-08T22:52:51Z,0,1,,1,2
2010-11-08T21:18:52Z,,2010-11-08T22:52:47Z,0,8,"SSBhZGRlZCBhIGJhc2ljIGdpdGlnbm9yZSBmaWxlIGZvciBDKysuIENvbXBpbGVkIG9iamVjdCBm
aWxlcywgYXMgd2VsbCBhcyBkeW5hbWljIGFuZCBzdGF0aWMgbGlicmFyaWVzIGFyZSBpZ25vcmVk
Lgo=
",1,2
2010-11-08T21:18:58Z,,2010-11-08T22:52:35Z,0,2,"WGNvZGUgNCBhZGRzIG1vcmUgdXNlciBjb25maWd1cmF0aW9uIGZpbGVzIGluIHRoZSBwcm9qZWN0
IGJ1bmRsZSB0aGF0IHNob3VsZCBiZSBpZ25vcmVkLgo=
",1,2
2010-11-08T21:21:22Z,,2010-11-08T23:06:30Z,0,7,,1,2
2010-11-08T21:26:35Z,,2010-11-08T22:52:32Z,0,76,"SGksIAoKSSBoYXZlIGFkZGVkIGEgTWFnZW50byBlY29tbWVyY2UgZ2l0aWdub3JlIGZpbGUuCgpU
aGFua3MsCgpEYW5ueQo=
",1,2
2010-11-08T21:27:11Z,,2010-11-08T22:52:29Z,0,12,"SSBhZGRlZCBhIGJhc2ljIGdpdGlnbm9yZSBmb3IgQW5kcm9pZCBwcm9qZWN0cy4K
",1,2
2010-11-08T21:28:04Z,,2010-11-08T23:06:26Z,0,4,"QWRkZWQgSW50ZWxsaUogaWdub3Jlcwo=
",3,3
2010-11-08T21:29:51Z,2010-11-08T22:41:28Z,2010-11-08T22:41:28Z,0,26,"SGVsbG8gdGhlcmUhIEkganVzdCBhZGRlZCBmZXcgdGhpbmdzIHRvIHB5dGhvbi9yYWlscyBpZ25v
cmVzLCBhbmQgY3JlYXRlIGdpdGlnbm9yZXMgZm9yIHN0YW5kYWxvbmUgcnVieSBhbmQgZXJsYW5n
IG90cCBwcm9qZWN0cy4KCkNoZWVycywgQ2hyaXMK
",0,1
2010-11-08T21:31:15Z,2010-11-08T22:41:29Z,2010-11-08T22:41:29Z,0,1,"QWRkZWQgbGluZSB0byBPYmplY3RpdmUtQyBnaXRpZ25vcmUgdG8gaWdub3JlIHRoZSAqLm1vdmVk
LWFzaWRlIGZpbGVzIGZyb20gWENvZGUK
",0,1
2010-11-08T21:36:47Z,2010-11-08T22:41:29Z,2010-11-08T22:41:29Z,0,26,"QW5kIHNjYWxhLi4uIDopCg==
",0,1
2010-11-08T21:50:27Z,2010-11-08T22:41:30Z,2010-11-08T22:41:30Z,0,8,"TGl0dGxlLWtub3duIGZhY3Q6IHlvdSBjYW4gc3VwcGx5IGEgc2V0IG9mIGRlZmF1bHQgWGNvZGUg
dXNlci1sZXZlbCBzZXR0aW5ncyB0aGF0IHdpbGwgYmUgY29waWVkIGludG8gYW55IG5ldyB1c2Vy
IHNldHRpbmdzLiBGb3IgZXhhbXBsZTogRXhlY3V0YWJsZSBhcmd1bWVudHMgYW5kIGVudmlyb25t
ZW50YWwgdmFyaWFibGVzIGFyZSBzdG9yZWQgb24gYSBwZXItdXNlciBiYXNpcy4gSG93ZXZlciwg
SSBjYW4gaGF2ZSBteSBwcm9qZWN0IHVzZXJzIGF1dG9tYXRpY2FsbHkgImluaGVyaXQiIHRoZXNl
IHNldHRpbmdzIGJ5IHNwZWNpZnlpbmcgdGhlbSBpbiBhIGRlZmF1bHQucGJ4dXNlciBmaWxlIGlu
IHRoZSAqLnhjb2RlcHJvai4K
",0,1
