created_at,merged_at,closed_at,deletion_count,additions_count,body,comment_count,participants_count
2014-12-08T10:59:42Z,,2014-12-08T11:00:35Z,2,71,"VGhpcyBQUiBhZGRyZXNzZXMgaXNzdWUgIzkyMTYsIGFzIHdlbGwgYXMgdXBkYXRlcyBhIHRlc3Qg
Zm9yIHdoaWNoCmEgY29tcHJvbWlzZSBoYWQgdG8gaGF2ZSBiZWVuIG1hZGUgZWFybGllciBvbi4K
",6,4
2014-12-08T11:12:46Z,,2017-02-15T22:47:22Z,0,0,"IyMgUGxlYXNlIGRvIG5vdCBzZW5kIHB1bGwgcmVxdWVzdHMgdG8gdGhlIGdvbGFuZy9cKiByZXBv
c2l0b3JpZXMuCgpXZSBkbywgaG93ZXZlciwgdGFrZSBjb250cmlidXRpb25zIGdsYWRseS4KClNl
ZSBodHRwczovL2dvbGFuZy5vcmcvZG9jL2NvbnRyaWJ1dGUuaHRtbAoKVGhhbmtzIQo=
",3,4
2014-12-12T16:17:12Z,,2014-12-12T16:24:55Z,1,1,"c2VlIGdvbGFuZy5vcmcvaXNzdWUvOTI4MQo=
",1,2
2014-12-12T22:58:15Z,,2014-12-12T23:01:46Z,1,1,"QSBtZXRob2QgaGFzIGJlZW4gY3JlYXRlZCBhbmQgc2hvdWxkIGJlIHVzZWQgSSBndWVzcy4K
",1,4
2014-12-16T00:51:40Z,,2014-12-16T12:51:30Z,25,91,"U3VwcG9ydCBmb3IgIFNIQS0zODQgY2lwaGVyc3VpdGVzIGluc2lkZSBvZiBgY3J5cHRvL3Rsc2As
IHJlcXVpcmluZyBjaGFuZ2VzIHRvIHRoZSBkZXJpdmF0aW9uIG9mIFBSRiAoYHByZkZvclZlcnNp
b25gIGNhbid0IGJlIGJhc2VkIGp1c3Qgb24gdmVyc2lvbikKClRlc3RzIHN0aWxsIGluY29tcGxl
dGUsIHJ1biB3aXRoIGBnbyB0ZXN0IC11cGRhdGVgIHRvIHJlZ2VuZXJhdGUgZmxvd3MgIGZvciBm
dXR1cmUgdGVzdGluZyAoTm90IHNvIG11Y2ggaGVscCBpZiB0aGUgb3JpZ2luYWwgZmxvd3MgYXJl
IHdyb25nLi4uKQo=
",3,4
2014-12-18T05:20:11Z,,2014-12-18T05:22:43Z,1,1,"Zml4ZWQgZ2l0aHViIHJlcG9zaXRvcnkgbGluawo=
",5,6
2014-12-22T14:13:46Z,,2014-12-22T15:46:36Z,3,3,"UmVmZXJlbmNlIHRvIG5vdGVNYXJrZXIgaGVyZTogaHR0cHM6Ly9naXRodWIuY29tL2dvbGFuZy9n
by9ibG9iL21hc3Rlci9zcmMvZ28vZG9jL3JlYWRlci5nbyNMNDAzCldlIGFsc28gbmVlZCB0byBm
aXggdGhlIGxpbmsgb24gdGhlIGJ5dGVzIHBhY2thZ2VzIGluIHRoZSBwb3N0IGJsb2cgaGVyZTog
aHR0cDovL2Jsb2cuZ29sYW5nLm9yZy9nb2RvYy1kb2N1bWVudGluZy1nby1jb2RlCg==
",3,3
2014-12-24T11:12:41Z,,2014-12-24T11:26:47Z,1,1,"SSB0aGluayB0aGlzIHdhcyBhIGNvcHkgcGFzdGUgZXJyb3IuCg==
",1,3
2014-12-31T10:06:40Z,,2014-12-31T10:10:01Z,2,2,"Zm9yIE1vdmVCZWZvcmUsIGlmIGUgPT0gbWFyay5wcmV2LCB3byBjYW4gcmV0dXJuIGRpcmVjdGx5
LCBzYW1lIGFzIGFib3ZlIHRvIE1vdmVBZnRlci4KCnNlZSBNb3ZlVG9Gcm9udCBvciBNb3ZlVG9C
YWNrCg==
",1,3
2015-01-08T18:10:11Z,,2015-01-08T18:21:21Z,4,4,"d3Jvbmcgc3RydWN0IG5hbWUK
",1,3
2015-01-27T23:29:41Z,,2015-01-27T23:32:50Z,1,1,"c2ltcGxlIGNoYW5nZSAtIHNob3VsZCBiZSBgJFBBVEhgIGluc3RlYWQgb2YganVzdCBgUEFUSGAu
Cg==
",2,3
2015-02-14T13:26:40Z,,2015-02-14T15:51:55Z,0,5,"QWRkZWQgZG9jdW1lbnRhdGlvbiBmb3IgdGhlIHJlZGlyZWN0IHRoYXQgaGFwcGVucywgd2hlbiBh
IHBhdGggZW5kaW5nIHdpdGggYGluZGV4Lmh0bWxgIGlzIHByb3ZpZGVkIHRvIGBTZXJ2ZUZpbGVg
Cg==
",1,3
2015-02-18T23:07:29Z,,2015-02-18T23:10:06Z,0,15,"VGhpcyBpcyBhbiBlZmZpY2llbnQgd2F5IHRvIGFkZCBudW1iZXIgZnJvbSAxIHRvIHNheSAxMDAu
Cg==
",2,3
2015-03-04T21:01:16Z,,2015-03-04T21:44:59Z,1,1,"TmV2ZXIgdXNlIEhUVFAgZm9yIGdpdC4KClRoaXMgaXMgYSBkYW5nZXJvdXMgc2VjdXJpdHkgZmxh
dywgYnV0IGVhc2lseSBmaXhlZC4KLSBodHRwczovL3R3aXR0ZXIuY29tL3dpcmV0YXBwZWQvc3Rh
dHVzLzU3MzE3MzU2NzcyODMwODIyNAo=
",1,4
2015-03-08T16:59:03Z,,2015-03-08T17:19:42Z,1,1,"SSBub3RpY2VkIGEgc3BlbGxpbmcgbWlzdGFrZSBpbiB0aGUgY29tbWVudHMuCg==
",2,3
2015-04-03T07:37:26Z,,2015-04-03T07:53:29Z,1,1,"aHR0cHM6Ly9naXRodWIuY29tL2dvbGFuZy9nby9pc3N1ZXMvMTAzMjIKCkdpdCB1c2VzIGEgZmls
ZSAoaW5zdGVhZCBvZiBhIGRpcmVjdG9yeSkgZm9yIHN1Ym1vZHVsZSByZXBvc2l0b3JpZXMuCg==
",1,4
2015-04-04T23:04:21Z,,2015-04-04T23:08:26Z,1,1,"VGhlIGN1cnJlbnQgaW1wbGVtZW50YXRpb24gb2YgYFRvNGAgcmV0dXJucyBgbmlsYCBvbmx5IGlm
IHRoZSBJUCBhZGRyZXNzCmlzIGludmFsaWQsIGkuZS4gaGFzIHRoZSB3cm9uZyBsZW5ndGguCg==
",4,3
2015-04-06T04:31:15Z,,2015-04-06T04:50:59Z,2,2,"UmVuYW1lIHl5RW9mQ29kZSB0byB5eUVPRkNvZGUgdG8gYXBwZWFzZSBnb2xpbnQncyBuYW1pbmcg
cnVsZXMuCg==
",2,3
2015-04-13T14:11:34Z,,2015-04-13T17:57:52Z,0,6,"VGhlIGRvY3VtZW50YXRpb24gbGFja3MgaW4gdGhlIHNlbWFudGljcyBvZiBob3cgdGhlIEZvcm0g
ZmllbGQgaXMgcG9wdWxhdGVkIG9uIGh0dHAuUmVxdWVzdC4gVGhpcyB1cGRhdGVzIHRoZSBGb3Jt
IGZpZWxkIG9uIFJlcXVlc3QgdG8gdGFsayBhYm91dCB0aGUgYnVzaW5lc3MgbG9naWMgYmVoaW5k
IHBvcHVsYXRpb24uCg==
",1,3
2015-04-18T15:50:26Z,,2015-04-18T18:49:24Z,4,4,"VGhlIGdlbmVyYWwgZXhwbGFuYXRpb24gaXMgdGhlIHNhbWUsIGJ1dCBpdCB3YXMgZWRpdGVkIGZv
ciBncmFtbWFyIGFuZCByZWFkYWJpbGl0eS4K
",2,3
2015-05-02T01:55:22Z,,2015-05-02T01:59:30Z,0,8,"SSBmb3VuZCB0aGF0IHdoZW4gcGFyc2luZyBVUkxzIHdpdGggYSBwb3J0IGFuZCBubyBzY2hlbWUs
IHRoZSBwYXJzZXIgd291bGQgcmV0dXJuIHRoZSBob3N0bmFtZSBpbiB0aGUgU2NoZW1lIGZpZWxk
LCBhbmQgYW4gZW1wdHkgc3RyaW5nIGluIHRoZSBob3N0IGZpZWxkLiBUaGlzIHRlc3Qgc2hvdWxk
IGNhdGNoIHRoYXQuCg==
",3,4
2015-05-07T15:59:58Z,,2015-05-07T16:35:44Z,1,1,"VGhlIHNpZ25hdHVyZSB0aGVuIGFsc28gbWF0Y2hlcyB0aGUgZG9jdW1lbnRhdGlvbiBmb3IgdGhl
IG9zIHBhY2thZ2UuCg==
",3,5
2015-05-11T06:07:08Z,,2015-05-11T06:08:00Z,4,4,,0,2
