created_at,merged_at,closed_at,deletion_count,additions_count,body,comment_count,participants_count
2017-04-10T14:09:04Z,2017-04-10T20:05:14Z,2017-04-10T20:05:14Z,16,16,"QWxzbyBmaXhlZCBzb21lIEpTT04gZXJyb3JzLg==
",1,2
2017-04-20T02:59:48Z,2017-04-20T16:52:38Z,2017-04-20T16:52:38Z,5,5,,0,2
2017-04-21T18:24:47Z,2017-04-21T18:39:30Z,2017-04-21T18:39:30Z,3,5,"dXBkYXRlZEF0IHdhcyBtaXNzaW5nIDop
",1,2
2017-04-23T03:00:19Z,2017-04-23T03:02:57Z,2017-04-23T03:02:57Z,1,1,,1,2
2017-04-23T20:35:04Z,2017-04-23T20:45:12Z,2017-04-23T20:45:12Z,1,1,,0,3
2017-04-24T09:48:04Z,2017-04-24T17:59:13Z,2017-04-24T17:59:13Z,2,2,"Tm90aWNlZCB0aGUgaW5jb25zaXN0ZW50IGNhc2UgZm9yIHlvdXIgR2l0SHViIG9yZ2FuaXphdGlv
bg==
",1,2
2017-04-28T14:34:22Z,2017-04-28T16:00:32Z,2017-04-28T16:00:32Z,1,2,"V2FzIGNhdXNpbmcgdGhlIEFQSSBDYWxsIHRvIGZhaWwu
",1,2
2017-04-29T19:57:39Z,2017-04-29T20:13:26Z,2017-04-29T20:13:26Z,1,1,,0,2
2017-05-04T10:06:02Z,2017-05-04T17:36:00Z,2017-05-04T17:36:00Z,45,758,"IyMgQ29sbGVjdGlvbg0KVXBkYXRlZCBwb3N0bWFuIGNvbGxlY3Rpb24gdG8gaW5jbHVkZSBzZXBh
cmF0ZSByZXF1ZXN0cyBmb3Igb3B0aW9uYWwgYXV0aCBlbmRwb2ludHMuDQpDaGFuZ2VkIGZpbGVu
YW1lIHRvIHJlZmxlY3QgY29ycmVjdCBmb3JtYXQuDQpSZW1vdmVkIHRoZSBwcm9wZXJ0eSAnaWQn
IGZyb20gdXNlciB0ZXN0cy4NCg0KIyMgUmVhZG1lDQpBZGRlZCB0aGUgbWlzc2luZyBib2R5IGFu
ZCB0YWdMaXN0IG9uIHRoZSBleGFtcGxlIHJlc3BvbnNlLg==
",2,2
2017-05-04T16:20:07Z,2017-05-04T17:37:22Z,2017-05-04T17:37:22Z,1,1,"QWRkIHRoZSBLb3RsaW4rU3ByaW5nIFdJUCBiYWNrZW5k
",0,2
2017-05-04T17:59:00Z,2017-05-04T18:06:58Z,2017-05-04T18:06:58Z,6,6,"QXBvbG9naWVzLCBpIGVkaXRlZCB0aGUgcmVhZG1lIGEgYml0IG9uIGdpdGh1YiBhdCB0aGUgbGFz
dCBtb21lbnQgYW5kIGl0IGtpbmRhIHNjcmV3ZWQgdXAgdGhlIHN0eWxpbmcgZm9yIGZldyBsaW5l
cy4=
",1,2
2017-05-05T16:23:34Z,2017-05-05T16:28:12Z,2017-05-05T16:28:12Z,1,1,,0,2
2017-05-08T01:32:02Z,2017-05-08T18:05:55Z,2017-05-08T18:05:56Z,0,1217,"VGhpcyBsaWtlbHkgbmVlZHMgZnVydGhlciB3b3JrLCBidXQgaXQgc2hvdWxkIGJlIGEgZmFpdGhm
dWwgcmVwcmVzZW50YXRpb24gb2Ygd2hhdCdzIGluIHRoZSBbb3JpZ2luYWwgc3BlY10oaHR0cHM6
Ly9naXRodWIuY29tL2dvdGhpbmtzdGVyL3JlYWx3b3JsZC9ibG9iL21hc3Rlci9hcGkvUkVBRE1F
Lm1kKS4gVGhlIG9yaWdpbmFsIHNwZWMgaXNuJ3QgY2xlYXIgb24gSFRUUCBzdGF0dXMgY29kZXMg
KGUuZy4sIDIwMCB2ZXJzdXMgMjAxKSwgY2VydGFpbiBmaWVsZHMgKGUuZy4sIGNyZWF0ZWRBdCBp
biB0aGUgVXNlciByZXNwb25zZSksIHNvIHRob3NlIGFyZSB1bmNsZWFyIGhlcmUgYXMgd2VsbC4N
Cg0KSSB0aGluayBpdCdzIHdvcnRoIHJlZmluaW5nIGZ1cnRoZXIgdXNpbmcgdGhpcyBzcGVjLg==
",3,4
2017-05-09T01:53:38Z,2017-05-10T02:59:40Z,2017-05-10T02:59:40Z,269,310,"QWRkcmVzc2VzICMzNSA=
",0,2
