created_at,merged_at,closed_at,deletion_count,additions_count,body,comment_count,participants_count
2012-02-10T00:30:42Z,2012-02-10T00:33:15Z,2012-02-10T00:33:15Z,2,2,"QWRkZWQgYnJpZWYgbWVtb2l6YXRpb24gYnJlYWtkb3duCkFkZGVkIG15c2VsZiB0byB0aGUgY29u
dHJpYnV0b3JzIGxpc3QK
",0,2
2012-02-10T03:09:46Z,2012-02-10T03:14:38Z,2012-02-10T03:14:38Z,1,3,"OnRyb2xsZmFjZToK
",0,2
2012-02-12T04:30:56Z,2012-02-13T07:32:45Z,2012-02-13T07:32:45Z,0,1,,0,2
2012-02-20T18:35:01Z,2012-02-20T19:19:53Z,2012-02-20T19:19:53Z,5,5,,0,2
2012-02-27T06:56:50Z,2012-02-27T07:11:55Z,2012-02-27T07:11:56Z,1,2,,0,2
2012-04-16T05:45:54Z,2012-06-05T18:16:26Z,2012-06-05T18:16:26Z,0,245,"SGVsbG8uIGRhcmN5Y2xhcmtlLgoKSSBtYWRlIGEgdHJhbnNsYXRpb24gdG8gS29yZWFuLgpJdCB3
YXMgdmVyeSBpbnRlcmVzdGluZyBqb2JzIHRvIG1lLgpBdCB0aGUgZmlyc3QsIEkgZm9jdXNlZCB0
byB0cmFuc2xhdGUuCkJ1dCBzb21lIHF1ZXN0aW9ucyBpcyBub3QgZml0IGluIEtvcmVhIHNpdHVh
dGlvbi4KSWYgeW91IGFncmVlIHRvIGFkZCBxdWVzdGlvbnMgZml0dGluZyB0byBLb3JlYSBzaXR1
YXRpb24sIEknbGwgZG8gbWFrZS4KUGxlYXNlIGxvb2sgdGhyb3VnaCBteSBzdWdnZXN0aW9uLiA6
KQoKQmVzdCBSZWdhcmRzLApTb25naHVuLgo=
",2,5
2012-06-23T07:31:42Z,2012-06-23T07:41:26Z,2012-06-23T07:41:26Z,1,1,,0,2
2012-06-23T14:36:03Z,2012-06-23T17:51:55Z,2012-06-23T17:51:55Z,0,179,"SGksIEkndmUgbWFkZSB0aGUgSXRhbGlhbiB0cmFuc2xhdGlvbiBmb3IgdGhpcyBkb2N1bWVudC4K
CkNoZWVycwpHaXVsaWEK
",0,2
2012-07-04T19:50:31Z,2012-07-04T22:49:56Z,2012-07-04T22:49:56Z,43,74,,0,2
2012-07-04T23:02:15Z,2012-07-05T00:11:01Z,2012-07-05T00:11:01Z,0,211,"UHJvb2ZyZWFkIGJ5IHByb2Zlc3Npb25hbCBFbmdsaXNoIHRvIFNwYW5pc2ggdHJhbnNsYXRvci4K
",2,4
2012-07-17T19:38:25Z,,2012-07-23T02:54:14Z,0,1,"V2FzIGRvaW5nIGFuIGludGVydmlldyBhbmQgYSBjYW5kaWRhdGUgdHJpZWQgdG8gY29udmluY2Ug
bWUgdGhhdCB0aGV5IHByZWZlcnJlZCB0byB1c2UgdmFuaWxsYSBKYXZhc2NyaXB0IGJlY2F1c2Ug
alF1ZXJ5IG1lc3NlZCB3aXRoIHRoZSBwcm90b3R5cGUuIEkgdHJpZWQgdG8gZXhwbGFpbiB0aGF0
IHBlcmhhcHMgdGhleSdyZSB0aGlua2luZyBvZiBQcm90b3R5cGUuanMgYW5kIHRoZXkgY29ycmVj
dGVkIG1lLCBub3QgUHJvdG90eXBlLmpzLCBidXQgdGhlIEphdmFzY3JpcHQgbmF0aXZlIHByb3Rv
dHlwZXMgYXQgd2hpY2ggcG9pbnQgSSByZWFsaXplZCB0aGV5IGhhZCBubyBpZGVhIGhvdyBqUXVl
cnkgd29ya2VkIG9yIHRoZSBkaWZmZXJlbmNlIGJldHdlZW4gdGhlIHdyYXBwZXIgZnJhbWV3b3Jr
cyBsaWtlIGpRdWVyeS9ZVUkvRG9qby9FeHQgYW5kIHRoZSBmcmFtZXdvcmtzIHRoYXQgZG8gZXh0
ZW5kIHRoZSBKUyBuYXRpdmVzIGxpa2UgUHJvdG90eXBlL01vb3Rvb2xzLgo=
",2,2
2012-07-19T17:22:47Z,,2012-07-23T02:47:09Z,0,2,"QWRkZWQgdHdvIHNpbXBsZSBxdWVzdGlvbnM6ICJOYW1lIHRocmVlIGRpZmZlcmVudCBmYWxzeSB2
YWx1ZXMgaW4gSmF2YVNjcmlwdCIgYW5kICJOYW1lIGF0IGxlYXN0IDggZWxlbWVudHMgd2hpY2gg
d2VyZSBpbnRyb2R1Y2VkIGluIEhUTUw1Ii4K
",1,2
2012-07-20T17:23:20Z,2012-07-23T02:48:45Z,2012-07-23T02:48:45Z,0,214,"YnkgQHNpeGRlZ3JlZXMgYW5kIEkK
",1,3
2012-07-31T02:34:35Z,,2012-08-08T17:56:14Z,1,1,"SWYgSSdtIG5vdCBtaXN0YWtlbiBGbGFzaCBvZiBVbnN0eWxlZCBDb250ZW50IGlzIG1vcmUgb2Yg
YSBDU1MgaXNzdWUgaGF2aW5nIHRvIGRvIHdpdGggQGltcG9ydCBhbmQgaW5saW5lIHN0eWxlcy4K
Ckdvb2dsaW5nIEZPVUMgKyBqYXZhc2NyaXB0IEkgc2VlIHRoaW5ncyBhYm91dCB0ZWNobmlxdWVz
IGZvciBoaWRpbmcgdGhlIGNvbnRlbnQgdW50aWwgdGhlIGxvYWQgZXZlbnQgZmlyZXMuIElmIHRo
aXMgaXMgd2hhdCB0aGUgcXVlc3Rpb24gd2FzIG1lYW50IHRvIHJlZmVyIHRvIHRoZW4gSSB3b3Vs
ZCBub3QgY29uc2lkZXIgdGhhdCBhIGJlc3QgcHJhY3RpY2UsIGFuZCBub3Qgc29tZXRoaW5nIEkg
d291bGQgY29uc2lkZXIgdG8gYmUgZXNzZW50aWFsIGtub3dsZWRnZS4K
",1,2
2012-08-04T17:27:01Z,2012-08-08T17:54:01Z,2012-08-08T17:54:01Z,1,2,"QWRkZWQgcXVlc3Rpb24gYW5kICJ1c2Ugc3RyaWN0Ii4K
",0,2
2012-08-17T01:22:02Z,2012-10-02T01:41:55Z,2012-10-02T01:41:55Z,0,310,"SGksIEkgaGF2ZSB0cmFuc2xhdGVkIHRoaXMgcmVwbyB0byBDaGluZXNlLCB5b3UgY2FuIGNoZWNr
IGl0IGFuZCBkZWNpZGUgd2hldGhlciBhZGQgaXQgdG8geW91ciByZXBvLiBUaHguCg==
",2,4
2012-09-21T12:02:11Z,2012-10-02T01:41:29Z,2012-10-02T01:41:29Z,0,231,"QWRkZWQgUnVzc2lhbiB0cmFuc2xhdGlvbgo=
",0,2
2012-10-02T16:27:27Z,2012-10-09T19:02:22Z,2012-10-09T19:02:22Z,2,2,"QWRkZWQgYW4gZXh0cmEgJ09wdGlvbmFsIGZ1biBRdWVzdGlvbicKaHR0cDovL3d3dy53M3NjaG9v
bHMuY29tLyBvciBodHRwOi8vdzNmb29scy5jb20vCg==
",0,2
