created_at,merged_at,closed_at,deletion_count,additions_count,body,comment_count,participants_count
2014-09-06T22:56:16Z,2014-09-09T15:44:04Z,2014-09-09T15:44:04Z,2,98,"Q3JlYXRpb24gbWVjaGFuaXNtIGZvciBJdm9yeVRvd2VyIGlzIHVwZGF0ZWQuCg==
",4,2
2014-09-10T10:31:55Z,,2014-09-25T18:17:54Z,3,3,,1,1
2014-09-11T13:22:26Z,2014-09-13T21:04:01Z,2014-09-13T21:04:01Z,1,702,"SSBtYWRlIGFuIGF0dGVtcCB0byBpbXBsZW1lbnQgYSBwcm9ncmFtIHRoYXQgdXNlcyB0aGUgc3Bl
Y2lmaWMgcGF0dGVybi4KQWx0aG91Z2ggTW9kZWwtVmlldy1QcmVzZW50ZXIgaXMgY29uc2lkZXJl
ZCBhcyBhbiBhcmNoaXRlY3R1cmFsIHBhdHRlcm4sIEkgdGhvdWdoIHRoYXQgeW91IG1pZ2h0IGJl
IGludGVyZXN0ZWQgaW4gc3VjaCBwYXR0ZXJucyB0b28uCg==
",3,2
2014-10-07T15:25:16Z,2014-10-08T04:57:10Z,2014-10-08T04:57:10Z,507,465,"SnVzdCBmb3JtYXR0ZWQgdGhlIEFwcCBjbGFzc2VzIHRvIGJlIGxpa2UgdGhlIG90aGVycywgSSB0
aGluayB0aGVyZSBhcmUgc3RpbGwgc29tZSBvdGhlciBjbGFzc2VzIHRoYXQgYXJlbid0IGNvcnJl
Y3RseSBmb3JtYXR0ZWQgYWxzbywgaWYgdGhpcyBwdWxsIHJlcXVlc3QgaXMgYWNjZXB0ZWQgSSds
bCBmaXggdGhlbSBhbHNvCg==
",0,2
2014-10-08T10:07:05Z,2014-10-08T17:44:22Z,2014-10-08T17:44:22Z,1,1,"VXBkYXRlZCB0aGUgbGljZW5zZSBmaWxlLCBzbyBpdCBub3cgaW5kaWNhdGVzIGl0J3MgcmVzcGVj
dGZ1bCBvd25lciBhbmQgdGhlIHllYXIgdGhhdCB0aGUgcHJvamVjdCB3YXMgY3JlYXRlZC4K
",0,2
2014-10-08T12:56:26Z,2014-10-08T17:51:55Z,2014-10-08T17:51:56Z,870,952,"Rm9ybWF0dGVkIHVzaW5nIGVjbGlwc2UsIGFsbCBmaWxlcyBzaG91bGQgbm93IGhhdmUgdGhlIHNh
bWUgZm9ybWF0dGluZyBzdGFuZGFyZAo=
",0,2
2014-10-13T20:34:10Z,2014-10-14T08:23:46Z,2014-10-14T08:23:46Z,2,32,"VGhyZWFkLXNhZmUgYW5kIGxhenkgbG9hZGluZy4K
",2,2
2014-10-18T00:04:28Z,2014-10-18T16:02:35Z,2014-10-18T16:02:35Z,0,0,"VGhpcyBjb21taXQgZml4ZXMgdGhlIGZvbGxvd2luZyBwcm9ibGVtczoKLSBwcm90ZWN0ZWQgbWV0
aG9kcyBtYXJrZWQgYXMgcHVibGljLgotIGluaGVyaXRlZCBvcGVyYXRpb25zIHRoYXQgYXJlIG5v
dCBvdmVycmlkZW4gYXJlIHJlcGVhdGVkLgotIG9uZSBtZXRob2QgaGFkIGFuIGludmFsaWQgcGFy
YW1ldGVyIChzZWUgYXR0YWNoZWQgaW1hZ2UpLgotIGFic3RyYWN0IGNsYXNzIG5vdCBpbmRpY2F0
ZWQgYXMgc3VjaC4KClRoaXMgY29tbWl0IGltcHJvdmVzIHRoZSBmb2xsb3dpbmcgYXNwZWN0czoK
LSBJIGRpZCBub3QgbGlrZSBob3cgdGhlIGNsYXNzZXMgd2VyZSBhcnJhbmdlZCwgc28gd2VudCBh
aGVhZCBhbmQgbWFkZQogIHNvbWUgc21hbGwgY2huZ2VzLiBJIGhvcGUgeW91IGRvbid0IG1pbmQg
dGhlIGRpZmZlcmVudCBkaXN0cmlidXRpb24uCgohW3RlbXBsYXRlLW1ldGhvZC1vbGQtYnVnXSho
dHRwczovL2Nsb3VkLmdpdGh1YnVzZXJjb250ZW50LmNvbS9hc3NldHMvODI3MTA5MC80Njg3Njcz
LzQxYTFhMmMwLTU2NWEtMTFlNC04OTgzLWU0NGVmODYzYmFiZi5qcGcpCg==
",0,2
2014-10-20T15:39:16Z,2014-10-21T04:45:15Z,2014-10-21T04:45:15Z,22,7,"QSBuZXcgZGlhZ3JhbSwgaG9wZWZ1bGx5IGJldHRlci4KClNvbWUgY29kZSByZXdyaXRpbmcgSSB0
aG91Z2h0IHdvdWxkIG1ha2UgaXQgbmVhdGVyLgoKV2VhdGhlci5qYXZhIDogbGluZXMgMzEgfiAz
MyA6IGNhbm5vdCBjb21tZW50IGFib3V0IHBlcmZvcm1hbmNlLCBidXQgaXQgc2hvdWxkICoqbm90
KiogYmUgYW4gaXNzdWUgZm9yIHRoaXMgcHJvZ3JhbS4gSSBzcGVudCBzb21lIHRpbWUgdHJ5aW5n
IHRvIHVuZGVyc3RhbmQgd2h5IGEgc3dpdGNoIHdhcyB1c2VkIGFuZCwgYWZ0ZXIgc2VlaW5nIHRo
YXQgaXQgZG9lcyBub3QgImNoYW5nZSB0aGUgb3JkZXIiIG9mIHRoZSBlbnVtZXJhdGVkIGNvbnN0
YW50cywgSSBqdXN0IHJld3JvdGUgaXQgdG8gYSBzaW1wbGVyICJnZXRUaGVOZXh0IiB2ZXJzaW9u
Lgo=
",0,2
2014-10-31T01:24:31Z,2014-11-03T20:35:41Z,2014-11-03T20:35:41Z,25,2726,"dGhlIHJlc3QgcGFydCBJIHdpbGwgdXBkYXRlIGxhdGVyCg==
",7,2
2014-11-08T22:47:44Z,2014-11-09T10:57:24Z,2014-11-09T10:57:24Z,22,11,"Q29tbWl0IG1lc3NhZ2VzIGFyZSBkZXNjcmlwdGl2ZSBlbm91Z2guCg==
",2,2
2014-11-10T13:19:15Z,2014-11-11T20:00:30Z,2014-11-11T20:00:30Z,89,5,,1,3
2014-11-11T23:25:39Z,2014-11-12T19:22:05Z,2014-11-12T19:22:05Z,0,127,"R2VuZXJpYyBvYnNlcnZlciBpbnNwaXJlZCBieSBKYXZhIEdlbmVyaWNzIGFuZCBDb2xsZWN0aW9u
IGJ5IE5hZnRhbGluICYgV2FkbGVyCg==
",2,3
2014-11-21T13:40:48Z,2014-11-21T20:14:52Z,2014-11-21T20:14:52Z,0,15,"QWRkZWQgYSBzaG9ydCBleHBsYW5hdGlvbiBvZiB0aGUgYXBwbGljYXRpb24ncyBsb2dpYy4K
",0,2
2014-11-24T09:53:35Z,2014-11-26T13:58:31Z,2014-11-26T13:58:32Z,0,21,"QWNjb3JkaW5nIHRvIEVmZmVjdGl2ZSBKYXZhIDJuZCBFZGl0aW9uLCBFbnVtIHR5cGUgY2FuIGJl
IHVzZWQgdG8gaW1wbGVtZW50IGEgc2luZ2xldG9uCg==
",9,4
2014-12-01T14:19:29Z,2014-12-02T05:48:22Z,2014-12-02T05:48:22Z,1,1985,"QWRkaW5nIHRoZSBzZXJ2YW50IHBhdHRlcm4gYW5kIHJlbGV2YW50IGRpYWdyYW1zKEdlbk15TW9k
ZWwgZ2VuZXJhdGVkKQo=
",14,2
2014-12-02T00:19:39Z,2014-12-02T18:24:53Z,2014-12-02T18:24:53Z,27,54,,3,3
2014-12-02T03:09:48Z,2014-12-02T18:26:09Z,2014-12-02T18:26:09Z,34,66,,0,3
2014-12-02T04:51:06Z,2014-12-02T06:08:19Z,2014-12-02T06:08:19Z,1,1,,0,2
2014-12-02T06:07:01Z,2014-12-02T15:26:01Z,2014-12-02T15:26:01Z,898,80,"RGlkbid0IGxpa2UgdGhlIEdlbk15TW9kZWwgcmVwcmVzZW50YXRpb24gYW5kIGl0IHdhcyBxdWl0
ZSBkaWZmZXJlbnQgdGhhbiBhbGwgb3RoZXIgVU1MIGRpYWdyYW1zCg==
",0,2
2014-12-04T20:34:23Z,2014-12-05T21:00:29Z,2014-12-05T21:00:29Z,1,86,,4,2
2014-12-05T21:57:41Z,2014-12-06T11:50:24Z,2014-12-06T11:50:24Z,0,295,"U2VydmljZSBsb2NhdG9yIHBhdHRlcm4gZm9yIGVuY2Fwc3VsYXRpbmcgc2VydmljZXMgbG9va3Vw
IG92ZXIgSk5ESSBhbmQgcHJvdmlkZSBhIGNhY2hpbmcgbWVjaGFuaXNtIHRvIHJlZHVjZSBKTkRJ
IGxvb2t1cHMgYW5kIGluY3JlYXNlIHBlcmZvcm1hbmNlCg==
",2,2
2015-02-06T10:50:23Z,2015-02-10T05:03:48Z,2015-02-10T05:03:48Z,98,57,,4,2
2015-02-10T08:12:39Z,2015-02-10T17:09:47Z,2015-02-10T17:09:47Z,275,300,"SGksIEkgaGFkIGNoYW5nZWQgZm9yIHNvbWUgcGF0dGVybnMsIHBsZWFzZSBjaGVjay4K
",3,2
