created_at,merged_at,closed_at,deletion_count,additions_count,body,comment_count,participants_count
2015-05-27T00:40:02Z,,2015-05-29T17:30:50Z,0,20,"QWRkcyBzb21ldGhpbmcgYWJvdXQgY3JlYXRpbmcgbXVsdGlwbGUgZGlyZWN0b3JpZXMgd2l0aCBv
bmUgY29tbWFuZC4K
",3,2
2015-06-15T21:34:13Z,2015-06-15T22:48:31Z,2015-06-15T22:48:31Z,5,5,"Q2hlZXJzIQo=
",1,2
2015-06-15T22:20:56Z,2015-06-15T22:44:31Z,2015-06-15T22:44:31Z,1,1,,1,2
2015-06-15T23:35:02Z,2015-06-15T23:37:11Z,2015-06-15T23:37:11Z,1,1,"SSBwcm9wb3NlIGdyZXAgLWkgZmxhZyBpcyBwcmV0dHkgdXNlZnVsIGFuZCBpbXBvcnRhbnQgZW5v
dWdoIHRvIG1lbnRpb24uCg==
",1,2
2015-06-15T23:59:46Z,,2015-06-16T02:32:04Z,1,0,"VGhpcyBtYWtlcyBTZWN1cmUgU2hlbGwgbW9zdGx5IGp1c3QgYSBTaGVsbCwgbGVhdmluZyB5b3Ug
b3BlbiB0byBNSVRNcyB0aGF0IHlvdSB3aWxsIG5ldmVyIG5vdGljZS4K
",1,2
2015-06-16T00:01:14Z,2015-06-20T05:54:57Z,2015-06-20T05:54:57Z,0,2,"QWRkZWQgYSBzdWdnZXN0aW9uIHRvIHNldCB0aGUgZWRpdGluZyBtb2RlIGZvciBiYXNoIHRvIHZp
LiAKCkNvbnNpZGVyaW5nIHRoYXQgdmkgaXMgdGhlIHJlY29tbWVuZGVkIHRleHQtZWRpdG9yLCBp
dCdkIGJlIHdvcnRoIGF0IGxlYXN0IG1lbnRpb25pbmcgdGhpcywgSSB0aGluay4K
",3,3
2015-06-16T00:03:20Z,2015-06-20T05:56:38Z,2015-06-20T05:56:38Z,1,1,,3,4
2015-06-16T00:06:49Z,,2015-06-16T02:32:04Z,1,0,"VGhpcyBhbGxvd3MgbWFsaWNpb3VzIGhvc3RzIHRvIHNwb29mIGFueSBzdG9yZWQgaWRlbnRpdHku
Cg==
",1,2
2015-06-16T00:33:43Z,,2015-06-16T02:35:30Z,1,1,"UGVyIGh0dHBzOi8vbmV3cy55Y29tYmluYXRvci5jb20vaXRlbT9pZD05NzIyNzcwICwgZG8gbm90
IHJlZmVyIHRvIENMSSB1c2FnZSBhcyBhcmNoYWljIC0gaXQgaXMgc3RpbGwgcXVpdGUgYW4gYXBw
cm9wcmlhdGUgYW5kIG5lY2Vzc2FyeSBza2lsbCBmb3IgZW5naW5lZXJzIGFuZCBzeXNhZG1pbnMg
YWxpa2UuCg==
",0,1
2015-06-16T01:13:10Z,2015-06-16T02:36:17Z,2015-06-16T02:36:17Z,0,2,"SSBiZWxpZXZlIGdwZyBkZXNlcnZlcyBhIG1lbnRpb24gYmVjYXVzZSBpdCBwcm92aWRlcyB2ZXJ5
IGNvbnZlbmllbnQgYW5kCnBvd2VyZnVsIG9wdGlvbnMgZm9yIGVuY3J5cHRpbmcgZmlsZXMsIG9y
IGFueSBkYXRhIGluIGdlbmVyYWwuIEV2ZW4Kd2l0aG91dCBhIGtleSwgdXNpbmcgZ3BnIHdpdGgg
anVzdCAtLXN5bW1ldHJpYyBjYW4gYmUgZ3JlYXQgZm9yIHNlY3VyZQp0cmFuc3BvcnQgb3Igc3Rv
cmFnZS4K
",1,2
