created_at,merged_at,closed_at,deletion_count,additions_count,body,comment_count,participants_count
2014-07-16T02:46:10Z,2014-07-16T03:07:40Z,2014-07-16T03:07:40Z,0,3,,0,2
2014-07-16T02:55:38Z,,2014-07-16T03:08:57Z,0,1,"SGVyZSBpcyBhIG5pY2UgSmF2YSBsaWJyYXJ5IEkgd291bGQgbGlrZSB0byBhZGQgdG8geW91ciBs
aXN0IQo=
",1,2
2014-07-16T03:12:07Z,2014-07-16T03:14:09Z,2014-07-16T03:14:09Z,1,1,,0,2
2014-07-16T03:27:12Z,2014-07-16T03:53:29Z,2014-07-16T03:53:29Z,0,1,"QWRkZWQgdG8gdGhlIEphdmFTQ3JpcHQgRGF0YSBBbmFseXNpcyAvIERhdGEgVmlzdWFsaXphdGlv
biBzZWN0aW9uOiBEMy5qcwo=
",1,2
2014-07-16T03:35:21Z,2014-07-16T03:52:48Z,2014-07-16T03:52:48Z,0,5,"QWRkaW5nIGxpbmtzIHRvIHRoZXNlIHR3byBsaWJyYXJpZXMuIFRoZXNlIHR3byBsaWJyYXJpZXMg
aGF2ZSBiaW5kaW5ncyBmcm9tIG1hbnkgZGlmZmVyZW50IGxhbmd1YWdlcy4gSWYgbWFueSBsaWJy
YXJpZXMgaGF2ZSBtYW55IGJpbmRpbmdzLCBJIHdvdWxkIHByZWZlciBhIHdpa2lwZWRpYS1zdHls
ZSB0YWJsZSB0aGF0IGluY2x1ZGVzIGNvbG9yaW5nIGFuZCBzb3J0aW5nIG9wdGlvbnMuCg==
",2,2
2014-07-16T03:56:02Z,2014-07-16T03:59:54Z,2014-07-16T03:59:54Z,5,3,"TUxsaWIsIHBhcnQgb2YgQXBhY2hlIFNwYXJrLCBpcyBwb3NzaWJseSB0aGUgbW9zdCBhY3RpdmUg
ZGlzdHJpYnV0ZWQgbWFjaGluZSBsZWFybmluZyBsaWJyYXJ5IGluIGRldmVsb3BtZW50LiBJdCBo
YXMgNTArIGNvbnRyaWJ1dG9ycyBpbiB0aGUgcGFzdCBmZXcgbW9udGhzLiAKCkl0IGZlYXR1cmVz
IEFQSXMgaW4gSmF2YSwgU2NhbGEsIGFuZCBQeXRob24uIAo=
",1,2
2014-07-16T04:27:28Z,2014-07-16T04:29:30Z,2014-07-16T04:29:30Z,0,1,,0,2
2014-07-16T04:50:51Z,2014-07-16T04:58:06Z,2014-07-16T04:58:06Z,1,2,,0,2
2014-07-16T05:28:37Z,2014-07-16T05:29:00Z,2014-07-16T05:29:00Z,0,1,"SGVyZSdzIG15IHNvbHV0aW9uIGZvciB0aGUgR2FsYXh5IENoYWxsZW5nZSA6KSAoUHl0aG9uICsg
VGhlYW5vKQo=
",4,2
2014-07-16T05:42:28Z,2014-07-16T05:44:30Z,2014-07-16T05:44:30Z,0,1,"VGhlIHBhY2thZ2UncyBTRnJhbWUgYW5kIFNHcmFwaCBvYmplY3RzIG1pZ2h0IGFsc28gYmUgb2Yg
aW50ZXJlc3QgdG8gTUwgcHJhY3RpdGlvbmVycywgZXNwZWNpYWxseSB0aG9zZSB3aG8gcnVuIG91
dCBvZiBtZW1vcnkgd2hlbiB1c2luZyBQeXRob24ncyBQYW5kYXMgYW5kIE5ldHdvcmtYIHBhY2th
Z2VzLgo=
",1,2
2014-07-16T06:28:36Z,2014-07-16T11:36:24Z,2014-07-16T11:36:24Z,0,2,"QWRkZWQgVm93cGFsIFdhYmJpdCBhbmQgc29maWEtbWwgdG8gdGhlIEMrKyBzZWN0aW9uLgo=
",1,2
2014-07-16T06:32:30Z,2014-07-16T11:36:36Z,2014-07-16T11:36:36Z,0,1,,1,2
2014-07-16T06:46:51Z,2014-07-16T11:37:11Z,2014-07-16T11:37:11Z,0,4,,1,2
2014-07-16T06:52:30Z,2014-07-16T11:38:07Z,2014-07-16T11:38:07Z,2,2,,1,2
2014-07-16T06:54:49Z,2014-07-16T11:38:24Z,2014-07-16T11:38:24Z,0,4,"QWRkZWQgYSBsaW5rIHRvIHRoZSBDUkFOIE1MIHRhc2sgdmlldyBhbmQgZGlyZWN0IGxpbmtzIHRv
IHNvbWUgUiBwYWNrYWdlcy4K
",1,2
2014-07-16T07:08:21Z,2014-07-16T11:39:23Z,2014-07-16T11:39:23Z,1,2,"QWRkZWQgYSBmZXcgU2NhbGEgbGlicmFyaWVzLgo=
",1,2
2014-07-16T07:10:46Z,2014-07-16T11:39:42Z,2014-07-16T11:39:42Z,1,1,,1,2
2014-07-16T07:24:55Z,2014-07-16T11:40:17Z,2014-07-16T11:40:17Z,0,1,"Um9zZXR0YSBpcyBhIFB5dGhvbiBsaWJyYXJ5IHRvIG1ha2UgZGF0YS1zY2llbmNlIG9uIHRleHR1
YWwgZGF0YSBlYXNpZXIuClRoZSBsaWJyYXJ5IGNvbnRhaW5zIGEgbnVtYmVyIG9mIGhpZ2gtcGVy
Zm9ybWFuY2UgdXRpbGl0aWVzIGZvciBjb21tb24gdGFza3MKZW5jb3VudGVyZWQgZHVyaW5nIHRl
eHQtbWluaW5nIChlLmcuIHRva2VuaXphdGlvbikuClRoZSBsaWJyYXJ5IGFsc28gY29udGFpbnMg
YSBudW1iZXIgb2Ygd3JhcHBlcnMgdG8gbWFrZSB3b3JraW5nIHdpdGggbGlicmFyaWVzCnN1Y2gg
YXMgVm93cGFsIFdhYmJpdCBhbmQgR2Vuc2ltIHNpbXBsZXIuCgpJbnRyb2R1Y3RvcnkgdmlkZW86
IGh0dHA6Ly95b3V0dS5iZS9YdjZleExWYkdQawo=
",1,2
2014-07-16T07:26:08Z,2014-07-16T11:40:36Z,2014-07-16T11:40:36Z,0,1,"QWRkZWQgSDJPIEphdmEgTUwgbGlicmFyeS4K
",0,2
2014-07-16T07:33:30Z,,2014-07-16T11:41:15Z,2,2,"Q2xvc3VyZSAhPSBDbG9qdXJlLgo=
",1,2
2014-07-16T09:27:27Z,,2014-07-16T11:49:16Z,0,1,"TGluayB0byBJU0wK
",1,2
2014-07-16T09:44:32Z,2014-07-16T11:41:48Z,2014-07-16T11:41:48Z,1,1,"dHlwbwo=
",1,2
2014-07-16T10:39:53Z,2014-07-16T11:51:10Z,2014-07-16T11:51:10Z,0,3,"Q2FmZmUgaXMgd3JpdHRlbiBpbiBDKyssIGJ1dCBwcm92aWRlcyB3cmFwcGVycyB0byBQeXRob24g
YW5kIE1BVExBQiwgYW5kIG1vc3RseSB0aG9zZSB3cmFwcGVycyhzcGVjaWFsbHkgUHl0aG9uKSBh
cmUgdXN1ZWQgaW5zdGVhZCBvZiBDKysgQVBJLgoKSSB0aGluayBpdCdzIGN1cnJlbnRseSB0aGUg
bW9zdCBhZHZhbmNlZCBOZXVyYWwgTmV0d29yayBsaWJyYXJ5Lgo=
",0,2
2014-07-16T10:45:35Z,2014-07-16T11:53:08Z,2014-07-16T11:53:08Z,0,10,,0,2
2014-07-16T11:31:28Z,2014-07-16T11:42:37Z,2014-07-16T11:42:37Z,0,2,"SSBhZGRlZCB0d28gZ3JlYXQgb3BlbiBzb3VyY2UgcHJvamVjdHMgSSB3b3JrIG9uLCBib3RoIFVJ
TUEtYmFzZWQgTkxQIHRvb2xzLCBvbmUgZm9yIGdlbmVyYWwgZG9tYWluIGFuZCBvbmUgZm9yIGNs
aW5pY2FsIHRleHQuCg==
",1,2
2014-07-16T12:32:41Z,2014-07-16T14:18:25Z,2014-07-16T14:18:25Z,0,2,,1,2
2014-07-16T12:41:37Z,2014-07-16T14:18:38Z,2014-07-16T14:18:38Z,0,1,"YWRkaW5nIEpTQVQgdG8gbGlzdAo=
",1,2
2014-07-16T13:38:38Z,,2014-07-16T13:44:57Z,15,35,"SGVyZSBpcyBhIGZldyBvZiB0aGUgLk5FVCBwYWNrYWdlcyBJJ3ZlIHVzZWQgaW4gdGhlIHBhc3Qg
YW5kIGN1cnJlbnRseS4gTXkgZWRpdG9yIGFsc28gY2xlYW5lZCB1cCBzb21lIHdoaXRlc3BhY2Uu
Cg==
",0,1
2014-07-16T13:46:23Z,2014-07-16T14:19:11Z,2014-07-16T14:19:11Z,0,54,"VGhlcmUgd2FzIGEgbG90IG1pc3NpbmcgZnJvbSB0aGUgTHVhIHNlY3Rpb24sIHdoZXJlIHRvcmNo
IGlzIGEgbGlicmFyeSB1c2VkIGJ5IHRob3VzYW5kcyBvZiB1c2Vycy4gQWRkZWQgbGlua3MgdG8g
dGhlIHBvcHVsYXIgYW5kIHJlbGV2YW50IHBhY2thZ2VzIChtYWNoaW5lIGxlYXJuaW5nL3Zpc2lv
biBwYWNrYWdlcykgb25seS4K
",2,2
2014-07-16T13:57:25Z,2014-07-16T14:19:26Z,2014-07-16T14:19:26Z,1,2,,1,2
2014-07-16T13:58:25Z,2014-07-16T14:21:11Z,2014-07-16T14:21:11Z,16,38,"QWRkaW5nIHNvbWUgb2YgdGhlIC5ORVQgbGlicmFyaWVzLCBhbmQgTlVHRVQgcGFja2FnZXMgSSd2
ZSB1c2VkIHdpdGgg4oCmCuKApkMjLCBhbmQgRiMuIEFkZGluZyBpbiBzb21lIE5MUCBhbmQgc29t
ZSB2aXN1YWxpemF0aW9uIHByb2plY3RzIGFzIHdlbGwuIFNobyBjb3VsZCBwcm9iYWJseSBnbyB1
bmRlciBQeXRob24gYXMgd2VsbCBzaW5jZSBpdCBpcyBhbiBJcm9uUHl0aG9uIHByb2plY3QuIEhv
d2V2ZXIgSSBiZWxpZXZlIGl0IGlzIGJlc3QgaW4gLk5FVCBzaW5jZSBpdCdzIGRlc2lnbmVkIGZv
ciB0aGUgLk5FVCBlY29zeXN0ZW0uCg==
",3,2
2014-07-16T14:05:26Z,2014-07-16T14:21:22Z,2014-07-16T14:21:22Z,0,1,,1,2
2014-07-16T14:38:57Z,2014-07-16T14:39:30Z,2014-07-16T14:39:30Z,0,5,"QSBDIGxpYnJhcnkgZm9yIHByb2R1Y3QgcmVjb21tZW5kYXRpb25zL3N1Z2dlc3Rpb25zIHVzaW5n
IGNvbGxhYm9yYXRpdmUgZmlsdGVyaW5nIChDRikuCmh0dHBzOi8vZ2l0aHViLmNvbS9HSGFtcm91
bmkvUmVjb21tZW5kZXIK
",0,2
2014-07-16T14:45:22Z,2014-07-16T16:02:06Z,2014-07-16T16:02:06Z,1,1,,0,2
2014-07-16T17:51:20Z,2014-07-16T17:52:14Z,2014-07-16T17:52:14Z,2,1,"IEl0IGlzIG5vdCBDKysK
",2,2
2014-07-16T17:54:51Z,2014-07-16T18:02:08Z,2014-07-16T18:02:08Z,1,2,,1,2
2014-07-16T17:55:01Z,,2014-07-16T18:07:39Z,1,3,"SGksIEkgYW0gb25lIG9mIHRoZSBjb250cmlidXRvcnMgdG8gdGhlIEp1bGlhRFNQIG9yZ2FuaXph
dGlvbiBhbmQgd2UgaGF2ZSBhIHBhY2thZ2UgY2FsbGVkIERTUC5qbCwgd2hpY2ggaW5jbHVkZXMg
YmFzaWMgZGlnaXRhbCBzaWduYWwgcHJvY2Vzc2luZyB0b29scyAoZmlsdGVyaW5nLCB3aW5kb3dp
bmcsIHBlcmlvZG9ncmFtcywgc3BlY3Ryb2dyYW1zKS4gSSB0aG91Z2h0IGl0IHdvdWxkIGZpdCB5
b3VyIHBhY2thZ2UgbGlzdGluZy4K
",1,2
