created_at,merged_at,closed_at,deletion_count,additions_count,body,comment_count,participants_count
2017-03-12T01:50:48Z,2017-03-12T16:15:36Z,2017-03-12T16:15:36Z,11,13,"SGkhIEkgcmVhbGx5IGxpa2VkIHlvdXIgd3JpdGV1cCBidXQgc29tZSBvZiB5b3VyIGdyYXBocyB3
ZXJlIGJsdXJyeS4gSG9wZSB5b3UgZG9uJ3QgbWluZCB0aGF0IEkgcmUtcmVuZGVyZWQgaW4gZG90
LiAgVGhlIHJhdyBwbmcgZmlsZXMgYXJlIGluY2x1ZGVkIGluIGNhc2UgeW91IHdhbnQgdG8gY2hh
bmdlIGRpbWVuc2lvbnMuIA==
",1,2
2017-03-12T02:05:55Z,2017-03-12T16:15:52Z,2017-03-12T16:15:52Z,1,1,,1,2
2017-03-12T06:12:20Z,2017-03-12T16:16:18Z,2017-03-12T16:16:18Z,0,0,"Rml4ZXMgaHR0cHM6Ly9naXRodWIuY29tL2tkbjI1MS9pbnRlcnZpZXdzL2lzc3Vlcy8z
",1,2
2017-03-12T16:35:53Z,2017-03-14T17:05:13Z,2017-03-14T17:05:13Z,2,3,"dXBkYXRlIHdpdGggc21hbGwgaW5mbw==
",10,3
2017-03-12T17:07:00Z,2017-03-12T17:09:06Z,2017-03-12T17:09:06Z,1,1,"YHMgXj0gfigxIDw8IGspYCB3b3VsZCB0b2dnbGUgYWxsIHRoZSBiaXRzIGV4Y2VwdCBmb3IgdGhl
IGt0aC4=
",1,2
2017-03-12T17:42:36Z,2017-03-12T18:04:21Z,2017-03-12T18:04:21Z,1,1,"YmlnIHRpdGxlIGlzIGJldHRlciAoaSB0aGluayk=
",1,2
2017-03-12T18:39:21Z,2017-03-12T20:14:36Z,2017-03-12T20:14:36Z,0,1,"S2F0dGlzIGlzIGFub3RoZXIgb25saW5lIGp1ZGdlIHRoYXQncyBzb21ld2hhdCBzaW1pbGFyIHRv
IEhhY2tlclJhbmssIGJ1dCBmaWxsZWQgd2l0aCBwcm9ibGVtcyBmcm9tIEFDTS1JQ1BDIGFuZCBv
dGhlciBwcm9ncmFtbWluZyBjb250ZXN0cy4=
",1,2
2017-03-13T11:14:30Z,2017-03-14T00:23:13Z,2017-03-14T00:23:13Z,0,1,,1,2
2017-03-13T16:09:05Z,,2017-03-17T12:13:40Z,3,59,"LSBBZGRlZCB0d28gZXh0cmEgc2l0dWF0aW9ucyBkZXRlcm1pbmluZyB3aGV0aGVyIHR3byBnaXZl
biBpbnQgYXJyYXlzIGFyZSBwZXJtdXRhdGlvbnMuDQotIGFkZGVkIGNvbW1lbnRzIGZvciBjbGFy
aWZpY2F0aW9uIG9mIGltcGxlbWVudGF0aW9uIGFuZCBwYXJhbWV0ZXJzLiANCg0KQHBhcmFtIHR3
byBpbnQgYXJyYXlzDQoxLiBmaXJzdCBjYXNlIChubyBkdXBsaWNhdGVzKSANCjIuIHNlY29uZCBj
YXNlKCB3aGF0IHRvIGRvIHdoZW4gdGhlcmUgYXJlIGR1cGxpY2F0ZXMp
",0,2
2017-03-14T17:20:59Z,2017-03-15T23:34:44Z,2017-03-15T23:34:44Z,3,3,,1,2
2017-03-14T17:33:23Z,,2017-04-07T20:28:28Z,0,8,,7,3
2017-03-15T03:18:34Z,2017-03-15T23:44:46Z,2017-03-15T23:44:46Z,0,444,"UmVhZHkgZm9yICMxMiANCg0KVHJhbnNsYXRvcnM6IEB3eHl5eGMxOTkyIEBwaHhuaXJ2YW5h
",1,2
2017-03-15T07:20:13Z,,2017-03-23T14:22:17Z,0,2,,1,2
2017-03-15T16:05:58Z,2017-03-15T23:29:00Z,2017-03-15T23:29:00Z,1,2,"TG9ic3RlcnMgaXMgYSBsaW5rIGFnZ3JlZ2F0aW9uIHNpdGUgc2ltaWxhciB0byBITiwgYnV0IHVz
dWFsbHkganVzdCBoYXMgYSBkaWZmZXJlbnQgbWl4IG9mIHRlY2ggbmV3cy4NCg0KQWxzbyB0aGVy
ZSB3YXMgYSBtaXNzaW5nIHNwYWNlIGF0IHRoZSAiQml0bWFza3MiIGhlYWRpbmcu
",1,3
2017-03-16T03:11:13Z,2017-03-18T05:14:44Z,2017-03-18T05:14:44Z,0,1,"VG8ga2VlcCBpdCB1cC10by1kYXRlIHdpdGggdGhlIHVwc3RyZWFtIHJlcG9zaXRvcnku
",0,2
