created_at,merged_at,closed_at,deletion_count,additions_count,body,comment_count,participants_count
2012-04-23T02:49:19Z,2012-04-23T03:34:50Z,2012-04-23T03:34:50Z,249,360,,11,3
2012-04-23T19:37:02Z,2012-04-24T03:18:47Z,2012-04-24T03:18:47Z,119,91,"YGJ1aWxkLmpzYCB3aWxsIG5vdyBzYXZlIHRoZSBzbWFsbGVzdCBtaW5pZmllZCBkaXN0cmlidXRp
b24gYXMgYGxvZGFzaC5taW4uanNgLiBTZWUgaXNzdWUgIzEgZm9yIHRoZSBkaXNjdXNzaW9uLgo=
",4,2
2012-04-23T22:44:19Z,,2012-04-23T23:10:09Z,1,1,"V29ydGggbm90aW5nIHRob3VnaCDigJMgdGhpcyBmdW5jdGlvbiBpc24ndCB1c2VkIGVsc2V3aGVy
ZS4gUGVyaGFwcyBpdCBzaG91bGQgYmUgcmVtb3ZlZC4K
",2,2
2012-04-26T09:21:25Z,,2012-04-26T13:21:05Z,0,23,"IFRlc3RzIGlmIG9iamVjdCBpcyBkaXJlY3QgZGVzY2VuZGFudCBvZiBPYmplY3QsIHN1Y2ggYXMg
YHt9YCwgYnV0IGRvZXMgbm90IG1hdGNoIHN1YmNsYXNzZXMsIHdoaWNoIGBfLmlzT2JqZWN0YCBk
b2VzLgoKVGhpcyBpcyB1c2VmdWwgZm9yIGRldGVybWluaW5nIGlmIGFuICJvcHRpb25zIGhhc2gi
IGlzIHBhc3NlZCBpbiBhIGZ1bmN0aW9uIHdpdGggZHluYW1pYy9vdmVybG9hZGVkIGFyZ3VtZW50
cy4gIFlvdSBtYXkgaGF2ZSBhIGZ1bmN0aW9uIHRoYXQgY2FuIHRha2UgYXJndW1lbnRzIGxpa2Ug
dGhpczoKCmBgYCBqYXZhc2NyaXB0ClVzZXIuY3JlYXRlKHtuYW1lOiAnSm9lJ30pOyAvLyBwYXNz
ZWQgaW4gYW4gT2JqZWN0IGluc3RhbmNlLCB7fQpVc2VyLmNyZWF0ZShbe25hbWU6ICdKb2UnfSwg
e25hbWU6ICdKYW5lJ31dKTsgLy8gcGFzc2VkIGluIGFuIGFycmF5IG9mIHt9IGluc3RhbmNlcwpV
c2VyLmNyZWF0ZShuZXcgVXNlcih7bmFtZTogJ0pvZSd9KSk7IC8vIHBhc3NlZCBpbiBhIFVzZXIg
aW5zdGFuY2UsIHdoaWNoIGlzIGEgInN1YmNsYXNzIiBvZiBPYmplY3QsIGJ1dCBub3QgYSBkaXJl
Y3Qge30gaW5zdGFuY2UKLy8gdGhlIGNvbXBsZXggY2FzZToKVXNlci5jcmVhdGUobmV3IFVzZXIo
e25hbWU6ICdKb2UnfSksIHt2YWxpZGF0ZTogZmFsc2V9KTsgLy8gcGFzc2VkIGluIE1vZGVsLCB3
aGljaCBpcyBOT1QgYSBkaXJlY3Qge30gaW5zdGFuY2UsIHRoZW4gcGFzc2VkIGluIGEge30uCmBg
YAoKSWYgeW91IHdhbid0IHRvIGJlIGFibGUgdG8gZG8gdGhlIGxhc3QgY2FzZSwgeW91IGNhbid0
IHVzZSB0aGUgYF8uaXNPYmplY3RgIGZ1bmN0aW9uLCB5b3UnZCBuZWVkIHRvIGNoZWNrIGlmIHRo
ZSBvYmplY3QgaXMgYSBge31gIGluc3RhbmNlLCBub3QgYSBzdWJjbGFzcy4gIEZvciBleGFtcGxl
OgoKYGBgIGphdmFzY3JpcHQKTW9kZWwuY3JlYXRlID0gZnVuY3Rpb24oKSB7CiAgdmFyIGFyZ3Mg
PSBBcnJheS5wcm90b3R5cGUuc2xpY2UuY2FsbChhcmd1bWVudHMpOwogIHZhciBvcHRpb25zID0g
Xy5pc09iamVjdChhcmdzW2FyZ3MubGVuZ3RoIC0gMV0pID8gYXJncy5wb3AoKSA6IHt9OwogIC8v
IFRoZSBhYm92ZSB3b3JrcyBpbiB0aGVzZSBjYXNlczoKICAvLwogIC8vIE1vZGVsLmNyZWF0ZSht
b2RlbCwgb3B0aW9ucyk7IC8vIGFyZ3NbYXJncy5sZW5ndGggLSAxXSA9PSB0cnVlCiAgLy8gTW9k
ZWwuY3JlYXRlKG9wdGlvbnMpOyAvLyBhcmdzW2FyZ3MubGVuZ3RoIC0gMV0gPT0gdHJ1ZQogIC8v
IAogIC8vIGJ1dCBpdCBmYWlscyBpbiB0aGlzIGNhc2U6CiAgLy8KICAvLyBNb2RlbC5jcmVhdGUo
bW9kZWwpOyAvLyBhcmdzW2FyZ3MubGVuZ3RoIC0gMV0gPT0gdHJ1ZQogIC8vCiAgLy8gVGhlIGNv
cnJlY3Qgd2F5IHRvIGRvIHRoaXMsIGlzIHRvIGNoZWNrIGlmIGl0J3MgYSAiaGFzaCI6CiAgLy8K
ICB2YXIgb3B0aW9ucyA9IF8uaXNIYXNoKGFyZ3NbYXJncy5sZW5ndGggLSAxXSkgPyBhcmdzLnBv
cCgpIDoge307CiAgLy8KICAvLyB0aGlzIHdpbGwgd29yayBpbiBhbGwgb2YgdGhlc2UgY2FzZXM6
CiAgLy8gCiAgLy8gTW9kZWwuY3JlYXRlKG1vZGVsLCBvcHRpb25zKTsgLy8gYXJnc1thcmdzLmxl
bmd0aCAtIDFdID09IHRydWUKICAvLyBNb2RlbC5jcmVhdGUob3B0aW9ucyk7IC8vIGFyZ3NbYXJn
cy5sZW5ndGggLSAxXSA9PSB0cnVlCiAgLy8gTW9kZWwuY3JlYXRlKG1vZGVsKTsgLy8gYXJnc1th
cmdzLmxlbmd0aCAtIDFdID09IGZhbHNlCn0KYGBgCg==
",9,2
2012-04-27T05:37:51Z,,2012-05-06T23:17:25Z,55,167,"QSBwZXJmb3JtYW50IGltcGxlbWVudGF0aW9uIG9mIHBhcnRpYWwgYXBwbGljYXRpb24gdGhhdCBk
b2VzIG5vdCBhbHRlcgp0aGUgY29udGV4dCBvZiB0aGUgZnVuY3Rpb25zLiBBbHRob3VnaCBzaW1p
bGFyIHRvIGBfLmJpbmRgIGl0IHByb21vdGVzCmdyZWF0ZXIgY29tcG9zYWJpbGl0eSBhbmQgZmxl
eGliaWxpdHkgdGhyb3VnaCBub3QgYWx0ZXJpbmcgdGhlIGNvbnRleHQKYXQgYWxsLiBBIGNvbW1v
biB0b29sIGluIGZ1bmN0aW9uYWwgcHJvZ3JhbW1pbmcgdGhhdCBpcyBvZiBzdWNoIHV0aWxpdHkK
aXQgc2hvdWxkIGJlIGluIGNvcmUuCg==
",1,2
2012-05-10T05:27:52Z,,2012-05-15T06:19:12Z,115,186,"QEpvaG4gV2UgbWlnaHQgZW5kIHVwIHVzaW5nIHRoaXMgYXQgR1MhICBZb3UgYXJlIGF3ZXNvbWUg
YXMgdXN1YWwuCgpMZXQgbWUga25vdyBpZiB0aGlzIHdpbGwgd29yayBmb3IgaXNQcmltaXRpdmUu
ICBJIHJhbiBzb21lIGpzcGVyZiB0ZXN0cyBhbmQgdGhpcyBzZWVtcyB0byBiZSBmYXN0IGFjcm9z
cyB0aGUgYm9hcmQgYnV0IHNsb3dlciB0aGFuIGEgZmV3IG90aGVyIGFsdGVybmF0aXZlcyBvbiBD
aHJvbWUuICBUaGUgb3RoZXIgYWx0ZXJuYXRpdmUgbmFtZWx5IGJlaW5nIGNhY2hlZCBzdHJpbmdz
IGluIGFuIGFycmF5IHdpdGggY29uZGl0aW9uYWxzIGZvciB0aGUgdHlwZS9udWxsIGNoZWNrLiAg
SSB0aGluayB0aGlzIGlzIHRoZSBlYXNpZXN0IHRvIHJlYWQgYXBwcm9hY2ggdGhvdWdoLgo=
",5,2
2012-05-15T19:47:33Z,2012-05-20T04:11:09Z,2012-05-20T04:11:09Z,0,153,"IVtzY3JlZW5zaG90XShodHRwczovL2ltZy5za2l0Y2guY29tLzIwMTIwNTE1LWdrczE0azRjc3V0
a2szY3QzdDg4NnVidGc5LnBuZykK
",4,2
2012-05-29T11:46:09Z,,2012-05-29T14:20:23Z,1,1,"Rml4IGZvciBpc3N1ZSAjMTYgLSBfLnRlbXBsYXRlIGluY29tcGF0aWJpbGl0eSB3aXRoIFVuZGVy
c2NvcmUuanMuCg==
",2,2
2012-05-29T13:51:19Z,,2012-05-29T14:12:19Z,3,2,"R2l2ZW4gdGhlIGxpc3Qgb2YgY2hhcmFjdGVycyB0aGF0IGFyZSBlc2NhcGVkIGFscmVhZHksIEkg
Y2Fu4oCZdCB0aGluayBvZiBhIHJlYXNvbiB3aHkgeW914oCZZCB3YW50L25lZWQgdG8gZXNjYXBl
IGAvYCBpbiBhIHF1b3RlZCBhdHRyaWJ1dGUgdmFsdWUgb3IgYW4gZWxlbWVudOKAmXMgY29udGVu
dC4KCmBlc2NhcGUoKWAgaXMgb25seSBtZWFudCB0byBiZSB1c2VkIGluIHRoZXNlIHRocmVlIHNp
dHVhdGlvbnM6CgpgYGAgaHRtbAo8cD5IRVJFPC9wPgo8cCBkYXRhLWZvbz0iSEVSRSI+PC9wPgo8
cCBkYXRhLWZvbz0nSEVSRSc+PC9wPgpgYGAKCi0tLQoKV2hvb3BzLCB0eXBvIGluIGNvbW1pdCBt
ZXNzYWdlIOKAlCB0byBjbGFyaWZ5LCB0aGlzIGlzIGFib3V0IHRoZSBgL2AgY2hhcmFjdGVyLCBu
b3QgdGhlIGBcYCBjaGFyYWN0ZXIuIEnigJlsbCBmaXggdGhlIGNvbW1pdCBtZXNzYWdlIHVwb24g
bWVyZ2luIHRoZSBwdWxsIChpZiBpdCBnZXRzIGFwcHJvdmVkKS4K
",2,1
2012-06-07T13:05:30Z,,2012-06-07T13:54:07Z,1,6,"SSBkb24ndCBzdXJlIGl0IGlzIGJ1ZyBvciBhIGZlYXR1cmUuCg==
",8,2
