created_at,merged_at,closed_at,deletion_count,additions_count,body,comment_count,participants_count
2018-12-25T08:59:51Z,,2019-01-01T08:55:49Z,31,239,,2,3
2019-01-08T19:57:43Z,,2019-01-25T08:27:05Z,1,9,"SWYgeW91IGxpa2UgaXQsIGZlZWwgZnJlZSB0byBtZXJnZSBpdCA6KQ==
",0,2
2019-01-14T05:23:20Z,,2019-01-25T08:27:21Z,2,2,,0,2
2019-01-22T02:55:36Z,,2019-01-25T08:27:33Z,0,0,"bWVyZ2U=
",0,2
2019-02-19T10:33:34Z,,2019-03-22T01:22:26Z,298,335,"5Y+Y5pu06YWN572u5paH5Lu25Li6eW1s5qC85byP77yM6Kej5Yaz5Lit5paH6Kej5p6Q5oiQdW5p
Y29kZemXrumimA==
",1,2
2019-03-07T02:14:10Z,,2019-03-07T02:16:58Z,0,378,"5pu05paw5Luj56CB
",1,1
2019-03-14T01:51:22Z,,2019-03-18T07:47:01Z,0,0,"5pu05paw
",1,2
2019-03-18T02:17:30Z,,2019-03-18T02:18:28Z,18,309,"5ZCI5bm2
",0,1
2019-03-24T08:38:28Z,,2019-03-30T02:36:00Z,0,0,"MQ==
",2,2
2019-04-14T11:26:03Z,,2019-04-14T13:13:17Z,0,0,"dA==
",0,2
2019-04-18T14:37:49Z,,2019-06-13T12:08:42Z,1,6,,1,3
2019-04-22T06:10:26Z,,2019-04-22T06:35:11Z,0,0,"5Lu75Yqh
",1,1
2019-04-29T09:45:41Z,,2019-06-28T12:40:10Z,41,2281,"5re75Yqg5LqG5LiA5Lqb5o6l5Y+j77yM5pa55L6/5Zyo5bqU55So5Lit6LCD55So
",0,2
2019-04-30T03:45:59Z,,2019-05-17T14:06:41Z,1,1,"6YCC6YWNYC9vcmRlci9jb25maXJtT3JkZXJgIC0+IGAvb3JkZXIvZ2VuZXJhdGVDb25maXJtT3Jk
ZXJg6K+35rGC6Lev5b6E5L+u5pS544CC
",0,2
