created_at,merged_at,closed_at,deletion_count,additions_count,body,comment_count,participants_count
2017-09-04T19:05:08Z,2017-09-04T20:25:17Z,2017-09-04T20:25:17Z,1,1,"QXJoaXRlY3R1cmUgLT4gQXJjaGl0ZWN0dXJl
",1,2
2017-09-05T10:54:59Z,2017-09-05T11:28:15Z,2017-09-05T11:28:15Z,0,1,"QSBzaXRlIHRoYXQgc2hvd3Mgc29tZSBjb21tb24gc29ydGluZyBhbGdvcml0aG1zIHRvIGdpdmUg
YSBuaWNlIG92ZXJ2aWV3IGFzIHRvbyBob3cgdGhleSB3b3JrLg==
",1,2
2017-09-05T12:20:44Z,,2017-09-05T12:43:13Z,0,1,"UmVnRXhwZXIgaXMgYSBhIHZlcnkgdXNlZnVsbCB0b29sIElNSE8=
",1,2
2017-09-05T14:00:18Z,2017-09-05T14:03:46Z,2017-09-05T14:03:46Z,0,1,,1,2
2017-09-05T14:02:57Z,2017-09-05T14:04:29Z,2017-09-05T14:04:29Z,0,1,,1,2
2017-09-05T14:12:13Z,2017-09-05T20:44:08Z,2017-09-05T20:44:08Z,0,1,"UGxlYXNlIHRha2UgYSBsb29rIGF0IFtUaGUgVGVuIFJ1bGVzIG9mIGEgWmVuIFByb2dyYW1tZXJd
KGh0dHBzOi8vd3d3LnplbnByb2dyYW1tZXIub3JnL2VuL3RoZTEwcnVsZXNvZmF6ZW5wcm9ncmFt
bWVyLmh0bWwp
",1,2
2017-09-05T14:24:15Z,,2017-09-23T10:43:11Z,0,4,"QWRkZWQgYSBzZWN0aW9uIGZvciBkZXNpZ24gcGF0dGVybnMgd2l0aCBhIGNvdXBsZSByZXNvdXJj
ZXMgSSd2ZSB1c2VkLg==
",3,3
2017-09-05T16:46:59Z,2017-09-16T11:38:24Z,2017-09-16T11:38:24Z,0,1,"VGhpcyBib29rIGV4cGFuZHMgb24gdGhlIGNhcmVlciBzdHVmZiBmcm9tIFNvZnQgU2tpbGxzLg==
",5,4
2017-09-05T19:50:52Z,2017-09-06T16:59:47Z,2017-09-06T16:59:47Z,0,1,"SW5jbHVkZWQgYSBsaW5rIHRvIGEgcmVzZWFyY2ggcGFwZXIgdGhhdCBkb2VzIGEgZ3JlYXQgam9i
IG9mIGV4cGxhaW5pbmcgdGhlIHZhcmlvdXMgcGFyYWRpZ21zIHVuZGVyIHRoZSAqKlByYWN0aWNl
cyoqIHNlY3Rpb24u
",2,2
2017-09-05T21:19:50Z,2017-09-06T09:57:58Z,2017-09-06T09:57:58Z,0,1,"VGhlcmUgaXMgYSBsb3QgbW9yZSB0byBTZWN1cmUgUHJvZ3JhbW1pbmcgdGhhbiBPV0FTUDsgT1dB
U1AgaXMgYWN0dWFsbHkganVzdCBvbmUgYXJlYSBvZiBhIG11Y2ggd2lkZXIgZmllbGQuIERhdmlk
IFdoZWVsZXIncyBTZWN1cmUgUHJvZ3JhbW1pbmcgSE9XVE8gZ29lcyBpbnRvIGEgbG90IG1vcmUg
ZGV0YWlsLg==
",1,2
2017-09-06T03:30:09Z,2017-09-06T17:00:45Z,2017-09-06T17:00:46Z,0,3,,4,2
2017-09-06T11:14:24Z,2017-09-06T17:01:37Z,2017-09-06T17:01:37Z,1,1,,0,2
2017-09-06T12:12:27Z,2017-09-06T17:00:11Z,2017-09-06T17:00:11Z,1,1,,0,2
2017-09-06T13:04:39Z,,2017-09-23T10:43:23Z,0,1,,1,2
2017-09-07T01:08:31Z,2017-09-07T15:57:54Z,2017-09-07T15:57:54Z,1,1,,1,3
2017-09-08T09:41:37Z,,2017-09-16T11:34:54Z,0,1,,1,1
2017-09-08T16:27:41Z,,2017-09-16T11:37:41Z,0,136,"SSBUaGluayB0aGF0IGlzIGltcG9ydGFudCBoYXZlIHRoZSBzYW1lIGluZm9ybWF0aW9uIGluIGRp
ZmZlcmVudCBsYW5ndWFnZXMsIGJlY2F1c2UgdGhlIG1vc3Qgb2YgZGV2ZWxvcGVyIHRoYXQgd2ls
bCByZWFkIHRoaXMgcmVwbywgbWF5YmUgaXMgbmV3IGluIHByb2dyYW1taW5nLiBBbmQgaWYgeW91
IGhhdmUgdG8gcmVhZCBzb21lIHRoaW5ncyB0aGF0IHlvdSBkb25gdCBrbm93IGdvb2QgYW5kIGlu
IGRpZmZlcmVudCBsYW5ndWFnZSwgdGhpcyBjb21wbGljYXRlIHRoZSB3aG9sZSB0aGluZ3Mu
",4,2
2017-09-09T05:53:50Z,,2017-09-09T06:53:33Z,0,2,,1,2
