created_at,merged_at,closed_at,deletion_count,additions_count,body,comment_count,participants_count
2013-10-14T11:01:58Z,,2013-10-14T11:06:08Z,231,58,"SSBkaWQgbm90IG1vZGlmeSB0aGUgZmlsZXMgd2hlcmUgaXQgd2FzIG5vdCBhcHBhcmVudCB3aGVy
ZSB0aGUgZW5kIG9mIHRoZSBpZm5kZWYgd2FzICh0aGVzZSB3ZXJlIG1vc3RseSB0aGUgZ2xldyBm
aWxlcykKVGhpcyBhbHNvIG1lYW5zIEkgbW9kaWZpZWQgdGhlIGVtYmVkZGVkIGxpYnJhcmllcywg
d2hpY2ggbWlnaHQgbm90IGJlIHdhbnRlZC4KCkZvciBtb3JlIGluZm9ybWF0aW9uOgpodHRwOi8v
ZW4ud2lraXBlZGlhLm9yZy93aWtpL1ByYWdtYV9vbmNlCg==
",1,1
2013-10-14T11:22:39Z,2013-10-14T19:10:27Z,2013-10-14T19:10:27Z,205,52,"Rm9yIG1vcmUgaW5mb3JtYXRpb246Cmh0dHA6Ly9lbi53aWtpcGVkaWEub3JnL3dpa2kvUHJhZ21h
X29uY2UK
",0,2
2013-11-13T16:07:24Z,2013-11-13T16:30:48Z,2013-11-13T16:30:48Z,1,1,"VHJ5aW5nIHRvIGNvbXBpbGUgT0JTIHdpdGggYSB3eFdpZGdldHMgdmVyc2lvbiBiZWxvdyAyLjku
MCBjYXVzZXMgdGhlIGZvbGxvd2luZyBlcnJvcjoKCmBgYAp3aW5kb3ctc3ViY2xhc3MuY3BwOiBJ
biBtZW1iZXIgZnVuY3Rpb24gJ3ZpcnR1YWwgd3hTaXplIExpc3RDdHJsRml4ZWQ6OkRvR2V0QmVz
dENsaWVudFNpemUoKSBjb25zdCc6CndpbmRvdy1zdWJjbGFzcy5jcHA6NzA6MTA6IGVycm9yOiAn
RG9HZXRCZXN0Q2xpZW50U2l6ZScgaXMgbm90IGEgbWVtYmVyIG9mICd3eENvbnRyb2wnCmBgYAoK
QWNjb3JkaW5nIHRvIHRoZSB3eFdpZGdldHMgQVBJIGRvY3VtZW50YXRpb24gd3hXaW5kb3c6OkRv
R2V0QmVzdENsaWVudFNpemUoKSB3YXMgYWRkZWQgaW4gdmVyc2lvbiAyLjkuMDogaHR0cDovL2Rv
Y3Mud3h3aWRnZXRzLm9yZy90cnVuay9jbGFzc3d4X3dpbmRvdy5odG1sI2FmZTg0NDdjYjU5NzU1
ODRlZTNkNGEwM2UzZDAyZWU4OQoKVGhlIGNvbmZpZ3VyZSBzY3JpcHQgc2hvdWxkIHByb2JhYmx5
IGNoZWNrIGZvciB0aGUgY29ycmVjdCByZXF1aXJlZCB2ZXJzaW9uIGFuZCBub3QgYWxsb3cgY29t
cGlsYXRpb24gaWYgdGhlIHJlcXVpcmVkIHZlcnNpb24gaXMgbm90IGF2YWlsYWJsZS4K
",1,2
2013-11-26T23:47:01Z,,2013-11-27T00:02:37Z,1,1,,0,2
2013-12-07T20:14:44Z,2013-12-07T23:03:08Z,2013-12-07T23:03:08Z,5,14,"VGhlIG5ldyAuZWZmZWN0IGZpbGUgbG9jYXRpb25zIGZyb20gNzAyOTBiOGMyYjUyYzhiZjM1NGRk
ODAxMDQzZWIxNmJjNjA5YjE1NiB3ZXJlbid0IGFkZGVkIHRvIHRoZSBDTWFrZUxpc3QgZmlsZXMu
CkFsc28gYWRkZWQgc29tZSBjbWFrZSAmIHhjb2RlIGZpbGVzIHRvIGdpdGlnbm9yZQo=
",1,2
2013-12-07T21:58:48Z,2013-12-07T23:02:48Z,2013-12-07T23:02:48Z,14,50,,1,1
2013-12-27T22:49:02Z,2013-12-27T23:01:08Z,2013-12-27T23:01:08Z,29,31,"SW4gcGFydGljdWxhciwgaXQgcmVtb3ZlcyBhbnkgZGVwcmVjYXRlZCBmdW5jdGlvbmFsaXR5Cnd4
V2lkZ2V0cyBvbmx5IGRvY3VtZW50cyB0aGVpciBkZXByZWNhdGVkIG00IG1hY3JvcyBhbmQgZ2l2
ZXMgYSBwb29yIGV4YW1wbGUKQWxzbyB0byBub3RlIGluIHJlZ2FyZCB0byB3eFdpZGdldHMsIEkg
cmVtb3ZlZCBhbnkgdW5uZWVkZWQgbGlicmFyaWVzIGZyb20gdGhlIGxpbmtlciBsaW5lLgoKQW55
IHdhcm5pbmcgbWVzc2FnZXMgcHJvdmlkZWQgYnkgYXV0b2NvbmYgaGFzIGJlZW4gc3VwcmVzc2Vk
IGluIHRoZSBtb3N0IGFwcHJvcHJpYXRlIG1hbm5lciBwb3NzaWJsZS4K
",0,2
2013-12-27T23:11:31Z,2013-12-27T23:11:59Z,2013-12-27T23:11:59Z,1,1,,0,2
2013-12-27T23:23:44Z,2013-12-28T00:54:41Z,2013-12-28T00:54:41Z,2,3,,0,2
2014-01-02T23:18:22Z,2014-01-03T00:28:00Z,2014-01-03T00:28:00Z,21,402,"Tm90IG11Y2ggZWxzZSB0byBzYXkuLi4gSSB3b3VsZCBqdXN0IGxvb2sgaXQgb3ZlciB0byBtYWtl
IHN1cmUgaXQgZml0cyB3ZWxsIGludG8geW91ciBzeXN0ZW0uIAo=
",0,2
2014-01-03T00:37:07Z,2014-01-03T00:37:18Z,2014-01-03T00:37:18Z,3,5,,0,1
