created_at,merged_at,closed_at,deletion_count,additions_count,body,comment_count,participants_count
2017-04-28T20:26:31Z,2017-04-28T23:26:38Z,2017-04-28T23:26:38Z,0,1,,4,2
2017-04-28T20:32:07Z,2017-04-28T20:34:02Z,2017-04-28T20:34:02Z,0,2,"QWRkZWQgMiB0dXRvcmlhbHMgb24gR28gbGFuZzoNCg0KMS4gQnVpbGQgd2ViIGFwcHMgd2l0aCBH
aW4gZnJhbWV3b3JrDQoyLiBCREQgd2l0aCBHb2RvZw==
",0,2
2017-04-28T20:41:25Z,,2017-05-23T15:30:13Z,0,4,"SnVzdCBzZWVuIHlvdXIgcG9zdCBvbiBSZWRkaXQsIHNvIHByb3Bvc2luZyBteSBQSFAgdHV0b3Jp
YWwuIExldCBtZSBrbm93IGlmIGFueSBjaGFuZ2VzIGFyZSBuZWVkZWQgdG8gdGhlIFBSLg0K
",5,3
2017-05-01T08:21:12Z,2017-05-01T12:38:33Z,2017-05-01T12:38:33Z,0,1,,0,2
2017-05-01T14:06:54Z,2017-05-01T14:33:20Z,2017-05-01T14:33:20Z,1,1,"8J+YhCA=
",0,2
2017-05-02T01:00:18Z,2017-05-02T01:35:53Z,2017-05-02T01:35:53Z,6,10,,0,2
2017-05-02T16:36:27Z,2017-05-02T20:07:06Z,2017-05-02T20:07:06Z,0,3,"VGhpcyBpcyBhd2Vzb21lISBJIG5vdGljZWQgdGhhdCB0aGVyZSB3ZXJlbid0IHRvbyBtYW55IEFu
Z3VsYXIgcmVzb3VyY2VzLCBzbyB0aGlzIFBSIGFkZHMgYSB0d28gcGFydCBzZXJpZXMgb2YgYnVp
bGRpbmcgYSBwcm9ncmVzc2l2ZSBIYWNrZXIgTmV3cyBjbGllbnQgdXNpbmcgQW5ndWxhciAyKyA6
KQ==
",1,3
2017-05-04T22:28:16Z,2017-05-05T22:14:55Z,2017-05-05T22:14:55Z,0,4,,2,2
2017-05-05T06:18:31Z,2017-05-05T22:14:28Z,2017-05-05T22:14:28Z,0,8,"SSBhbHNvIGluY2x1ZGVkIGFkZGl0aW9uYWwgcmVzb3VyY2UgKGVnZ2hlYWQuaW8p
",0,2
2017-05-06T16:21:05Z,2017-05-06T22:55:18Z,2017-05-06T22:55:18Z,0,1,"VXBkYXRlZCBsaXN0IHdpdGggYSB0dXRvcmlhbCBvbiBob3cgdG8gY3JlYXRlIGEgdGVsZWdyYW0g
Ym90IHVzaW5nIFB5dGhvbg==
",0,2
