created_at,merged_at,closed_at,deletion_count,additions_count,body,comment_count,participants_count
2014-07-12T03:44:30Z,2014-07-12T08:10:00Z,2014-07-12T08:10:00Z,0,1,,0,2
2014-07-12T13:44:17Z,2014-07-12T15:22:16Z,2014-07-12T15:22:16Z,1,0,"SXQgbG9va3MgbGlrZSB0aGUgYXV0aG9yIGNvcHkvcGFzdGVkIHRoZSBhd2Vzb21lLWdvIHJlcG8g
LSByZW1vdmVkIHNvbWUgc3R1ZmYgYW5kIHRoZW4gcmVwbGFjZWQgImdvIiB3aXRoICJjb2JvbCIu
Cg==
",1,2
2014-07-12T14:42:52Z,2014-07-12T15:22:51Z,2014-07-12T15:22:51Z,0,1,,0,2
2014-07-13T02:41:29Z,2014-07-13T08:29:50Z,2014-07-13T08:29:50Z,0,1,,0,2
2014-07-16T13:19:12Z,2014-07-18T21:41:21Z,2014-07-18T21:41:21Z,0,1,,0,2
2014-07-17T07:39:40Z,,2014-07-19T15:30:08Z,8,10,,1,2
2014-07-17T11:33:04Z,2014-07-18T21:41:47Z,2014-07-18T21:41:47Z,0,1,,0,2
2014-07-17T13:42:50Z,,2014-07-19T15:26:48Z,0,1,,1,2
2014-07-17T14:02:51Z,2014-07-19T15:27:28Z,2014-07-19T15:27:28Z,0,1,,1,3
2014-07-20T05:17:37Z,,2014-07-24T15:59:38Z,0,1,,3,2
2014-07-20T13:42:57Z,,2014-07-24T15:58:52Z,0,3,,2,3
2014-07-20T21:25:09Z,2014-07-24T19:37:46Z,2014-07-24T19:37:46Z,0,1,,0,2
2014-07-21T20:29:57Z,2014-07-24T15:56:21Z,2014-07-24T15:56:21Z,0,1,,0,2
2014-07-23T09:09:43Z,2014-07-23T10:09:48Z,2014-07-23T10:09:48Z,0,1,,0,2
2014-07-25T21:26:38Z,2014-07-25T21:30:52Z,2014-07-25T21:30:52Z,0,1,"SnVzdCB0aG91Z2h0IHlvdXIgbGlzdCBjb3VsZCBuZWVkIHNvbWUgZnVuY3Rpb25hbCBTZWxlbml1
bSB0ZXN0cyA7LSkK
",0,2
2014-07-26T16:19:14Z,,2014-07-26T16:47:33Z,0,1,,0,1
2014-07-26T18:31:48Z,,2014-07-26T18:48:55Z,1,3,,2,2
2014-07-27T10:47:56Z,2014-07-27T11:04:56Z,2014-07-27T11:04:56Z,0,1,,0,2
2014-07-28T16:27:36Z,2014-07-28T17:16:36Z,2014-07-28T17:16:36Z,12,23,"SSBoYXZlIGJyb2tlbiBkb3duIE1pc2NlbGxhbmVvdXMgc2VjdGlvbiBpbnRvIHNlcGFyYXRlIGdy
b3VwcyBpZiB0aGVyZSBhcmUgMyBvciBtb3JlIGVudHJpZXMgcmVsYXRlZCB0byBlYWNoIG90aGVy
Lgo=
",1,3
2014-08-03T11:16:14Z,2014-08-03T11:43:10Z,2014-08-03T11:43:10Z,1,2,,0,2
2014-08-12T18:40:21Z,,2014-08-12T20:23:32Z,0,1,,1,3
2014-08-17T12:43:39Z,2014-08-17T12:45:13Z,2014-08-17T12:45:13Z,0,1,,0,2
2014-08-20T05:36:56Z,2014-08-20T22:29:51Z,2014-08-20T22:29:51Z,0,1,,0,2
