created_at,merged_at,closed_at,deletion_count,additions_count,body,comment_count,participants_count
2017-02-21T14:00:48Z,2017-02-21T14:11:18Z,2017-02-21T14:11:18Z,1,3,,0,2
2017-04-01T15:56:18Z,2017-04-01T15:57:12Z,2017-04-01T15:57:12Z,0,64,"VGVtcGxhdGUgaW5qZWN0aW9ucyBpbiBqaW5qYTIgdG8gcmVhZC93cml0ZSByZW1vdGUgZmlsZXMg
YW5kIGdldCByZW1vdGUgY29kZSBleGVjdXRpb24u
",0,2
2017-07-31T23:30:27Z,2017-08-01T09:43:12Z,2017-08-01T09:43:12Z,0,4,"Y2hlY2sgYnVja2V0IGRpc2sgc2l6ZQ==
",0,2
2017-08-07T15:58:53Z,2017-08-07T17:29:36Z,2017-08-07T17:29:36Z,0,4,"QWRkZWQgZmV3IHBheWxvYWRzIGluICJCeXBhc3MgdXNpbmcgYW4gYWx0ZXJuYXRlIHdheSB0byBl
eGVjdXRlIGFuIGFsZXJ0IiBzZWN0aW9uLg==
",0,2
2017-08-28T07:01:28Z,,2017-08-28T07:03:03Z,0,0,"cHVsbCByZXF1ZXN0
",1,1
2017-10-16T06:41:58Z,2017-10-16T07:55:32Z,2017-10-16T07:55:32Z,0,6,"Tm90IHN1cmUgaWYgaXQgcXVhbGlmaWVzIGFzIGEgX3BheWxvYWRfIGJ1dCBJJ2xsIGxldCB5b3Ug
YmUgdGhlIGp1ZGdlIG9mIHRoYXQgOik=
",1,2
2018-01-26T12:32:20Z,2018-01-26T19:14:51Z,2018-01-26T19:14:51Z,0,2,,0,2
2018-03-26T13:47:51Z,2018-03-26T13:57:47Z,2018-03-26T13:57:47Z,1,1,,0,2
2018-03-27T16:51:54Z,2018-03-27T17:59:28Z,2018-03-27T17:59:28Z,1,1,"Q29ycmVjdGVkIG1pc3NwZWxsaW5nLg==
",0,2
2018-03-27T23:55:26Z,2018-03-28T07:52:54Z,2018-03-28T07:52:54Z,1,4,"QWRkZWQgT3BlblZBUyB0byB0b29scw0KQWRkZWQgSGFja2Vycy5nZyB0byBPbmxpbmUgQ2hhbGxl
bmdlcw0KQWRkZWQgbm90ZSByZWdhcmRpbmcgRmlyZWZveCBRdWFudHVtIGFuZCBIYWNrYmFyLg==
",2,2
