created_at,merged_at,closed_at,deletion_count,additions_count,body,comment_count,participants_count
2017-11-01T03:53:13Z,2017-11-01T03:54:39Z,2017-11-01T03:54:39Z,1,1,"UmVtb3ZlcyBkb3VibGUgYmFjayBzbGFzaA==
",2,2
2017-11-01T04:04:53Z,2017-11-01T04:05:58Z,2017-11-01T04:05:58Z,1,1,"Ym9yZGVyIGNvbG9yIC0+IGJvcmRlciB3aWR0aA==
",1,2
2017-11-01T04:18:32Z,2017-11-01T04:19:13Z,2017-11-01T04:19:13Z,1,1,,1,2
2017-11-01T06:23:00Z,2017-11-01T11:59:33Z,2017-11-01T11:59:33Z,1,1,,1,2
2017-11-01T06:46:27Z,2017-11-01T12:00:11Z,2017-11-01T12:00:11Z,1,1,"U21hbGwgbWlzdGFrZSBvbiBib3JkZXIgcmFkaXVzLCByZWZlcmVuY2luZyBgLnNoYWRvdy1zbWAg
aW5zdGVhZCBvZiBgLnJvdW5kZWQtc21g
",1,2
2017-11-01T07:40:55Z,2017-11-01T12:00:50Z,2017-11-01T12:00:50Z,1,1,,1,2
2017-11-01T08:16:38Z,2017-11-01T12:01:50Z,2017-11-01T12:01:50Z,1,1,"Zml4IGEgbGl0dGxlIHR5cG8gYHJvdW5kZWQtdGAgaW5zdGVhZCBgcm91bmRlZC1sYA==
",1,2
2017-11-01T08:46:09Z,2017-11-01T12:04:34Z,2017-11-01T12:04:34Z,2,2,"UmVtb3ZlIHRoZSBleGFtcGxlcyB3aGljaCByZWZlcmVuY2UgdGhlIGBzaGFkb3dgIHV0aWxpdHkg
b24gdGhpcyBkb2N1bWVudGF0aW9uIHBhZ2Uu
",1,2
2017-11-01T10:31:07Z,2017-11-01T12:23:20Z,2017-11-01T12:23:20Z,2,2,,1,2
2017-11-01T10:52:15Z,2017-11-01T12:10:57Z,2017-11-01T12:10:57Z,1,1,"Q2hhbmdlcyBgc29tZSB0aW1lc2AgdG8gYHNvbWV0aW1lc2AgaW4gIkZ1bmN0aW9ucyBhbmQgRGly
ZWN0aXZlcyIgc2VjdGlvbiBvZiB0aGUgZG9jcy4=
",1,2
2017-11-01T12:19:33Z,2017-11-01T12:26:42Z,2017-11-01T12:26:42Z,1,1,"Rml4IHZhbHVlIGZvciBwcm9wZXJ0eSB2aXNpYmlsaXR5Lg0KYHZpc2libGl0eTogaGlkZGVuYA0K
",1,2
2017-11-01T13:25:09Z,2017-11-01T13:25:20Z,2017-11-01T13:25:20Z,5,5,"TW92aW5nIHRvIHN1YmNvbW1hbmRzIHdoZW4gYWRkaW5nIHRoZSBgaW5pdGAgY29tbWFuZCBicm9r
ZSB0aGlzIHdpdGhvdXQgdXMgbm90aWNpbmcuIEl0J3MgcHJvYmFibHkgYSBnb29kIGlkZWEgdG8g
YWRkIGEgYmlnIGRpcnR5IGludGVncmF0aW9uIHRlc3QgZm9yIHRoaXMgdGhhdCBqdXN0IGV4ZWN1
dGVzIHRoZSBDTEkgY29tbWFuZCBhbmQgbWFrZXMgc3VyZSB0aGUgZmlsZSB3YXMgY3JlYXRlZC4=
",0,1
2017-11-01T13:34:33Z,2017-11-01T13:34:44Z,2017-11-01T13:34:44Z,6,8,"SWYgc29tZW9uZSBjb3BpZXMgYW5kIHBhc3RlcyB0aGF0IGV4YW1wbGUgaW50byBhIHBsYWluIENT
UyBmaWxlLCB0aGUgY29tbWVudHMgd2lsbCBicmVhayB0aGluZ3MgaW4gYW5ub3lpbmcgYW5kIHVu
ZXhwZWN0ZWQgd2F5cy4gQmV0dGVyIHRvIHVzZSBwbGFpbiBDU1MgY29tbWVudHMuDQoNClJlc29s
dmVzICMxNS4=
",1,2
2017-11-01T14:34:33Z,,2017-11-01T15:12:07Z,1117,442,"SW4gYWRkaXRpb24gdG8gdGhlIGN1cnJlbnQgRmxleCBqdXN0aWZ5IGNsYXNzZXMgZm91bmQgaW4g
dGhlIGRvY3MsIHRoZXJlIGlzIGFsc28gYW5vdGhlciBqdXN0aWZ5IGNsYXNzIHdoaWNoIGNvdWxk
IGJlIHVzZWZ1bCB0byBoYXZlIGFzIGEgc3RhbmRhbG9uZS4=
",5,4
2017-11-01T16:12:45Z,2017-11-01T17:56:51Z,2017-11-01T17:56:51Z,0,2,"VG8gYmUgY29uc2lzdGVudCB3aXRoIG90aGVyIHNlY3Rpb25zIG9uIHRoZSBzYW1lIGZpbGUu
",1,3
2017-11-01T16:17:48Z,2017-11-01T16:36:24Z,2017-11-01T16:36:24Z,1,1,"TXkgaW1wcmVzc2lvbiBpcyB0aGF0IHRoZSBuYW1lIGdvdCBjaGFuZ2VkIHRvIGBwcmVmbGlnaHRg
IGJ1dCB3YXNuJ3QgdXBkYXRlZCBoZXJlLiBJZiB0aGF0J3Mgbm90IHRoZSBjYXNlIGFuZCBgcmVz
ZXRgIHdhcyBpbnRlbnRpb25hbCwgdGhpcyBQUiBjYW4gYmUgY2xvc2VkLg==
",1,2
2017-11-01T17:50:42Z,2017-11-01T18:00:01Z,2017-11-01T18:00:01Z,3,3,"Rm9yIG1hcmdpbi9wYWRkaW5nIHV0aWxpdGllcyB0aGVyZSBpcyBhIGRhc2ggaW4gdGhlIGNvbW1l
bnQuDQpUaGUgcmVuZGVyZWQgY3NzLWNsYXNzZXMgbG9vayBsaWtlIHRoYXQ6IGBgYC5tdC00YGBg
IHNvIGkgdGhpbmsgdGhlIGNvbW1lbnRzIGFyZSB3cm9uZy4=
",1,2
2017-11-01T18:12:28Z,2017-11-01T18:25:41Z,2017-11-01T18:25:41Z,16,16,"Q29udGludWluZyBmcm9tIFBSICMyNCwgSSB1c2VkIGBicmVha3BvaW50c2AgYmVjYXVzZSBpdCB3
YXMgdXNlZCBvbiB0aGUgW1doYXQgaXMgVGFpbHdpbmQ/XShodHRwczovL3RhaWx3aW5kY3NzLmNv
bS9kb2NzL3doYXQtaXMtdGFpbHdpbmQvI3Jlc3BvbnNpdmUtdG8tdGhlLWNvcmUpIHBhZ2UuIFR1
cm5zIG91dCBpdCdzIHVzZWQgaW4gbWFueSBvdGhlciBwbGFjZXMuIFRoaXMgUFIgZml4ZXMgdGhh
dC4=
",5,4
2017-11-01T19:54:24Z,2017-11-01T22:33:46Z,2017-11-01T22:33:47Z,10,10,,1,2
2017-11-01T20:45:34Z,2017-11-01T20:46:27Z,2017-11-01T20:46:27Z,1,1,"U2FtZSBpc3N1ZSBhcyB3ZSB3ZXJlIHNlZWluZyB3aXRoIG91dHB1dCBmaWxlcywgSSdtIGEgZHVt
bXkgZm9yIG1pc3NpbmcKdGhpcyBhbmQgdGFnZ2luZy4=
",0,1
2017-11-01T20:51:59Z,2017-11-02T13:23:07Z,2017-11-02T13:23:07Z,0,23,"WW91IGhhdmUgTUlUIGluIHRoZSBgcGFja2FnZS5qc29uYCBsaWNlbnNlIGF0dHJpYnV0ZSwgYnV0
IGl0J2QgYmUgZWFzaWVyIGZvciBwZW9wbGUgdG8gZmluZCBpZiBpdCB3YXMgaW4gdGhlIHJlcG8g
aXRzZWxmLiBOb3QgdG8gbWVudGlvbiBpdCdsbCBnaXZlIGVhc2llciBhY2Nlc3MgYnkgR2l0SHVi
J3MgbGljZW5zZSBmZWF0dXJlLg==
",0,2
