created_at,merged_at,closed_at,deletion_count,additions_count,body,comment_count,participants_count
2018-07-13T23:43:59Z,,2018-08-04T10:37:18Z,1,1,"Rml4aW5nICJtb25hcmNoaXN0IGZldWRhbCBzeXN0ZW0i
",1,3
2018-11-06T17:56:43Z,2018-11-06T21:49:08Z,2018-11-06T21:49:08Z,0,2,"QWRkIHRvb2xzID0gWyJ0bXV4LWNzc2giOiAidG11eC1jbHVzdGVyLXNzaCIsICJib20iOiAiQmFu
ZHdpZHRoIE1vbml0b3IiXQ==
",3,5
2018-11-07T16:19:39Z,2018-11-08T07:23:14Z,2018-11-08T07:23:14Z,0,3,"YWRkX3Rvb2xzID0gWyJSa2h1bnRlciIsICJodG9wIiwgImd0b3AiLCAibmd4dG9wIl0=
",1,2
2018-11-27T14:58:27Z,2018-11-29T09:27:55Z,2018-11-29T09:27:55Z,0,1,"YWRkIGlwdHJhZi1uZyAoY29vbCB0b29sKQ==
",1,2
2018-12-14T18:37:10Z,2018-12-14T19:16:50Z,2018-12-14T19:16:50Z,0,2,"LSBzaWduZWQtb2ZmLWJ5OiBLeWxlIEJpcmtlbGFuZCA8a3lsZWJpcmtlbGFuZEBnbWFpbC5jb20+
",1,2
2018-12-15T11:11:18Z,,2018-12-15T20:08:27Z,1,1,"dGhlIGV4YW1wbGUgd2FzIHdyb25nLCB5b3UgY2FuIHNlZSB0aGF0IGJ5IHRyeWluZzoNCg0KYGBg
c2gNCnRydWUgJiYgeyBmYWxzZTsgfSB8fCB7IGVjaG8gZmFpbGVkOyB9DQpgYGANCmluIHdoaWNo
IGNhc2UgYGZhaWxlZGAgd2lsbCBzdGlsbCBiZSBwcmludGVkLg==
",5,2
2018-12-16T23:35:33Z,2018-12-16T23:45:49Z,2018-12-16T23:45:49Z,2,2,,1,2
2018-12-17T16:12:42Z,2018-12-17T22:12:41Z,2018-12-17T22:12:41Z,1,2,,1,2
2018-12-17T17:31:35Z,,2018-12-17T17:31:57Z,0,1,"QWRkZWQgTHlueCB0ZXJtaW5hbCBXZWIgQnJvd3Nlcg==
",0,2
2018-12-17T17:36:44Z,,2018-12-17T22:20:55Z,0,1,"QWRkZWQgTHlueCB0ZXJtaW5hbCBXZWIgQnJvd3Nlcg==
",1,2
