created_at,merged_at,closed_at,deletion_count,additions_count,body,comment_count,participants_count
2014-06-30T02:22:27Z,2014-06-30T04:12:56Z,2014-06-30T04:12:56Z,1,2,,0,2
2014-06-30T13:52:25Z,2014-06-30T14:22:17Z,2014-06-30T14:22:17Z,1,3,"LSBRdW9ra2EgaXMgYSBzbWFsbCBhbmQgZmxleGlibGUgQ01TIHBvd2VyZWQgYnkgRmxhc2sgYW5k
IE1vbmdvREIKLSB3ZWIycHkgaXMgYSBmdWxsIHN0YWNrIGZyYW1ld29yayBhbmQgcGxhdGZvcm0g
Zm9jdXNlZCBpbiB0aGUgZWFzZSBvZiB1c2UK
",0,2
2014-06-30T13:59:52Z,,2014-06-30T14:42:09Z,1,3,"UGF0dGVybiBpcyBhbHNvIGEgZ3JlYXQgdG9vbCBmb3IgTlBMIHRhc2sgYW5kIG5vdCBvbmx5IHRv
IG1hY2hpbmUgbGVhcm5pbmcuIFNvIEkgYWRkZWQgdG8gTkxQIHNlY3Rpb24gdG9vIGFuZCBJIHVw
ZGF0ZWQgdGhlIFRleHRibG9iIGRlc2NyaXB0aW9uIHRoYXQgaXMgYSBuaWNlICJpbnRlcmZhY2Ui
IGZvciBOTFRLIGFuZCBQYXR0ZXJuLgpCZXNpZGVzLCBJIGFkZGVkIHRoZSBhd2Vzb21lIGFuZCBn
cm93aW5nIHdlYjJweSB3ZWIgZnJhbWV3b3JrLgo=
",1,2
2014-06-30T14:27:44Z,2014-06-30T15:41:19Z,2014-06-30T15:41:19Z,1,2,"YmVha2VyIGxpYnJhcnkgZm9yIGNhY2hpbmcgYW5kIHNlc3Npb25zLgo=
",0,2
2014-06-30T14:34:27Z,2014-06-30T15:41:31Z,2014-06-30T15:41:31Z,1,2,,0,2
2014-06-30T14:46:22Z,2014-06-30T16:45:51Z,2014-06-30T16:45:51Z,2,5,,0,2
2014-06-30T16:35:16Z,2014-06-30T16:54:58Z,2014-06-30T16:54:58Z,3,5,,0,2
2014-06-30T17:05:57Z,2014-06-30T17:24:05Z,2014-06-30T17:24:06Z,0,12,,0,2
2014-06-30T17:27:02Z,2014-06-30T17:47:15Z,2014-06-30T17:47:15Z,0,11,"RW5kZWQgdXAgYWRkaW5nIG1vcmUgdGhhbiBJIGhhZCBhbnRpY2lwYXRlZC4gSSBjYW4gYnJlYWsg
dGhpcyB1cCBpbnRvIHB1bGxzIGZvciB0aGUgdmFyaW91cyBoZWFkaW5ncyBpZiBpdCBtYXR0ZXJz
Pwo=
",3,3
2014-06-30T17:47:03Z,,2014-06-30T18:07:15Z,4,3,,0,1
2014-06-30T18:05:24Z,2014-07-01T03:19:01Z,2014-07-01T03:19:01Z,0,7,"QW5vdGhlciBuZXcgc2VjdGlvbiwgd2Fzbid0IHN1cmUgd2hhdCBlbHNlIHRvIGNhbGwgaXQuCg==
",1,3
2014-06-30T18:08:04Z,2014-07-01T03:26:07Z,2014-07-01T03:26:07Z,11,16,"QWRkZWQgVHVyYm9HZWFycywgR3JvayBhbmQgQ2hlcnJ5UHkuCg==
",0,2
2014-06-30T19:59:25Z,2014-07-01T03:29:54Z,2014-07-01T03:29:54Z,0,1,"QWRkaW5nIE1rRG9jcyBpbiBEb2N1bWVudGF0aW9uIHNlY3Rpb24sIGEgKGZ1dHVyZSA/KSBtYXJr
ZG93biBiYXNlZCBzcGhpbnggYWx0ZXJuYXRpdmUuCg==
",0,2
2014-06-30T23:22:55Z,2014-07-01T03:30:49Z,2014-07-01T03:30:49Z,0,2,,0,2
2014-07-01T01:56:55Z,2014-07-01T03:30:58Z,2014-07-01T03:30:58Z,0,1,"VHJpdmlhbCBhZGRpdGlvbgo=
",0,2
2014-07-01T04:08:12Z,2014-07-01T13:36:27Z,2014-07-01T13:36:27Z,0,4,,0,2
