created_at,merged_at,closed_at,deletion_count,additions_count,body,comment_count,participants_count
2018-04-18T13:16:02Z,2018-04-18T13:16:57Z,2018-04-18T13:16:57Z,3,7,,0,2
2018-04-21T04:28:28Z,,2018-04-29T04:07:59Z,0,0,"5b+955Wl5ZCnIOOAguOAguOAguOAguOAgg==
",0,2
2018-04-28T08:08:43Z,2018-04-28T09:27:28Z,2018-04-28T09:27:28Z,1,1,,0,2
2018-05-02T01:18:47Z,2018-05-02T04:48:04Z,2018-05-02T04:48:04Z,2,11,"MS4gQWRkIG9wZW50cmFjaW5nLmlvICwgYW5kIGl0cyBvZmZpY2lhbCBDaGluZXNlIHRyYW5zbGF0
aW9uDQoxLiBSZW9yZ2FuaXplIHRoZSBBUE0gb3BlbiBzb3VyY2UgcHJvamVjdHMgbGlzdCwgYW5k
IGFkZCBsaW5rcyBmb3IgdGhlbQ0KMS4gQWRkIENOQ0YgSmFlZ2VyIGludG8gdGhlIGxpbmsNCjEu
IFNreVdhbGtpbmcgaGFzIGpvaW5lZCB0aGUgQXBhY2hlIEluY3ViYXRvci4=
",0,2
2018-05-02T02:06:50Z,2018-05-02T04:48:21Z,2018-05-02T04:48:21Z,1,1,"5oqK44CK5byA5Y6f5Y2P6K6u55qE6YCJ5oup44CL5L+u5pS55Li644CK5byA5rqQ5Y2P6K6u55qE
6YCJ5oup44CL
",0,2
2018-05-02T07:36:28Z,2018-05-02T07:37:02Z,2018-05-02T07:37:02Z,0,2,,0,2
2018-05-02T10:35:12Z,2018-05-02T10:35:36Z,2018-05-02T10:35:36Z,1,1,,0,2
2018-05-03T01:45:26Z,2018-05-03T05:34:43Z,2018-05-03T05:34:43Z,1,1,,0,2
2018-05-04T06:21:34Z,2018-05-04T06:50:38Z,2018-05-04T06:50:38Z,1,1,,0,2
2018-05-04T09:03:33Z,2018-05-04T09:05:20Z,2018-05-04T09:05:20Z,1,1,"5L+u5aSN5LiA5Liq6ZSZ5Yir5a2X
",0,2
2018-05-04T09:07:25Z,2018-05-04T09:45:23Z,2018-05-04T09:45:23Z,1,1,,0,2
2018-05-04T09:56:01Z,2018-05-04T11:18:02Z,2018-05-04T11:18:03Z,0,3,,0,2
2018-05-05T04:00:05Z,2018-05-05T08:32:35Z,2018-05-05T08:32:35Z,1,1,"5L+u5pS56ZSZ5Yir5a2X
",0,2
2018-05-07T03:50:49Z,2018-05-07T04:29:51Z,2018-05-07T04:29:51Z,1,1,,0,2
2018-05-07T14:13:39Z,,2018-05-07T14:14:10Z,0,2,"bWVyZ2UgZnJvbSBsb2NhbCBjb21wdXRlcg==
",0,1
2018-05-08T06:26:42Z,2018-05-08T14:34:45Z,2018-05-08T14:34:45Z,0,2,"5Zu95aSW55+l5ZCN5pWZ56iL572R56uZ77yM5o+Q5L6b6auY6LSo6YeP55qE5YWl6Zeo5pWZ56iL
77yM5YyF5ZCrSmF2YeOAgVB5dGhvbuOAgVNRTOOAgeWkp+aVsOaNruetieWkmuS4qumihuWfnw==
",0,2
2018-05-08T06:55:51Z,2018-05-08T14:35:03Z,2018-05-08T14:35:03Z,0,7,"5re75Yqgd2Vi57yT5a2YDQoNCiogW251c3Rlcl0oaHR0cHM6Ly9naXRodWIuY29tL2ppYW5nd2Vu
eXVhbi9udXN0ZXIpIC0gbnVzdGVyIGNhY2hlDQoqIFt2YXJuaXNoXShodHRwczovL2dpdGh1Yi5j
b20vdmFybmlzaGNhY2hlL3Zhcm5pc2gtY2FjaGUpIC0gdmFybmlzaCBjYWNoZQ0KKiBbc3F1aWRd
KGh0dHBzOi8vZ2l0aHViLmNvbS9zcXVpZC1jYWNoZS9zcXVpZCkgLSBzcXVpZCBjYWNoZQ==
",0,2
2018-05-08T08:04:45Z,,2018-05-08T14:34:20Z,0,1,"dGVzdA==
",0,2
2018-05-08T08:17:31Z,2018-05-08T14:33:37Z,2018-05-08T14:33:37Z,0,135,"5aKe5YqgSmF2YeW5tuWPkeS4k+mimOaWh+eroO+8jOefpeivhueCueabtOe7hu+8jOabtOWFqOOA
guS5n+WHoOS5juaYr+mdouivlee7j+W4uOS8mumXruWIsOeahOmXrumimO+8jOW4jOacm+iDveWv
ueWkp+WkmuaVsOS6uuacieeUqA==
",0,2
2018-05-09T01:40:39Z,2018-05-09T10:56:10Z,2018-05-09T10:56:10Z,1,1,,0,2
2018-05-11T18:16:37Z,2018-05-13T07:19:33Z,2018-05-13T07:19:33Z,0,3,"5aKe5YqgIFJvY2tldE1RIOa6kOeggeino+aekA==
",0,2
2018-05-14T09:06:20Z,2018-05-14T10:26:51Z,2018-05-14T10:26:51Z,1,1,,0,2
2018-05-16T09:07:21Z,2018-05-17T05:57:05Z,2018-05-17T05:57:05Z,1,1,"5LiN5Y+v5Yml5aS6LT7njq/lvaLnrYnlvoU=
",0,2
2018-05-17T05:06:31Z,2018-05-17T05:56:33Z,2018-05-17T05:56:33Z,1,1,"5L+u5pS55LqG6K6+6K6h5Y6f5YiZ5Lit55qE6ZSZ5Yir5a2X
",0,2
